Word,Freq,Rank
the,4594,1
and,2109,2
a,2109,3
of,2068,4
to,1371,5
he,1253,6
in,1216,7
was,1103,8
his,955,9
that,798,10
i,765,11
with,726,12
it,715,13
as,614,14
but,592,15
you,526,16
had,514,17
on,432,18
at,428,19
is,420,20
for,397,21
like,313,22
said,307,23
not,302,24
be,296,25
have,282,26
or,280,27
by,263,28
one,261,29
an,239,30
this,235,31
were,232,32
him,230,33
all,226,34
from,226,35
which,225,36
man,225,37
"""i",222,38
father,219,39
they,214,40
if,212,41
more,211,42
there,206,43
so,186,44
my,185,45
very,183,46
out,174,47
some,170,48
up,168,49
who,167,50
about,167,51
could,165,52
than,159,53
are,149,54
been,148,55
brown,146,56
rather,142,57
when,141,58
into,140,59
only,138,60
little,137,61
what,133,62
would,130,63
other,129,64
no,125,65
then,122,66
me,119,67
know,116,68
old,116,69
her,111,70
think,110,71
looked,109,72
down,109,73
two,108,74
will,107,75
she,106,76
seemed,106,77
we,105,78
do,103,79
even,103,80
did,102,81
something,99,82
just,98,83
their,97,84
mr,95,85
has,92,86
such,91,87
don't,90,88
still,90,89
quite,87,90
black,84,91
see,84,92
your,83,93
priest,83,94
over,83,95
any,80,96
long,80,97
made,80,98
can,80,99
heard,79,100
great,79,101
never,76,102
before,75,103
asked,74,104
face,74,105
"brown,",73,106
after,72,107
back,72,108
them,72,109
came,72,110
must,71,111
head,70,112
though,70,113
most,69,114
say,69,115
might,69,116
almost,66,117
"""but",66,118
went,65,119
really,64,120
first,64,121
tell,63,122
flambeau,62,123
own,61,124
eyes,61,125
stood,60,126
its,60,127
much,60,128
"said,",59,129
look,59,130
come,59,131
because,57,132
"""and",57,133
sort,57,134
should,56,135
yet,56,136
saw,56,137
those,56,138
round,55,139
himself,55,140
found,54,141
where,54,142
now,53,143
men,53,144
cried,52,145
door,52,146
it.,52,147
against,51,148
thought,51,149
got,51,150
"him,",51,151
figure,51,152
"""you",50,153
our,50,154
him.,50,155
another,50,156
under,49,157
looking,49,158
without,49,159
seen,49,160
both,49,161
across,49,162
turned,48,163
"it,",48,164
these,48,165
may,48,166
am,47,167
it's,47,168
white,47,169
through,47,170
towards,46,171
replied,46,172
here,46,173
"""the",46,174
go,46,175
small,46,176
three,45,177
how,45,178
same,45,179
why,44,180
take,44,181
"""it",44,182
thing,44,183
answered,44,184
time,44,185
house,43,186
once,43,187
"""he",43,188
dark,43,189
whole,43,190
mean,43,191
place,42,192
get,42,193
hair,42,194
always,42,195
being,42,196
things,41,197
red,40,198
last,40,199
young,40,200
began,40,201
nothing,40,202
many,40,203
certain,39,204
left,39,205
off,39,206
can't,39,207
end,39,208
brown.,39,209
well,38,210
also,38,211
sir,38,212
put,37,213
kind,37,214
make,37,215
garden,37,216
every,37,217
"flambeau,",37,218
"""what",37,219
behind,37,220
between,36,221
want,36,222
away,36,223
way,35,224
suddenly,35,225
called,35,226
front,35,227
too,35,228
find,34,229
going,34,230
voice,34,231
dr,34,232
"""that",34,233
took,34,234
friend,34,235
already,33,236
grey,32,237
glass,32,238
family,32,239
again,32,240
name,32,241
good,32,242
big,32,243
"then,",32,244
room,31,245
people,30,246
few,30,247
us,30,248
he's,30,249
shall,30,250
told,30,251
"and,",30,252
hat,30,253
boulnois,30,254
moment,29,255
"priest,",29,256
side,29,257
