Word,Freq,Rank
the,3566,1
a,1719,2
of,1710,3
and,1602,4
he,1080,5
to,1038,6
in,902,7
his,804,8
that,790,9
was,703,10
i,640,11
with,556,12
you,527,13
it,510,14
as,487,15
is,426,16
had,425,17
said,405,18
but,399,19
not,347,20
at,341,21
syme,308,22
for,306,23
they,302,24
on,292,25
like,253,26
all,250,27
have,246,28
this,244,29
be,243,30
an,237,31
are,223,32
were,212,33
we,207,34
man,202,35
which,193,36
if,187,37
"""i",187,38
out,182,39
one,181,40
him,178,41
there,171,42
by,168,43
who,167,44
or,159,45
could,148,46
from,148,47
so,143,48
up,141,49
into,140,50
only,136,51
my,134,52
when,127,53
some,121,54
would,118,55
what,116,56
been,114,57
then,113,58
about,111,59
more,110,60
their,110,61
will,110,62
do,106,63
"syme,",106,64
me,106,65
your,105,66
down,101,67
very,101,68
has,100,69
professor,97,70
am,93,71
no,93,72
even,89,73
seemed,89,74
face,87,75
old,87,76
can,86,77
great,83,78
than,82,79
quite,81,80
"""you",80,81
little,78,82
see,77,83
dr.,76,84
looked,75,85
them,74,86
upon,72,87
came,72,88
almost,71,89
still,70,90
two,70,91
might,69,92
men,69,93
asked,68,94
went,68,95
never,67,96
did,67,97
"""it",64,98
black,64,99
over,64,100
other,63,101
first,62,102
really,61,103
any,60,104
saw,60,105
made,60,106
know,60,107
these,59,108
long,58,109
"said,",58,110
may,58,111
before,57,112
whole,57,113
think,57,114
after,56,115
stood,56,116
through,56,117
such,55,118
say,55,119
off,55,120
sunday,55,121
last,54,122
something,53,123
should,53,124
himself,53,125
those,53,126
back,53,127
time,53,128
thing,52,129
gregory,51,130
good,51,131
"""the",50,132
under,50,133
tell,50,134
come,50,135
our,50,136
don't,50,137
us,50,138
too,50,139
just,49,140
eyes,49,141
turned,48,142
white,48,143
being,48,144
shall,48,145
must,47,146
now,47,147
because,46,148
president,46,149
cried,46,150
syme.,46,151
its,46,152
bull,46,153
against,45,154
make,44,155
thought,43,156
most,43,157
"""what",43,158
"him,",43,159
it.,42,160
put,41,161
red,41,162
sort,41,163
going,41,164
new,41,165
across,41,166
own,40,167
round,40,168
head,40,169
found,40,170
dark,40,171
always,39,172
suddenly,39,173
rather,38,174
"""and",38,175
yet,38,176
"""but",38,177
took,37,178
sat,37,179
felt,36,180
marquis,36,181
how,36,182
look,36,183
without,36,184
people,35,185
get,35,186
"bull,",35,187
go,35,188
him.,35,189
secretary,35,190
once,34,191
much,34,192
"""we",34,193
three,33,194
"it,",33,195
"""that",33,196
de,33,197
right,33,198
left,33,199
each,32,200
blue,32,201
where,32,202
heard,32,203
behind,32,204
believe,31,205
looking,31,206
knew,31,207
away,31,208
got,31,209
here,31,210
light,30,211
also,30,212
street,30,213
began,30,214
syme's,30,215
take,30,216
towards,30,217
"gregory,",30,218
place,30,219
"professor,",30,220
struck,30,221
end,29,222
why,29,223
though,29,224
human,29,225
moment,29,226
voice,29,227
colonel,29,228
let,28,229
can't,28,230
kind,28,231
replied,28,232
well,27,233
cannot,27,234
again,27,235
between,27,236
police,27,237
fell,27,238
them.,27,239
common,27,240
ordinary,26,241
another,26,242
hair,26,243
half,26,244
small,26,245
way,25,246
many,25,247
perhaps,25,248
find,25,249
world,25,250
called,25,251
ever,25,252
answered,25,253
feel,25,254
every,25,255
rose,24,256
nothing,24,257
beard,24,258
"you,",24,259
"""he",24,260
anything,24,261
hand,24,262
things,24,263
seen,24,264
"however,",24,265
sense,24,266
along,24,267
mere,23,268
enough,23,269
whether,23,270
broke,23,271
man's,22,272
comrade,22,273
"man,",22,274
side,22,275
room,22,276
hear,22,277
said.,22,278
far,22,279
"""yes,""",21,280
figure,21,281
"""my",21,282
high,21,283
gave,21,284
front,21,285
fear,21,286
ask,21,287
while,21,288
call,21,289
whom,21,290
hat,21,291
same,21,292
somewhat,21,293
grey,20,294
coming,20,295
anarchist,20,296
french,20,297
large,20,298
sprang,20,299
gone,20,300
earth,20,301
standing,20,302
talk,20,303
policeman,20,304
sudden,20,305
everything,19,306
certain,19,307
mr.,19,308
sun,19,309
wild,19,310
"""oh,",19,311
you.,19,312
word,19,313
second,19,314
passed,18,315
remember,18,316
does,18,317
"""no,""",18,318
pale,18,319
road,18,320
merely,18,321
hands,18,322
staring,18,323
fight,18,324
want,18,325
above,18,326
mind,18,327
understand,18,328
heavy,18,329
"me,",18,330
square,18,331
poet,18,332
next,18,333
mean,18,334
give,18,335
world.,17,336
silence,17,337
gogol,17,338
others,17,339
sometimes,17,340
few,17,341
both,17,342
gentleman,17,343
already,17,344
strange,17,345
top,17,346
"you,""",17,347
ran,17,348
"""if",16,349
soon,16,350
"""there",16,351
words,16,352
six,16,353
"marquis,",16,354
table,16,355
iron,16,356
myself,16,357
"them,",16,358
seem,16,359
yellow,16,360
told,16,361
true,16,362
suppose,16,363
cloud,16,364
except,16,365
five,16,366
"secretary,",16,367
chapter,16,368
day,16,369
anarchists,16,370
friend,16,371
sword,16,372
professor.,16,373
green,15,374
train,15,375
pointed,15,376
"""well,",15,377
god,15,378
themselves,15,379
morning,15,380
slowly,15,381
spoke,15,382
"well,",15,383
"this,",15,384
face.,15,385
modern,15,386
least,15,387
hundred,15,388
.,15,389
seems,15,390
talking,15,391
it's,15,392
simple,15,393
"indeed,",15,394
four,15,395
fancy,15,396
"other,",14,397
point,14,398
detective,14,399
smile,14,400
chance,14,401
serious,14,402
fact,14,403
dead,14,404
low,14,405
secret,14,406
break,14,407
close,14,408
"it,""",14,409
mad,14,410
anyone,14,411
lifted,14,412
twenty,14,413
whose,14,414
grew,14,415
"colonel,",14,416
silent,14,417
open,14,418
"table,",14,419
"""do",14,420
broken,14,421
huge,14,422
fallen,14,423
"was,",14,424
full,14,425
beyond,14,426
"president,",14,427
walked,14,428
me.,14,429
"""they",13,430
i'm,13,431
"long,",13,432
dressed,13,433
"all,",13,434
certainly,13,435
hardly,13,436
eyes.,13,437
set,13,438
night,13,439
dancing,13,440
feet,13,441
smile.,13,442
part,13,443
doctor,13,444
gregory.,13,445
name,13,446
life,13,447
clear,13,448
"us,",13,449
"street,",13,450
walk,13,451
all.,13,452
real,13,453
until,13,454
sea.,13,455
streets,13,456
instant,13,457
led,13,458
"silence,",13,459
flung,13,460
wish,12,461
run,12,462
young,12,463
entered,12,464
matter,12,465
having,12,466
"""are",12,467
"so,",12,468
"voice,",12,469
swear,12,470
"""this",12,471
taking,12,472
table.,12,473
council,12,474
"room,",12,475
poor,12,476
said--,12,477
big,12,478
growing,12,479
"cried,",12,480
walking,12,481
"feet,",12,482
broad,12,483
itself,12,484
queer,12,485
roar,12,486
enormous,12,487
reason,12,488
"now,",12,489
"""a",12,490
"""is",12,491
gentlemen,12,492
"yes,",11,493
silly,11,494
among,11,495
pull,11,496
finally,11,497
making,11,498
best,11,499
remembered,11,500
keep,11,501
bull.,11,502
cut,11,503
st.,11,504
silver,11,505
forward,11,506
either,11,507
carried,11,508
destroy,11,509
secretary.,11,510
hand.,11,511
"say,",11,512
better,11,513
car,11,514
intellectual,11,515
"it.""",11,516
since,11,517
"himself,",11,518
nose,11,519
evening,11,520
enemies,11,521
nearer,11,522
need,11,523
"and,",11,524
indeed,11,525
"is,",11,526
lit,11,527
bright,11,528
fixed,11,529
head.,11,530
nature,11,531
seven,11,532
twice,11,533
seconds,11,534
worms,11,535
voice.,11,536
thursday,11,537
cold,11,538
help,11,539
promise,11,540
"course,",11,541
"see,",11,542
other.,11,543
swung,10,544
mouth,10,545
wore,10,546
heaven,10,547
read,10,548
sunday.,10,549
moved,10,550
minutes,10,551
catch,10,552
repeated,10,553
"eyes,",10,554
air,10,555
gabriel,10,556
"face,",10,557
stared,10,558
talked,10,559
"is,""",10,560
living,10,561
out.,10,562
hope,10,563
house,10,564
sunlight,10,565
"""not",10,566
truth,10,567
turn,10,568
cried.,10,569
road.,10,570
sea,10,571
strike,10,572
smiling,10,573
resumed,10,574
"hand,",10,575
"sunday,",10,576
tall,10,577
comes,10,578
"fact,",10,579
pause,10,580
clothes,10,581
strolled,10,582
leave,10,583
card,10,584
window,10,585
pulled,10,586
syme;,10,587
jolly,10,588
presence,10,589
fine,10,590
taken,10,591
"out,",10,592
free,10,593
"men,",10,594
crime,10,595
soul,10,596
"""well,""",10,597
early,10,598
elephant,10,599
sitting,10,600
blind,10,601
distant,10,602
drew,10,603
deep,10,604
solid,10,605
saffron,10,606
marquis's,10,607
line,10,608
chair,10,609
corner,10,610
caught,10,611
cab,10,612
"me.""",10,613
right.,10,614
devil,10,615
bulk,10,616
"""have",9,617
"hair,",9,618
enemy,9,619
afterwards,9,620
breaking,9,621
alone,9,622
gregory's,9,623
curious,9,624
again.,9,625
opened,9,626
means,9,627
"moment,",9,628
lantern,9,629
perfect,9,630
probably,9,631
he's,9,632
short,9,633
ratcliffe,9,634
stick,9,635
"river,",9,636
answer,9,637
glass,9,638
poetical,9,639
ought,9,640
you?,9,641
became,9,642
dress,9,643
"""why",9,644
smiled,9,645
"""so",9,646
followed,9,647
this.,9,648
knows,9,649
"""",9,650
renard,9,651
bad,9,652
trust,9,653
afraid,9,654
"""when",9,655
"are,",9,656
"""where",9,657
original,9,658
"me,""",9,659
held,9,660
continued,9,661
happy,9,662
sunset,9,663
"up,",9,664
lay,9,665
gradually,9,666
thick,9,667
dangerous,9,668
given,9,669
together,9,670
stone,9,671
outside,9,672
inspector,9,673
insane,9,674
didn't,9,675
man.,9,676
you're,9,677
order,9,678
kept,9,679
supreme,9,680
waiting,9,681
sky,9,682
"policeman,",9,683
hour,9,684
"""no,",9,685
"""don't",9,686
sky.,9,687
town,9,688
final,9,689
"then,",9,690
else,9,691
running,9,692
stand,9,693
horses,8,694
edge,8,695
wood,8,696
express,8,697
done,8,698
darkness,8,699
particular,8,700
follow,8,701
care,8,702
rich,8,703
conversation,8,704
idea,8,705
seat,8,706
"anarchists,",8,707
central,8,708
empty,8,709
foreign,8,710
leicester,8,711
form,8,712
"honour,",8,713
doubt,8,714
"""why,",8,715
somehow,8,716
exactly,8,717
ten,8,718
"down,",8,719
wicked,8,720
listen,8,721
coat,8,722
horse,8,723
impression,8,724
started,8,725
"off,",8,726
trees,8,727
quiet,8,728
"think,",8,729
terrible,8,730
"last,",8,731
playing,8,732
bent,8,733
rigid,8,734
"mean?""",8,735
explain,8,736
way.,8,737
"smile,",8,738
awful,8,739
whatever,8,740
dear,8,741
leant,8,742
general,8,743
"""will",8,744
dim,8,745
whenever,8,746
strong,8,747
"""of",8,748
notion,8,749
hard,8,750
understood,8,751
realised,8,752
"again,",8,753
vast,8,754
stepped,8,755
laughed,8,756
heart,8,757
railway,8,758
thrown,8,759
station,8,760
throw,8,761
especially,8,762
"spoke,",8,763
paralytic,8,764
inside,8,765
practical,8,766
"gogol,",8,767
tried,8,768
bit,8,769
drink,8,770
sunday's,8,771
bull's,8,772
question,8,773
ratcliffe.,8,774
town.,8,775
"""yes,",8,776
forgive,8,777
paris,8,778
"you?""",8,779
middle,8,780
room.,8,781
army,8,782
her,8,783
advancing,7,784
balcony,7,785
"man,""",7,786
spectacles,7,787
rest,7,788
"little,",7,789
"ducroix,",7,790
brown,7,791
leaving,7,792
shot,7,793
respect,7,794
"sea,",7,795
often,7,796
calling,7,797
energy,7,798
field,7,799
commonly,7,800
beside,7,801
dreadful,7,802
"beard,",7,803
frightful,7,804
"slowly,",7,805
utterly,7,806
himself.,7,807
"""has",7,808
plain,7,809
anarchist.,7,810
shining,7,811
"hat,",7,812
days,7,813
yourself,7,814
known,7,815
buildings,7,816
"head,",7,817
straight,7,818
"light,",7,819
"""that's",7,820
hold,7,821
leap,7,822
"car,",7,823
door,7,824
that's,7,825
"""to",7,826
beastly,7,827
fighting,7,828
flying,7,829
threw,7,830
faces,7,831
"pale,",7,832
roared,7,833
unnatural,7,834
fire,7,835
horrible,7,836
chin,7,837
stare,7,838
company,7,839
pleasure,7,840
lot,7,841
"balcony,",7,842
she,7,843
burning,7,844
person,7,845
third,7,846
entirely,7,847
innocent,7,848
"ratcliffe,",7,849
fought,7,850
branch,7,851
brought,7,852
nor,7,853
grave,7,854
inner,7,855
"cab,",7,856
powerful,7,857
men.,7,858
together.,7,859
adventures,7,860
one.,7,861
"""as",7,862
thus,7,863
past,7,864
silence.,7,865
"council,",7,866
gesture,7,867
actual,7,868
"that,",7,869
english,7,870
showed,7,871
voice--,7,872
"us.""",7,873
"""for",7,874
sad,7,875
public,7,876
friends,7,877
less,7,878
"""mr.",7,879
slight,7,880
"""let",7,881
tree,7,882
brain,7,883
says,7,884
"that,""",7,885
"""comrade",7,886
i'll,7,887
"""our",7,888
act,7,889
plans,7,890
"pocket,",7,891
dropped,7,892
pair,7,893
leapt,7,894
added,7,895
curiosity.,7,896
possible,7,897
quickly,7,898
shaking,7,899
"know,",6,900
learn,6,901
become,6,902
up.,6,903
hotel,6,904
swept,6,905
near,6,906
hate,6,907
'you,6,908
influence,6,909
special,6,910
manner,6,911
"there,",6,912
"suddenly,",6,913
"here,",6,914
sharp,6,915
eye,6,916
carriages,6,917
bewildering,6,918
"say,""",6,919
monstrous,6,920
"""i'm",6,921
"now,""",6,922
isn't,6,923
lights,6,924
space,6,925
forehead.,6,926
speaking,6,927
"then?""",6,928
finger,6,929
honour,6,930
crooked,6,931
scientific,6,932
christians,6,933
itself.,6,934
sight,6,935
"sense,",6,936
grass,6,937
parade,6,938
mankind,6,939
"afterwards,",6,940
light.,6,941
detectives,6,942
"first,",6,943
"no,",6,944
"snow,",6,945
"""how",6,946
"syme,""",6,947
exquisite,6,948
turning,6,949
symbol,6,950
beautiful,6,951
worth,6,952
passionate,6,953
"life,",6,954
effect,6,955
sword-stick,6,956
keeping,6,957
vaguely,6,958
"you.""",6,959
case,6,960
"oh,",6,961
finds,6,962
received,6,963
feeling,6,964
blood,6,965
yards,6,966
saying,6,967
"""because",6,968
pistol,6,969
healthy,6,970
breakfast,6,971
tore,6,972
splendid,6,973
spring,6,974
speak,6,975
partly,6,976
rising,6,977
doing,6,978
difference,6,979
death.,6,980
"what?""",6,981
extraordinary,6,982
furious,6,983
nerves,6,984
false,6,985
surely,6,986
simply,6,987
british,6,988
barrel-organ,6,989
contrast,6,990
"anarchist,",6,991
rattling,6,992
shadow,6,993
mysterious,6,994
strode,6,995
stopped,6,996
fierce,6,997
beginning,6,998
odd,6,999
appeared,6,1000
moral,6,1001
"way,",6,1002
rank,6,1003
"anarchy,",6,1004
mind.,6,1005
met,6,1006
hours,6,1007
"?""",6,1008
opening,6,1009
police.,6,1010
damned,6,1011
join,6,1012
literally,6,1013
scarcely,6,1014
shown,6,1015
criminal,6,1016
balloon,6,1017
used,6,1018
"myself,",6,1019
moving,6,1020
prevent,6,1021
"shadow,",6,1022
fiery,6,1023
course,6,1024
universe,6,1025
spectacles.,6,1026
see.,6,1027
"""in",6,1028
distance,6,1029
ready,6,1030
"word,",6,1031
getting,6,1032
perfectly,6,1033
fully,6,1034
reached,6,1035
crowd,6,1036
"""dr.",6,1037
grow,6,1038
smell,5,1039
"laughter,",5,1040
cause,5,1041
strength,5,1042
extreme,5,1043
miles,5,1044
"""comrades,""",5,1045
instinctively,5,1046
weary,5,1047
hair.,5,1048
dream.,5,1049
balcony.,5,1050
him;,5,1051
driven,5,1052
several,5,1053
policeman.,5,1054
highly,5,1055
war,5,1056
arresting,5,1057
insulted,5,1058
"sir,",5,1059
play,5,1060
mass,5,1061
"policy,",5,1062
square.,5,1063
"""stop",5,1064
suggested,5,1065
stones,5,1066
vague,5,1067
die,5,1068
"""does",5,1069
speech,5,1070
"night,",5,1071
actually,5,1072
startled,5,1073
present,5,1074
"dark,",5,1075
nearly,5,1076
on.,5,1077
work,5,1078
glasses,5,1079
"right,""",5,1080
london.,5,1081
shouted,5,1082
decent,5,1083
attack,5,1084
"rate,",5,1085
force,5,1086
"blue,",5,1087
weak,5,1088
descended,5,1089
singular,5,1090
father,5,1091
fat,5,1092
trying,5,1093
elected,5,1094
flower,5,1095
denied,5,1096
unless,5,1097
"suppose,",5,1098
"sir,""",5,1099
river,5,1100
question.,5,1101
dynamite,5,1102
revolt,5,1103
everyone,5,1104
able,5,1105
irregular,5,1106
disappeared,5,1107
"stick,",5,1108
burst,5,1109
off.,5,1110
figures,5,1111
"case,",5,1112
down.,5,1113
pocket,5,1114
try,5,1115
morbid,5,1116
natural,5,1117
late,5,1118
fall,5,1119
movements,5,1120
that.,5,1121
place.,5,1122
shape,5,1123
"society,",5,1124
word.,5,1125
was.,5,1126
type,5,1127
fingers,5,1128
stranger,5,1129
sent,5,1130
day.,5,1131
within,5,1132
crime.,5,1133
moon.,5,1134
falling,5,1135
away.,5,1136
bloody,5,1137
"them.""",5,1138
"figure,",5,1139
lighted,5,1140
meant,5,1141
idiotic,5,1142
"speak,",5,1143
working,5,1144
i've,5,1145
sunset.,5,1146
leaning,5,1147
worse,5,1148
worst,5,1149
bed,5,1150
filled,5,1151
address,5,1152
attempt,5,1153
flash,5,1154
supposed,5,1155
president.,5,1156
"right,",5,1157
shocking,5,1158
around,5,1159
flame,5,1160
larger,5,1161
regarded,5,1162
slow,5,1163
haven't,5,1164
revolver,5,1165
peasant,5,1166
steel,5,1167
passage,5,1168
boat,5,1169
control,5,1170
"""with",5,1171
sit,5,1172
god!,5,1173
"tree,",5,1174
easily,5,1175
evil,5,1176
shoulder,5,1177
"think,""",5,1178
houses,5,1179
anarchy,5,1180
straw,5,1181
it!,5,1182
crazy,5,1183
"""your",5,1184
bring,5,1185
wonder,5,1186
deny,5,1187
worms.,5,1188
thinking,5,1189
"""all",5,1190
"least,",5,1191
abrupt,5,1192
"it?""",5,1193
hats,5,1194
"humanity,",5,1195
"nothing,",5,1196
pretty,5,1197
ring,5,1198
kill,5,1199
goes,5,1200
"""then",5,1201
die.,5,1202
evidently,5,1203
further,5,1204
show,5,1205
risen,5,1206
outer,5,1207
doubts,5,1208
glory,5,1209
"together,",5,1210
tomorrow,5,1211
"time,",5,1212
drunk,5,1213
shoulders,5,1214
chairman,5,1215
"""who",5,1216
moon,5,1217
stars,5,1218
swinging,5,1219
lamp,5,1220
advice,5,1221
boots,5,1222
promised,5,1223
reminded,5,1224
valour,5,1225
law,5,1226
"things,",5,1227
lost,5,1228
carriage,5,1229
marquis.,5,1230
impulse,5,1231
position,5,1232
know.,5,1233
hat.,5,1234
(if,5,1235
steadily,5,1236
days.,5,1237
startling,5,1238
flowers,5,1239
bomb,5,1240
naked,5,1241
flaming,5,1242
personal,5,1243
"seat,",5,1244
"garden,",5,1245
patch,5,1246
"door,",5,1247
inquired,5,1248
coffee,5,1249
wanted,5,1250
society,5,1251
twisted,5,1252
laughter.,5,1253
tale,5,1254
"also,",5,1255
begun,5,1256
ball,5,1257
fresh,5,1258
"window,",5,1259
devils,5,1260
creation,5,1261
body,5,1262
sunlit,5,1263
laid,5,1264
spoken,5,1265
death,5,1266
hell.,5,1267
outrageous,5,1268
difficulty,5,1269
post,5,1270
crossed,5,1271
"it!""",5,1272
intellect,5,1273
kindly,5,1274
following,5,1275
"that?""",5,1276
"faces,",5,1277
cafe,5,1278
pride,5,1279
gravity,5,1280
park.,5,1281
president's,5,1282
waistcoat,5,1283
colour,5,1284
german,5,1285
colonel.,5,1286
cloud.,5,1287
bank,5,1288
"back,",5,1289
surprised,5,1290
scream,5,1291
expressed,5,1292
"short,",5,1293
fears,5,1294
considerable,5,1295
bewildered,5,1296
women,5,1297
farther,5,1298
"friends,",5,1299
occurred,5,1300
seat.,5,1301
"mad,",5,1302
girl,5,1303
"gentleman,",5,1304
accept,5,1305
snow,5,1306
feet.,5,1307
likely,5,1308
shook,5,1309
died,5,1310
bought,4,1311
expected,4,1312
myself.,4,1313
shapeless,4,1314
cross,4,1315
peace,4,1316
violent,4,1317
"now?""",4,1318
master,4,1319
"no!""",4,1320
bed.,4,1321
"away,",4,1322
particularly,4,1323
behind.,4,1324
detective.,4,1325
bitter,4,1326
doesn't,4,1327
paused,4,1328
