Word,Freq,Rank
the,3304,1
to,2746,2
and,2716,3
of,2528,4
a,1574,5
in,1353,6
was,1277,7
had,1164,8
she,1114,9
her,1012,10
i,986,11
be,919,12
he,915,13
not,891,14
that,829,15
it,813,16
as,804,17
for,674,18
his,648,19
with,620,20
but,612,21
have,580,22
at,529,23
you,487,24
been,484,25
all,475,26
could,434,27
very,425,28
they,424,29
were,416,30
by,410,31
which,394,32
is,374,33
on,370,34
would,341,35
so,323,36
anne,298,37
captain,297,38
no,296,39
their,292,40
from,289,41
mrs,289,42
or,270,43
him,267,44
mr,246,45
than,243,46
an,243,47
more,239,48
there,234,49
must,221,50
when,221,51
being,216,52
one,212,53
this,210,54
only,209,55
my,209,56
such,208,57
lady,200,58
any,196,59
if,193,60
much,190,61
what,184,62
should,181,63
who,178,64
little,166,65
might,160,66
do,158,67
them,153,68
will,150,69
never,149,70
good,145,71
we,143,72
own,141,73
sir,137,74
said,137,75
are,135,76
think,133,77
did,133,78
some,132,79
elliot,125,80
great,122,81
your,122,82
am,121,83
most,118,84
miss,118,85
nothing,115,86
"""i",114,87
how,113,88
see,113,89
though,111,90
quite,110,91
always,109,92
charles,107,93
without,106,94
soon,105,95
wentworth,104,96
other,103,97
every,101,98
now,100,99
first,100,100
"anne,",100,101
me,99,102
has,98,103
can,97,104
two,97,105
into,95,106
too,95,107
made,94,108
time,94,109
after,94,110
herself,92,111
seemed,91,112
having,87,113
make,86,114
well,86,115
may,86,116
about,85,117
out,85,118
know,84,119
"her,",82,120
before,82,121
"him,",81,122
thought,81,123
many,80,124
young,79,125
walter,78,126
"it,",77,127
felt,76,128
same,76,129
father,76,130
like,74,131
long,74,132
better,73,133
russell,73,134
its,72,135
up,71,136
those,71,137
found,71,138
even,71,139
ever,69,140
give,69,141
"elliot,",68,142
her.,68,143
last,68,144
mary,67,145
it.,66,146
still,65,147
while,65,148
musgrove,65,149
upon,65,150
go,65,151
just,63,152
man,63,153
"however,",62,154
louisa,62,155
our,60,156
him.,60,157
came,59,158
few,59,159
almost,59,160
half,59,161
rather,58,162
going,57,163
something,57,164
wish,56,165
come,56,166
knew,55,167
house,55,168
between,55,169
himself,54,170
enough,54,171
heard,54,172
"wentworth,",54,173
shall,53,174
down,53,175
feelings,53,176
over,53,177
back,52,178
another,52,179
elizabeth,52,180
"you,",51,181
again,51,182
seen,51,183
present,50,184
take,49,185
till,49,186
anne's,49,187
kellynch,48,188
saw,48,189
done,48,190
them.,48,191
hope,47,192
say,47,193
these,47,194
years,46,195
poor,46,196
left,45,197
"them,",45,198
admiral,45,199
"was,",45,200
bath,44,201
known,44,202
where,44,203
way,44,204
friend,44,205
sure,44,206
cried,44,207
look,43,208
happy,43,209
then,43,210
here,43,211
under,42,212
cannot,42,213
leave,42,214
really,42,215
anything,41,216
henrietta,41,217
"again,",41,218
old,41,219
off,41,220
yet,41,221
perfectly,40,222
hardly,40,223
among,39,224
feel,39,225
ought,39,226
each,39,227
party,39,228
away,39,229
near,39,230
"mary,",39,231
deal,39,232
home,39,233
nor,38,234
everything,38,235
"herself,",38,236
day,38,237
looked,38,238
family,38,239
does,38,240
believe,37,241
since,37,242
"and,",37,243
dear,37,244
place,37,245
part,36,246
harville,36,247
certainly,36,248
whole,36,249
sort,36,250
best,36,251
seeing,35,252
get,35,253
clay,35,254
hear,35,255
next,35,256
elliot's,35,257
gone,34,258
whom,34,259
three,34,260
uppercross,34,261
benwick,34,262
moment,34,263
"time,",33,264
both,33,265
either,33,266
"charles,",33,267
mind,33,268
glad,32,269
towards,32,270
visit,32,271
"""oh!",32,272
"man,",32,273
brought,32,274
tell,32,275
received,32,276
"musgrove,",31,277
woman,31,278
"say,",31,279
her;,31,280
once,31,281
put,30,282
evening,30,283
whether,30,284
him;,30,285
given,30,286
able,30,287
began,30,288
sister,30,289
set,30,290
"russell,",30,291
pleasure,30,292
"smith,",30,293
interest,30,294
course,30,295
far,30,296
coming,29,297
general,29,298
it;,29,299
fine,29,300
camden,29,301
"perhaps,",29,302
people,29,303
gave,29,304
talked,29,305
called,29,306
passed,29,307
acquaintance,29,308
russell's,29,309
least,29,310
love,28,311
"""you",28,312
want,28,313
former,28,314
full,28,315
right,28,316
through,28,317
strong,28,318
"indeed,",28,319
thing,28,320
room,28,321
idea,28,322
obliged,28,323
determined,28,324
looking,27,325
"place,",27,326
walked,27,327
"me,",27,328
"home,",26,329
me.,26,330
manner,26,331
heart,26,332
you.,26,333
state,26,334
"""but",26,335
against,26,336
went,26,337
thinking,26,338
replied,26,339
"walter,",26,340
"""and",26,341
"all,",26,342
wentworth's,26,343
letter,26,344
us,25,345
assure,25,346
wanted,25,347
agreeable,25,348
let,25,349
change,25,350
neither,25,351
eyes,25,352
lyme,25,353
again.,25,354
spirits,25,355
"know,",25,356
worth,24,357
met,24,358
character,24,359
because,24,360
chapter,24,361
"well,",24,362
new,24,363
side,24,364
possible,24,365
elliot.,24,366
"house,",24,367
short,24,368
"now,",24,369
often,24,370
"he,",24,371
name,24,372
end,24,373
beginning,24,374
told,24,375
others,24,376
morning,24,377
taken,23,378
likely,23,379
account,23,380
"bath,",23,381
taking,23,382
company,23,383
"too,",23,384
"louisa,",23,385
less,23,386
considered,23,387
hayter,23,388
wished,23,389
making,23,390
object,23,391
understand,22,392
"family,",22,393
bad,22,394
"uppercross,",22,395
real,22,396
acquainted,22,397
talk,22,398
"morning,",22,399
sensible,22,400
pretty,22,401
use,22,402
"sister,",22,403
spoke,22,404
walk,22,405
"""it",22,406
immediately,22,407
return,22,408
"together,",22,409
"there,",22,410
feeling,21,411
"friend,",21,412
marry,21,413
"mind,",21,414
colonel,21,415
turned,21,416
musgroves,21,417
whose,21,418
smith,21,419
croft,21,420
"acquaintance,",21,421
got,21,422
excellent,21,423
"room,",21,424
early,20,425
"no,",20,426
"himself,",20,427
spoken,20,428
need,20,429
find,20,430
father's,20,431
crofts,20,432
manners,20,433
meet,20,434
high,20,435
"life,",20,436
asked,20,437
"said,",20,438
forward,20,439
appearance,20,440
usual,20,441
help,20,442
"harville,",20,443
different,20,444
mean,19,445
talking,19,446
giving,19,447
regard,19,448
"lyme,",19,449
person,19,450
"""that",19,451
speak,19,452
year,19,453
themselves,19,454
"therefore,",19,455
knowledge,19,456
bear,19,457
"elizabeth,",19,458
point,19,459
doing,19,460
walking,19,461
call,19,462
consequence,19,463
men,19,464
anne.,19,465
"short,",19,466
attention,18,467
degree,18,468
bath.,18,469
took,18,470
sorry,18,471
"henrietta,",18,472
herself.,18,473
living,18,474
finding,18,475
longer,18,476
used,18,477
life,18,478
particularly,18,479
within,18,480
beyond,18,481
sight,18,482
"be,",18,483
mother,18,484
happiness,18,485
"away,",18,486
advantage,18,487
worse,17,488
away.,17,489
disposed,17,490
face,17,491
wentworth.,17,492
"sure,",17,493
dalrymple,17,494
"but,",17,495
surprise,17,496
friends,17,497
minutes,17,498
generally,17,499
"that,",17,500
hours,17,501
satisfied,17,502
reason,17,503
walter's,17,504
hour,17,505
"other,",17,506
head,17,507
musgrove's,17,508
"woman,",17,509
"""the",17,510
influence,17,511
"which,",16,512
"so,",16,513
"over,",16,514
rest,16,515
else,16,516
pleased,16,517
concert,16,518
mary's,16,519
decided,16,520
doubt,16,521
second,16,522
"musgroves,",16,523
equal,16,524
lived,16,525
shepherd,16,526
"moment,",16,527
nobody,16,528
value,16,529
perfect,16,530
extremely,16,531
wife,16,532
ladies,16,533
suppose,16,534
word,16,535
means,16,536
"then,",16,537
large,16,538
"""a",16,539
kept,16,540
anxious,16,541
sometimes,16,542
answer,16,543
small,16,544
things,16,545
conversation,16,546
days,16,547
natural,15,548
afterwards,15,549
"afterwards,",15,550
"side,",15,551
lyme.,15,552
believed,15,553
ill,15,554
"on,",15,555
anybody,15,556
meant,15,557
attending,15,558
trying,15,559
delighted,15,560
lost,15,561
"benwick,",15,562
"""yes,",15,563
warm,15,564
women,15,565
wallis,15,566
eye,15,567
smallest,15,568
"this,",15,569
care,15,570
engagement,15,571
understood,15,572
"others,",15,573
nearly,15,574
"not,",15,575
"croft,",15,576
attachment,15,577
"once,",15,578
why,15,579
taste,15,580
drew,15,581
turn,15,582
perhaps,15,583
meeting,15,584
"""he",15,585
nature,15,586
"had,",15,587
circumstance,15,588
sense,15,589
sit,14,590
proper,14,591
"she,",14,592
opinion,14,593
waiting,14,594
"admiral,",14,595
sent,14,596
caught,14,597
exactly,14,598
"themselves,",14,599
air,14,600
engaged,14,601
"of,",14,602
sat,14,603
imagine,14,604
children,14,605
"yet,",14,606
settled,14,607
saying,14,608
getting,14,609
handsome,14,610
reached,14,611
allowed,14,612
world,14,613
"""no,",14,614
aware,14,615
"country,",14,616
kind,14,617
matter,14,618
knowing,14,619
