Word,Freq,Rank
the,64014,1
and,51313,2
of,34634,3
to,13567,4
that,12784,5
in,12503,6
he,10261,7
shall,9838,8
unto,8987,9
for,8810,10
i,8708,11
his,8450,12
a,8176,13
they,7297,14
be,6854,15
is,6852,16
with,6002,17
not,5883,18
all,5432,19
thou,5202,20
lord,4739,21
it,4698,22
thy,4600,23
was,4454,24
which,4394,25
my,4368,26
but,3952,27
their,3931,28
have,3882,29
ye,3848,30
will,3780,31
from,3641,32
as,3511,33
them,3508,34
him,3166,35
are,2922,36
when,2832,37
upon,2734,38
were,2716,39
this,2601,40
by,2576,41
out,2483,42
god,2303,43
said,2285,44
hath,2242,45
then,2125,46
there,2073,47
"him,",2034,48
into,2012,49
had,1993,50
came,1991,51
man,1978,52
on,1965,53
up,1898,54
son,1894,55
one,1823,56
we,1809,57
king,1794,58
me,1779,59
your,1778,60
before,1766,61
"lord,",1709,62
an,1699,63
"said,",1680,64
against,1664,65
shalt,1616,66
"them,",1607,67
come,1602,68
children,1588,69
if,1588,70
at,1565,71
so,1561,72
her,1533,73
thee,1530,74
also,1518,75
let,1506,76
no,1351,77
even,1333,78
made,1332,79
"saying,",1331,80
went,1328,81
house,1315,82
go,1266,83
every,1236,84
people,1229,85
do,1215,86
"thee,",1211,87
because,1200,88
"me,",1195,89
saith,1167,90
you,1166,91
our,1165,92
now,1163,93
these,1162,94
after,1154,95
land,1143,96
"behold,",1121,97
men,1111,98
or,1107,99
israel,1098,100
therefore,1082,101
o,1065,102
hast,1060,103
day,1059,104
make,1050,105
"god,",1027,106
may,1026,107
what,971,108
she,968,109
over,961,110
who,948,111
did,936,112
among,916,113
put,908,114
thine,904,115
any,900,116
neither,876,117
great,870,118
hand,864,119
give,861,120
take,856,121
brought,853,122
down,848,123
sons,839,124
"you,",835,125
am,833,126
him.,817,127
us,799,128
according,796,129
two,792,130
things,791,131
should,783,132
jesus,777,133
"israel,",767,134
nor,755,135
whom,755,136
took,742,137
forth,736,138
bring,722,139
thus,714,140
know,708,141
lord.,706,142
david,694,143
them.,692,144
set,685,145
yet,669,146
say,660,147
like,658,148
sent,655,149
name,654,150
away,612,151
"it,",601,152
mine,595,153
called,578,154
heard,574,155
own,573,156
word,562,157
god.,556,158
days,554,159
father,551,160
how,541,161
more,529,162
me.,528,163
"people,",527,164
spake,526,165
saw,525,166
holy,522,167
good,511,168
hundred,509,169
cast,497,170
eat,495,171
thee.,495,172
see,485,173
moses,484,174
given,482,175
than,481,176
many,479,177
art,478,178
heart,469,179
gave,464,180
those,463,181
city,450,182
seven,444,183
about,444,184
three,442,185
would,442,186
through,441,187
evil,437,188
time,436,189
might,434,190
it.,427,191
"man,",424,192
other,423,193
speak,416,194
done,414,195
thousand,411,196
pass,409,197
hear,404,198
place,403,199
way,396,200
"pass,",396,201
"house,",395,202
where,392,203
under,386,204
answered,386,205
again,385,206
without,383,207
commanded,377,208
judah,373,209
"say,",373,210
"and,",372,211
first,369,212
words,368,213
offering,367,214
until,366,215
thing,366,216
off,365,217
burnt,360,218
found,356,219
both,351,220
keep,351,221
midst,348,222
toward,346,223
spirit,342,224
israel.,339,225
high,336,226
himself,333,227
none,331,228
years,331,229
earth,328,230
fear,328,231
voice,326,232
him:,325,233
"day,",324,234
five,323,235
thereof,322,236
been,322,237
"yea,",322,238
you.,322,239
cities,321,240
wherefore,320,241
cut,318,242
dwell,318,243
lord:,316,244
right,315,245
round,315,246
whose,314,247
stood,313,248
"thereof,",313,249
priest,312,250
"son,",309,251
servant,306,252
them:,304,253
"hand,",303,254
"us,",303,255
"land,",302,256
"up,",295,257
four,295,258
"judah,",294,259
same,292,260
work,290,261
soul,290,262
lord;,290,263
pray,290,264
"men,",289,265
deliver,289,266
being,287,267
taken,287,268
me:,287,269
"king,",286,270
hands,285,271
young,283,272
cause,282,273
"brethren,",282,274
king's,282,275
blood,282,276
sin,280,277
turn,279,278
twenty,278,279
surely,278,280
eyes,277,281
told,276,282
"jerusalem,",276,283
law,276,284
why,275,285
servants,273,286
fire,273,287
face,273,288
blessed,271,289
them;,270,290
glory,270,291
left,269,292
"city,",268,293
"her,",267,294
side,266,295
themselves,265,296
turned,265,297
laid,265,298
kings,264,299
old,264,300
delivered,264,301
"father,",263,302
saul,261,303
"not,",261,304
chief,259,305
very,257,306
gathered,256,307
"earth,",255,308
priests,255,309
much,255,310
year,254,311
kingdom,253,312
"moses,",252,313
christ,251,314
god;,250,315
thee:,250,316
another,247,317
mighty,246,318
daughter,246,319
"egypt,",245,320
such,244,321
destroy,243,322
jerusalem,242,323
concerning,241,324
drink,239,325
together,238,326
woman,238,327
ten,237,328
love,237,329
wilt,237,330
end,237,331
"come,",237,332
tabernacle,235,333
seek,235,334
lay,234,335
lest,233,336
wicked,233,337
can,233,338
between,232,339
though,230,340
seen,230,341
full,228,342
peace,228,343
offer,227,344
fell,227,345
smote,227,346
shew,226,347
tribe,226,348
whole,226,349
send,226,350
begat,225,351
little,224,352
cometh,224,353
stand,223,354
flesh,222,355
save,221,356
mouth,220,357
mount,219,358
god:,219,359
fathers,219,360
spoken,218,361
meat,218,362
some,218,363
praise,217,364
dwelt,214,365
him;,213,366
"heaven,",211,367
heaven,209,368
thee;,209,369
tell,209,370
doth,207,371
"david,",206,372
aaron,205,373
solomon,205,374
sight,203,375
seed,203,376
covenant,203,377
day.,202,378
"heart,",201,379
mercy,200,380
rest,200,381
head,199,382
behold,199,383
altar,199,384
bread,199,385
inhabitants,198,386
life,197,387
strong,196,388
bear,196,389
people.,196,390
written,195,391
brethren,195,392
"thou,",195,393
fall,194,394
"offering,",194,395
having,193,396
part,193,397
earth.,193,398
return,193,399
serve,192,400
slew,191,401
"fathers,",191,402
six,191,403
jacob,191,404
brother,189,405
certain,189,406
gone,188,407
sat,188,408
only,187,409
princes,187,410
waters,186,411
while,186,412
call,186,413
known,185,414
not.,184,415
walk,184,416
"things,",182,417
ever.,182,418
nations,182,419
above,182,420
whosoever,181,421
angel,181,422
cannot,181,423
"down,",181,424
congregation,180,425
wise,179,426
ark,177,427
it:,177,428
power,176,429
me;,176,430
well,173,431
water,173,432
bare,173,433
"out,",173,434
began,172,435
"gold,",172,436
sword,171,437
jerusalem.,171,438
hold,171,439
within,170,440
till,169,441
whether,169,442
book,168,443
reigned,168,444
third,167,445
wherein,167,446
multitude,166,447
wife,166,448
kept,166,449
sacrifice,166,450
"sons,",165,451
receive,165,452
long,165,453
gate,165,454
could,165,455
israel:,164,456
knew,164,457
gather,163,458
light,163,459
throughout,161,460
house.,161,461
judge,160,462
joshua,160,463
it;,159,464
thirty,159,465
cried,158,466
righteous,158,467
departed,158,468
passed,158,469
"again,",158,470
lifted,158,471
forty,157,472
judgment,157,473
far,156,474
manner,156,475
fruit,156,476
you:,154,477
egypt,153,478
sea,153,479
build,153,480
able,152,481
built,152,482
"place,",151,483
find,151,484
moreover,151,485
whatsoever,151,486
"together,",150,487
second,149,488
received,149,489
"lo,",148,490
"also,",148,491
hand.,148,492
"go,",146,493
levites,146,494
"now,",146,495
"therefore,",146,496
gold,145,497
inheritance,145,498
new,145,499
jews,144,500
"way,",144,501
near,144,502
father's,144,503
carried,144,504
disciples,143,505
dead,143,506
look,143,507
"sea,",143,508
righteousness,142,509
enter,142,510
returned,142,511
us.,142,512
israel;,142,513
"christ,",141,514
prophet,141,515
land.,140,516
number,140,517
daughters,139,518
"away,",138,519
thereof.,138,520
nothing,138,521
filled,138,522
silver,138,523
commandment,137,524
"children,",137,525
elders,137,526
strength,136,527
"days,",136,528
anger,136,529
become,135,530
philistines,135,531
"servants,",135,532
joseph,135,533
thyself,135,534
"law,",134,535
grace,134,536
door,134,537
men.,134,538
"priest,",133,539
most,133,540
broken,133,541
border,133,542
lie,132,543
remember,132,544
must,132,545
break,132,546
faith,131,547
hearken,131,548
burn,131,549
beside,131,550
"sword,",130,551
"eyes,",130,552
not:,130,553
shewed,130,554
cry,129,555
works,129,556
wrath,129,557
rejoice,129,558
slain,128,559
rose,128,560
born,128,561
twelve,128,562
meet,128,563
offerings,127,564
half,127,565
goeth,127,566
fifty,127,567
unclean,126,568
iniquity,126,569
places,126,570
thee?,126,571
ever,126,572
offered,126,573
wisdom,126,574
maketh,125,575
sought,125,576
night,123,577
"month,",123,578
"name,",123,579
"silver,",123,580
captain,122,581
pharaoh,122,582
die,122,583
didst,122,584
rise,122,585
poor,122,586
giveth,122,587
mother,121,588
smite,121,589
whither,121,590
abraham,120,591
bless,120,592
"voice,",120,593
me?,119,594
"wife,",119,595
man's,119,596
"hosts,",119,597
"fire,",118,598
wilderness,118,599
vessels,118,600
"that,",117,601
"dead,",117,602
host,117,603
feet,116,604
"jesus,",116,605
lord's,116,606
"himself,",115,607
death,115,608
child,115,609
yourselves,115,610
field,114,611
prophets,114,612
mayest,113,613
seeing,113,614
seventh,113,615
fine,113,616
slay,113,617
destroyed,113,618
world,113,619
get,112,620
leave,112,621
hid,111,622
peter,111,623
war,111,624
paul,111,625
asked,111,626
living,111,627
enemies,111,628
family,110,629
throne,110,630
counsel,110,631
sit,109,632
"this,",109,633
babylon,109,634
numbered,108,635
"time,",108,636
kill,108,637
wherewith,108,638
walked,108,639
trust,107,640
open,107,641
stone,107,642
sing,107,643
"servant,",107,644
spread,107,645
became,106,646
appointed,106,647
better,106,648
"another,",105,649
"priests,",105,650
jeremiah,105,651
"jacob,",104,652
earth:,104,653
not;,104,654
saying,104,655
"water,",104,656
wine,104,657
lift,104,658
live,103,659
here,103,660
followed,103,661
believe,103,662
opened,103,663
"flesh,",103,664
samuel,103,665
king.,103,666
"he,",102,667
"in,",101,668
entered,101,669
"side,",101,670
"answered,",101,671
"babylon,",101,672
reign,101,673
teach,101,674
river,101,675
east,101,676
beasts,101,677
woe,100,678
looked,100,679
women,100,680
command,100,681
fat,100,682
possess,100,683
cubits,99,684
witness,98,685
her.,98,686
answer,98,687
truth,98,688
"wilderness,",98,689
"is,",98,690
"brother,",98,691
valley,98,692
"congregation,",98,693
help,98,694
sabbath,97,695
"i,",97,696
back,97,697
sweet,97,698
trees,97,699
"peace,",97,700
"night,",97,701
temple,97,702
knoweth,97,703
month,97,704
"field,",97,705
"offerings,",96,706
captains,96,707
ask,96,708
hezekiah,96,709
gods,95,710
"life,",95,711
"blood,",95,712
egypt.,95,713
"mouth,",95,714
"aaron,",95,715
"world,",95,716
ears,95,717
worship,95,718
shut,94,719
fight,94,720
death.,94,721
"arise,",94,722
caused,94,723
buried,94,724
morning,94,725
bound,94,726
man.,93,727
wall,93,728
tree,93,729
ought,93,730
"be,",93,731
feast,93,732
joy,93,733
fled,92,734
utterly,92,735
service,92,736
sun,92,737
depart,91,738
knowledge,91,739
beast,91,740
"forth,",91,741
afraid,91,742
"bread,",91,743
him?,91,744
"altar,",90,745
desire,90,746
nevertheless,90,747
wrought,90,748
christ.,90,749
people:,90,750
declare,90,751
died,90,752
"saul,",90,753
covered,90,754
"gods,",90,755
honour,90,756
"morning,",90,757
place.,89,758
body,89,759
south,89,760
prince,89,761
oil,88,762
families,88,763
top,88,764
john,88,765
carry,88,766
away.,88,767
flee,88,768
heart.,88,769
chosen,88,770
"hear,",87,771
"ye,",87,772
threescore,87,773
"spirit,",87,774
"about,",87,775
money,87,776
days.,87,777
ways,86,778
never,86,779
prepared,86,780
"death,",86,781
wait,86,782
arose,86,783
you;,86,784
jonathan,86,785
going,86,786
believed,85,787
stones,85,788
"words,",85,789
"hands,",85,790
verily,85,791
suffer,85,792
drew,85,793
hope,85,794
wash,85,795
"head,",85,796
"saith,",85,797
"came,",84,798
"levites,",84,799
sins,84,800
there.,84,801
mountains,84,802
lot,84,803
"nations,",84,804
loved,84,805
joab,84,806
"thing,",84,807
ever:,83,808
son.,83,809
doeth,83,810
"years,",83,811
present,83,812
nigh,83,813
thence,83,814
"woman,",83,815
remnant,83,816
burned,83,817
country,82,818
again.,82,819
poured,82,820
incense,82,821
(for,82,822
"arose,",82,823
us:,82,824
"wine,",82,825
"abraham,",82,826
hosts,81,827
"there,",81,828
ready,81,829
times,81,830
commandments,81,831
minister,81,832
likewise,81,833
presence,81,834
"themselves,",81,835
hide,81,836
pure,80,837
heaven.,80,838
tongue,80,839
charge,80,840
plague,80,841
city.,80,842
prepare,79,843
noise,79,844
follow,79,845
"prophets,",79,846
ephraim,79,847
"face,",79,848
raised,79,849
bringeth,79,850
portion,79,851
"good,",79,852
tribes,79,853
everlasting,79,854
"righteousness,",78,855
sound,78,856
houses,78,857
jeroboam,78,858
life.,78,859
fire.,78,860
spoil,78,861
earth;,78,862
"evil,",78,863
hate,78,864
pitched,78,865
small,78,866
hearkened,77,867
feed,77,868
abide,77,869
day:,77,870
all.,77,871
eye,77,872
firstborn,77,873
tenth,77,874
nation,76,875
name.,76,876
things.,76,877
committed,76,878
people;,76,879
up.,76,880
years.,76,881
north,76,882
gates,76,883
knowest,76,884
coming,75,885
understanding,75,886
hand:,75,887
"mother,",75,888
strange,75,889
fourth,75,890
draw,75,891
"oil,",75,892
mother's,75,893
come.,74,894
sore,74,895
commit,74,896
taketh,74,897
father.,74,898
write,74,899
breadth,74,900
"all,",74,901
jordan,73,902
atonement,73,903
bowed,73,904
sheep,73,905
offering:,73,906
shouldest,73,907
salvation,73,908
except,73,909
"sin,",73,910
out.,73,911
whereof,72,912
thought,72,913
sold,72,914
cattle,72,915
selah.,72,916
"feet,",72,917
whence,72,918
cover,72,919
die.,71,920
land:,71,921
moses.,71,922
"pharaoh,",71,923
lips,71,924
stretched,71,925
"disciples,",71,926
court,71,927
sware,71,928
"enemies,",71,929
beginning,70,930
"temple,",70,931
served,70,932
wind,70,933
removed,70,934
ruler,70,935
"ways,",70,936
