Word,Freq,Rank
the,4594,1
a,2109,2
and,2109,3
of,2068,4
to,1371,5
he,1253,6
in,1216,7
was,1103,8
his,955,9
that,798,10
i,765,11
with,726,12
it,715,13
as,614,14
but,592,15
you,526,16
had,514,17
on,432,18
at,428,19
is,420,20
for,397,21
like,313,22
said,307,23
not,302,24
be,296,25
have,282,26
or,280,27
by,263,28
one,261,29
an,239,30
this,235,31
were,232,32
him,230,33
from,226,34
all,226,35
which,225,36
man,225,37
"""i",222,38
father,219,39
they,214,40
if,212,41
more,211,42
there,206,43
so,186,44
my,185,45
very,183,46
out,174,47
some,170,48
up,168,49
about,167,50
who,167,51
could,165,52
than,159,53
are,149,54
been,148,55
brown,146,56
rather,142,57
when,141,58
into,140,59
only,138,60
little,137,61
what,133,62
would,130,63
other,129,64
no,125,65
then,122,66
me,119,67
know,116,68
old,116,69
her,111,70
think,110,71
down,109,72
looked,109,73
two,108,74
will,107,75
she,106,76
seemed,106,77
we,105,78
do,103,79
even,103,80
did,102,81
something,99,82
just,98,83
their,97,84
mr,95,85
has,92,86
such,91,87
still,90,88
don't,90,89
quite,87,90
black,84,91
see,84,92
priest,83,93
over,83,94
your,83,95
made,80,96
long,80,97
can,80,98
any,80,99
great,79,100
heard,79,101
never,76,102
before,75,103
asked,74,104
face,74,105
"brown,",73,106
them,72,107
came,72,108
back,72,109
after,72,110
must,71,111
head,70,112
though,70,113
say,69,114
might,69,115
most,69,116
"""but",66,117
almost,66,118
went,65,119
really,64,120
first,64,121
tell,63,122
flambeau,62,123
own,61,124
eyes,61,125
stood,60,126
its,60,127
much,60,128
"said,",59,129
come,59,130
look,59,131
because,57,132
"""and",57,133
sort,57,134
saw,56,135
those,56,136
yet,56,137
should,56,138
round,55,139
himself,55,140
where,54,141
found,54,142
now,53,143
men,53,144
it.,52,145
cried,52,146
door,52,147
got,51,148
against,51,149
"him,",51,150
figure,51,151
thought,51,152
our,50,153
"""you",50,154
another,50,155
him.,50,156
both,49,157
looking,49,158
without,49,159
under,49,160
seen,49,161
across,49,162
these,48,163
"it,",48,164
turned,48,165
may,48,166
white,47,167
through,47,168
it's,47,169
am,47,170
go,46,171
towards,46,172
small,46,173
here,46,174
replied,46,175
"""the",46,176
same,45,177
three,45,178
how,45,179
thing,44,180
time,44,181
take,44,182
"""it",44,183
why,44,184
answered,44,185
dark,43,186
house,43,187
"""he",43,188
whole,43,189
once,43,190
mean,43,191
hair,42,192
always,42,193
get,42,194
place,42,195
being,42,196
things,41,197
red,40,198
nothing,40,199
many,40,200
young,40,201
last,40,202
began,40,203
can't,39,204
left,39,205
certain,39,206
off,39,207
end,39,208
brown.,39,209
sir,38,210
also,38,211
well,38,212
"""what",37,213
garden,37,214
every,37,215
"flambeau,",37,216
kind,37,217
make,37,218
put,37,219
behind,37,220
away,36,221
between,36,222
want,36,223
called,35,224
too,35,225
suddenly,35,226
way,35,227
front,35,228
"""that",34,229
voice,34,230
friend,34,231
find,34,232
going,34,233
dr,34,234
took,34,235
already,33,236
big,32,237
glass,32,238
grey,32,239
family,32,240
name,32,241
good,32,242
again,32,243
"then,",32,244
room,31,245
people,30,246
us,30,247
"and,",30,248
boulnois,30,249
shall,30,250
he's,30,251
hat,30,252
told,30,253
few,30,254
ran,29,255
side,29,256
half,29,257
"priest,",29,258
anything,29,259
sat,29,260
moment,29,261
english,28,262
didn't,28,263
along,28,264
mere,28,265
enough,28,266
above,28,267
blue,27,268
instant,27,269
let,27,270
miss,27,271
"man,",27,272
felt,27,273
coming,27,274
call,26,275
large,26,276
upon,26,277
set,26,278
hand,26,279
perhaps,25,280
"""well,",25,281
walked,25,282
said.,25,283
short,25,284
lord,25,285
held,25,286
words,24,287
green,24,288
poor,24,289
part,24,290
girl,24,291
pendragon,24,292
whether,23,293
knew,23,294
word,23,295
less,23,296
far,23,297
story,23,298
corner,23,299
muscari,23,300
"well,",23,301
each,23,302
them.,22,303
"""if",22,304
"""my",22,305
secret,22,306
point,22,307
sure,22,308
done,22,309
man's,22,310
fell,22,311
"""do",22,312
strange,22,313
hardly,22,314
lay,21,315
duke,21,316
tall,21,317
light,21,318
i'm,21,319
ever,21,320
except,21,321
high,21,322
whom,21,323
french,21,324
broken,21,325
certainly,21,326
opened,21,327
among,21,328
table,21,329
eye,21,330
appeared,21,331
sent,21,332
close,20,333
common,20,334
fact,20,335
"was,",20,336
somewhat,20,337
having,20,338
open,20,339
"that,",20,340
somehow,20,341
new,20,342
help,20,343
air,20,344
either,20,345
wild,20,346
right,20,347
sense,19,348
beyond,19,349
feet,19,350
third,19,351
"""why,",19,352
seems,19,353
fanshaw,19,354
sea,19,355
that's,19,356
while,19,357
king,19,358
till,19,359
"you,",19,360
major,19,361
sitting,19,362
believe,19,363
outside,19,364
talk,19,365
dead,18,366
keep,18,367
"""i'm",18,368
full,18,369
wall,18,370
give,18,371
known,18,372
odd,18,373
gentleman,18,374
probably,18,375
equally,18,376
cut,18,377
until,18,378
next,18,379
flambeau.,18,380
blood,18,381
strong,18,382
hear,18,383
fear,18,384
priest.,18,385
suppose,17,386
"""a",17,387
ask,17,388
followed,17,389
"table,",17,390
does,17,391
roman,17,392
simply,17,393
human,17,394
evening,17,395
second,17,396
better,17,397
wrong,17,398
private,17,399
american,17,400
hirsch,17,401
machine,17,402
read,17,403
spoke,17,404
seem,17,405
gone,17,406
whose,17,407
burst,17,408
brother,17,409
passage,17,410
gave,17,411
stand,17,412
cutler,17,413
seymour,17,414
"mean?""",17,415
used,17,416
trees,16,417
window,16,418
hold,16,419
real,16,420
wood,16,421
silent,16,422
noise,16,423
exactly,16,424
"voice,",16,425
john,16,426
colour,16,427
kidd,16,428
nearly,16,429
passed,16,430
pretty,16,431
"""this",16,432
continued,16,433
person,16,434
"however,",16,435
kill,16,436
doesn't,16,437
i've,16,438
mrs,16,439
showed,16,440
happened,16,441
"face,",16,442
near,16,443
"muscari,",16,444
myself,15,445
yellow,15,446
deal,15,447
huge,15,448
nobody,15,449
other.,15,450
said:,15,451
fallen,15,452
meant,15,453
business,15,454
least,15,455
"""oh,",15,456
curious,15,457
low,15,458
standing,15,459
heavy,15,460
comparatively,15,461
threw,15,462
else,15,463
philip,15,464
woman,15,465
"""is",15,466
"me,",15,467
natural,15,468
often,15,469
tower,15,470
colonel,15,471
purple,15,472
"""there",15,473
"""well,""",15,474
opposite,15,475
"it.""",15,476
isn't,15,477
gold,14,478
cray,14,479
looks,14,480
different,14,481
"""yes,""",14,482
river,14,483
"other,",14,484
years,14,485
doubt,14,486
you've,14,487
judge,14,488
extraordinary,14,489
mouth,14,490
fancy,14,491
doctor,14,492
me.,14,493
"indeed,",14,494
"""to",14,495
prince,14,496
case,14,497
water,14,498
talking,14,499
lady,14,500
shot,14,501
paper,14,502
cannot,14,503
road,14,504
"again,",14,505
money,14,506
"hair,",14,507
"now,",13,508
observed,13,509
taken,13,510
brought,13,511
clerical,13,512
street,13,513
tried,13,514
top,13,515
inside,13,516
face.,13,517
rose,13,518
voice.,13,519
indeed,13,520
answer,13,521
police,13,522
captain,13,523
pointed,13,524
anyone,13,525
public,13,526
leave,13,527
true,13,528
since,13,529
"sea,",13,530
turning,13,531
"them,",13,532
nor,13,533
sea.,13,534
turn,13,535
"black,",13,536
couldn't,13,537
there's,13,538
reason,13,539
champion,13,540
"""that's",13,541
hand.,13,542
carried,13,543
friends,13,544
broke,13,545
harrogate,13,546
"all,",12,547
around,12,548
fall,12,549
show,12,550
him;,12,551
everything,12,552
mysterious,12,553
again.,12,554
straight,12,555
eyes.,12,556
alone,12,557
scarf,12,558
"room,",12,559
todhunter,12,560
evidently,12,561
park,12,562
picked,12,563
home,12,564
empty,12,565
sprang,12,566
expression,12,567
"out,",12,568
wilson,12,569
"course,",12,570
carstairs,12,571
usher,12,572
became,12,573
door.,12,574
speak,12,575
meet,12,576
silence,12,577
horrible,12,578
entirely,12,579
