Word,Freq,Rank
the,992,1
and,860,2
to,683,3
of,605,4
i,520,5
my,499,6
a,497,7
you,449,8
in,377,9
it,349,10
that,341,11
ham.,337,12
is,296,13
his,283,14
not,268,15
your,253,16
with,249,17
but,248,18
this,238,19
for,227,20
as,196,21
what,190,22
he,189,23
be,174,24
haue,171,25
me,164,26
so,153,27
will,139,28
our,130,29
we,126,30
are,117,31
him,116,32
no,114,33
if,110,34
on,108,35
shall,106,36
by,103,37
or,102,38
thou,101,39
king.,96,40
hor.,95,41
let,94,42
then,92,43
good,91,44
thy,90,45
all,87,46
they,86,47
from,86,48
how,85,49
do,85,50
lord,83,51
her,83,52
at,81,53
most,77,54
more,76,55
was,75,56
like,73,57
"lord,",73,58
enter,72,59
oh,71,60
now,68,61
come,67,62
would,66,63
'tis,62,64
qu.,62,65
may,61,66
there,60,67
laer.,60,68
know,59,69
ile,58,70
giue,58,71
hath,57,72
must,57,73
did,56,74
ophe.,56,75
should,54,76
which,53,77
an,53,78
why,52,79
make,52,80
where,51,81
when,51,82
such,51,83
vpon,50,84
pol.,49,85
very,49,86
their,48,87
am,48,88
some,45,89
them,45,90
had,44,91
selfe,43,92
speake,43,93
rosin.,43,94
doe,43,95
she,42,96
these,42,97
much,42,98
hamlet,41,99
tell,41,100
king,40,101
out,40,102
too,40,103
thee,39,104
one,39,105
well,38,106
polon.,38,107
mine,37,108
vs,37,109
thinke,37,110
yet,36,111
go,36,112
see,35,113
who,34,114
heere,34,115
say,34,116
"sir,",33,117
lord?,33,118
th',33,119
loue,33,120
take,32,121
nor,32,122
can,32,123
thus,32,124
"it,",31,125
o,31,126
man,31,127
could,31,128
mar.,31,129
"you,",30,130
father,29,131
clo.,29,132
time,29,133
owne,28,134
"king,",28,135
might,28,136
looke,28,137
"him,",28,138
"hamlet,",27,139
cannot,27,140
doth,27,141
"come,",27,142
whose,27,143
were,26,144
vp,26,145
pray,26,146
into,26,147
&,25,148
heare,25,149
made,24,150
hold,24,151
neuer,24,152
call,23,153
set,22,154
exeunt.,22,155
"i,",22,156
though,22,157
put,22,158
leaue,22,159
"me,",22,160
both,22,161
hamlet.,21,162
hast,21,163
against,20,164
sweet,20,165
two,20,166
euen,20,167
guild.,20,168
"no,",20,169
dead,19,170
comes,19,171
heauen,19,172
deere,19,173
him.,19,174
poore,19,175
those,19,176
till,19,177
i'th',19,178
great,19,179
play,18,180
head,18,181
shew,18,182
night,18,183
nothing,18,184
exit,18,185
osr.,18,186
thing,18,187
hee,18,188
"not,",18,189
mother,18,190
fathers,18,191
"loue,",18,192
any,17,193
does,17,194
"well,",17,195
"horatio,",17,196
"vs,",17,197
queene,17,198
about,17,199
there's,16,200
sir,16,201
world,16,202
indeed,16,203
beleeue,16,204
"selfe,",15,205
"laertes,",15,206
bee,15,207
betweene,15,208
"nay,",15,209
goe,15,210
god,15,211
art,15,212
meanes,15,213
you:,15,214
keepe,15,215
that's,15,216
this?,15,217
againe,15,218
soule,15,219
"death,",15,220
noble,15,221
ere,15,222
"heauen,",15,223
old,15,224
"so,",15,225
makes,15,226
matter,14,227
many,14,228
seene,14,229
before,14,230
since,14,231
faire,14,232
kin.,14,233
me.,14,234
ha's,14,235
feare,14,236
long,13,237
still,13,238
follow,13,239
liue,13,240
words,13,241
"soule,",13,242
you?,13,243
players,13,244
sent,13,245
"life,",13,246
hand,13,247
wee'l,13,248
nature,13,249
lord.,13,250
it.,13,251
"mother,",13,252
part,13,253
off,13,254
beare,13,255
enter.,13,256
therefore,13,257
mad,13,258
madnesse,13,259
reynol.,13,260
finde,13,261
same,13,262
stand,13,263
"queene,",12,264
something,12,265
thoughts,12,266
beene,12,267
once,12,268
saw,12,269
"this,",12,270
vse,12,271
without,12,272
o're,12,273
bring,12,274
true,12,275
better,12,276
farre,12,277
"father,",12,278
"now,",12,279
laertes,12,280
other.,12,281
horatio,12,282
each,11,283
first,11,284
dost,11,285
speech,11,286
downe,11,287
"time,",11,288
after,11,289
verie,11,290
heart,11,291
"say,",11,292
what's,11,293
nay,11,294
is't,11,295
eare,11,296
little,11,297
other,11,298
life,11,299
none,11,300
away,11,301
euer,11,302
"ophelia,",11,303
death,11,304
day,11,305
welcome,11,306
done,10,307
play.,10,308
remember,10,309
me?,10,310
"night,",10,311
"be,",10,312
end,10,313
goes,10,314
within,10,315
england,10,316
fit,10,317
marke,10,318
him:,10,319
"oh,",10,320
excellent,10,321
ghost.,10,322
giuen,10,323
denmarke,10,324
barn.,10,325
vertue,10,326
forme,10,327
foule,10,328
best,10,329
let's,10,330
"is,",10,331
being,10,332
"downe,",10,333
"indeed,",10,334
guil.,10,335
"then,",10,336
three,9,337
cause,9,338
thine,9,339
'twere,9,340
rest,9,341
get,9,342
grace,9,343
"againe,",9,344
thought,9,345
question,9,346
ghost,9,347
so:,9,348
polonius.,9,349
"heart,",9,350
me:,9,351
kinde,9,352
further,9,353
me;,9,354
"out,",9,355
(as,9,356
oft,9,357
eyes,9,358
draw,9,359
full,9,360
"all,",9,361
"too,",9,362
pyrrhus,9,363
"go,",9,364
winde,9,365
earth,9,366
gho.,9,367
hora.,9,368
wilt,8,369
himselfe,8,370
minde,8,371
way,8,372
both.,8,373
sit,8,374
that?,8,375
young,8,376
newes,8,377
"earth,",8,378
while,8,379
last,8,380
brothers,8,381
whole,8,382
seeke,8,383
thousand,8,384
"sword,",8,385
you.,8,386
fran.,8,387
please,8,388
lay,8,389
fell,8,390
"man,",8,391
yong,8,392
deare,8,393
sweare,8,394
watch,8,395
all.,8,396
stay,8,397
free,8,398
euery,8,399
"marry,",8,400
heard,8,401
"what,",8,402
things,8,403
"friends,",8,404
businesse,8,405
body,8,406
"dead,",8,407
came,8,408
honest,8,409
sonne,8,410
second,8,411
seeme,8,412
else,8,413
"know,",7,414
bin,7,415
selues,7,416
"away,",7,417
maiesty,7,418
ayre,7,419
"fortinbras,",7,420
"on,",7,421
gaue,7,422
passion,7,423
drinke,7,424
you;,7,425
it:,7,426
hamlets,7,427
loue.,7,428
doubt,7,429
guildensterne.,7,430
kings,7,431
"madam,",7,432
thee.,7,433
"god,",7,434
"nature,",7,435
custome,7,436
almost,7,437
receiue,7,438
strange,7,439
answer,7,440
within.,7,441
giues,7,442
"done,",7,443
beseech,7,444
power,7,445
bar.,7,446
"day,",7,447
meane,7,448
marry,7,449
"thee,",7,450
spirit,7,451
now?,7,452
lye,7,453
duty,7,454
ye,7,455
seemes,7,456
friends,7,457
right,7,458
wee,7,459
through,7,460
"youth,",7,461
"sonne,",7,462
"gentlemen,",7,463
it?,7,464
reason,7,465
walke,7,466
top,7,467
daughter,7,468
thanke,7,469
breath,7,470
men,7,471
tongue,7,472
neere,7,473
well:,7,474
common,7,475
"himselfe,",7,476
breake,7,477
sword,7,478
"why,",6,479
alone,6,480
iudgement,6,481
heauens,6,482
takes,6,483
face,6,484
fashion,6,485
eye,6,486
shewes,6,487
"more,",6,488
faith,6,489
"eyes,",6,490
"do,",6,491
hamlet?,6,492
he's,6,493
"vp,",6,494
ought,6,495
"gertrude,",6,496
farewell.,6,497
"polonius,",6,498
"rosincrance,",6,499
fine,6,500
reuenge,6,501
"them,",6,502
"bed,",6,503
fare,6,504
poyson,6,505
blood,6,506
purpose,6,507
keepes,6,508
hot,6,509
queen.,6,510
foole,6,511
"gone,",6,512
youth,6,513
cast,6,514
bad,6,515
them.,6,516
seruice,6,517
false,6,518
"fortune,",6,519
vnderstand,6,520
word,6,521
offence,6,522
alas,6,523
"watch,",6,524
name,6,525
ophelia,6,526
helpe,6,527
"that,",6,528
"eye,",6,529
damned,6,530
"will,",6,531
it;,6,532
fortunes,6,533
"world,",6,534
double,6,535
"her,",6,536
bid,6,537
greefe,6,538
here,6,539
true:,6,540
grow,6,541
fortinbras,5,542
anon,5,543
vnto,5,544
sure,5,545
death.,5,546
times,5,547
"friend,",5,548
husband,5,549
this:,5,550
round,5,551
"state,",5,552
pale,5,553
them:,5,554
shalt,5,555
letters,5,556
armes,5,557
fat,5,558
graue,5,559
fall,5,560
hands,5,561
generall,5,562
writ,5,563
in's,5,564
"hand,",5,565
pardon,5,566
table,5,567
said,5,568
"soft,",5,569
you'l,5,570
"england,",5,571
late,5,572
conscience,5,573
tis,5,574
not?,5,575
hope,5,576
look,5,577
"fire,",5,578
"thoughts,",5,579
fellow,5,580
effect,5,581
laertes?,5,582
noise,5,583
"said,",5,584
quiet,5,585
"heere,",5,586
bed,5,587
brother,5,588
mothers,5,589
ophelia.,5,590
woman,5,591
told,5,592
act,5,593
age,5,594
'twas,5,595
"o,",5,596
action,5,597
"he,",5,598
blacke,5,599
thinkes,5,600
lesse,5,601
heere's,5,602
drowne,5,603
mee,5,604
mans,5,605
another,5,606
saue,5,607
vnder,5,608
teach,5,609
wager,5,610
so.,5,611
do's,5,612
gracious,5,613
lost,5,614
circumstance,5,615
light,5,616
neither,5,617
cries,5,618
ill,5,619
"blood,",5,620
onely,5,621
honor,5,622
'gainst,5,623
wicked,5,624
too't,5,625
sir:,5,626
scull,5,627
peece,5,628
dayes,5,629
found,5,630
"faith,",5,631
"ho,",5,632
queene.,5,633
players.,5,634
vilde,5,635
danish,5,636
"spirit,",5,637
dread,5,638
went,5,639
"hell,",5,640
desperate,5,641
borne,5,642
friend,5,643
whereon,5,644
horatio.,5,645
"which,",5,646
buried,5,647
teares,5,648
state,5,649
"helpe,",5,650
"heard,",5,651
guildensterne,5,652
for.,5,653
mother.,5,654
e'ene,5,655
needs,5,656
"voyce,",4,657
"made,",4,658
"land,",4,659
"other,",4,660
"norway,",4,661
violent,4,662
away:,4,663
silence,4,664
hell,4,665
particular,4,666
knaue,4,667
cursed,4,668
treasure,4,669
count,4,670
"there,",4,671
"rest,",4,672
hither,4,673
moue,4,674
"slaine,",4,675
shot,4,676
instant,4,677
themselues,4,678
treason,4,679
discourse,4,680
murther,4,681
"speake,",4,682
nature;,4,683
sayes,4,684
warlike,4,685
humbly,4,686
sound,4,687
loues,4,688
memory,4,689
sometimes,4,690
would'st,4,691
dumbe,4,692
sing,4,693
white,4,694
knowne,4,695
play:,4,696
"thus,",4,697
shal,4,698
sodaine,4,699
water,4,700
ha?,4,701
morning,4,702
"doe,",4,703
cannon,4,704
heeles,4,705
wil,4,706
woe,4,707
wife,4,708
meet,4,709
