Word,Freq,Rank
the,4594,1
a,2109,2
and,2109,3
of,2068,4
to,1371,5
he,1253,6
in,1216,7
was,1103,8
his,955,9
that,798,10
i,765,11
with,726,12
it,715,13
as,614,14
but,592,15
you,526,16
had,514,17
on,432,18
at,428,19
is,420,20
for,397,21
like,313,22
said,307,23
not,302,24
be,296,25
have,282,26
or,280,27
by,263,28
one,261,29
an,239,30
this,235,31
were,232,32
him,230,33
all,226,34
from,226,35
man,225,36
which,225,37
"""i",222,38
father,219,39
they,214,40
if,212,41
more,211,42
there,206,43
so,186,44
my,185,45
very,183,46
out,174,47
some,170,48
up,168,49
about,167,50
who,167,51
could,165,52
than,159,53
are,149,54
been,148,55
brown,146,56
rather,142,57
when,141,58
into,140,59
only,138,60
little,137,61
what,133,62
would,130,63
other,129,64
no,125,65
then,122,66
me,119,67
know,116,68
old,116,69
her,111,70
think,110,71
looked,109,72
down,109,73
two,108,74
will,107,75
seemed,106,76
she,106,77
we,105,78
do,103,79
even,103,80
did,102,81
something,99,82
just,98,83
their,97,84
mr,95,85
has,92,86
such,91,87
don't,90,88
still,90,89
quite,87,90
see,84,91
black,84,92
your,83,93
priest,83,94
over,83,95
can,80,96
any,80,97
made,80,98
long,80,99
great,79,100
heard,79,101
never,76,102
before,75,103
face,74,104
asked,74,105
"brown,",73,106
after,72,107
back,72,108
came,72,109
them,72,110
must,71,111
head,70,112
though,70,113
might,69,114
say,69,115
most,69,116
"""but",66,117
almost,66,118
went,65,119
first,64,120
really,64,121
tell,63,122
flambeau,62,123
own,61,124
eyes,61,125
its,60,126
stood,60,127
much,60,128
"said,",59,129
look,59,130
come,59,131
because,57,132
sort,57,133
"""and",57,134
saw,56,135
should,56,136
those,56,137
yet,56,138
round,55,139
himself,55,140
where,54,141
found,54,142
now,53,143
men,53,144
cried,52,145
it.,52,146
door,52,147
"him,",51,148
against,51,149
got,51,150
thought,51,151
figure,51,152
our,50,153
another,50,154
him.,50,155
"""you",50,156
under,49,157
without,49,158
looking,49,159
both,49,160
seen,49,161
across,49,162
may,48,163
"it,",48,164
turned,48,165
these,48,166
through,47,167
white,47,168
am,47,169
it's,47,170
towards,46,171
small,46,172
replied,46,173
here,46,174
go,46,175
"""the",46,176
how,45,177
three,45,178
same,45,179
take,44,180
thing,44,181
time,44,182
"""it",44,183
answered,44,184
why,44,185
mean,43,186
once,43,187
dark,43,188
"""he",43,189
house,43,190
whole,43,191
get,42,192
always,42,193
hair,42,194
place,42,195
being,42,196
things,41,197
many,40,198
last,40,199
red,40,200
began,40,201
nothing,40,202
young,40,203
end,39,204
certain,39,205
off,39,206
brown.,39,207
left,39,208
can't,39,209
sir,38,210
also,38,211
well,38,212
"""what",37,213
"flambeau,",37,214
kind,37,215
make,37,216
put,37,217
every,37,218
behind,37,219
garden,37,220
away,36,221
between,36,222
want,36,223
suddenly,35,224
front,35,225
called,35,226
too,35,227
way,35,228
going,34,229
friend,34,230
voice,34,231
"""that",34,232
find,34,233
dr,34,234
took,34,235
already,33,236
family,32,237
grey,32,238
big,32,239
glass,32,240
"then,",32,241
name,32,242
good,32,243
again,32,244
room,31,245
us,30,246
shall,30,247
"and,",30,248
people,30,249
boulnois,30,250
hat,30,251
few,30,252
he's,30,253
told,30,254
side,29,255
anything,29,256
"priest,",29,257
ran,29,258
moment,29,259
half,29,260
sat,29,261
english,28,262
mere,28,263
above,28,264
along,28,265
didn't,28,266
enough,28,267
coming,27,268
instant,27,269
"man,",27,270
felt,27,271
let,27,272
blue,27,273
miss,27,274
set,26,275
upon,26,276
large,26,277
call,26,278
hand,26,279
held,25,280
lord,25,281
short,25,282
said.,25,283
"""well,",25,284
walked,25,285
perhaps,25,286
pendragon,24,287
part,24,288
green,24,289
girl,24,290
poor,24,291
words,24,292
"well,",23,293
less,23,294
word,23,295
corner,23,296
far,23,297
whether,23,298
each,23,299
knew,23,300
story,23,301
muscari,23,302
sure,22,303
fell,22,304
strange,22,305
them.,22,306
man's,22,307
secret,22,308
done,22,309
"""if",22,310
hardly,22,311
"""do",22,312
"""my",22,313
point,22,314
among,21,315
french,21,316
sent,21,317
table,21,318
lay,21,319
certainly,21,320
whom,21,321
duke,21,322
eye,21,323
ever,21,324
high,21,325
light,21,326
except,21,327
i'm,21,328
broken,21,329
tall,21,330
opened,21,331
appeared,21,332
somehow,20,333
close,20,334
right,20,335
wild,20,336
common,20,337
"was,",20,338
somewhat,20,339
having,20,340
new,20,341
air,20,342
"that,",20,343
either,20,344
open,20,345
fact,20,346
help,20,347
third,19,348
"you,",19,349
fanshaw,19,350
outside,19,351
sense,19,352
feet,19,353
believe,19,354
sitting,19,355
that's,19,356
"""why,",19,357
major,19,358
while,19,359
seems,19,360
till,19,361
talk,19,362
beyond,19,363
king,19,364
sea,19,365
gentleman,18,366
strong,18,367
wall,18,368
full,18,369
until,18,370
next,18,371
probably,18,372
blood,18,373
give,18,374
dead,18,375
odd,18,376
hear,18,377
known,18,378
cut,18,379
fear,18,380
"""i'm",18,381
priest.,18,382
equally,18,383
flambeau.,18,384
keep,18,385
cutler,17,386
gone,17,387
wrong,17,388
machine,17,389
better,17,390
american,17,391
burst,17,392
gave,17,393
"table,",17,394
stand,17,395
seem,17,396
read,17,397
"mean?""",17,398
spoke,17,399
used,17,400
evening,17,401
second,17,402
followed,17,403
simply,17,404
private,17,405
whose,17,406
suppose,17,407
does,17,408
hirsch,17,409
ask,17,410
passage,17,411
human,17,412
roman,17,413
seymour,17,414
brother,17,415
"""a",17,416
continued,16,417
"however,",16,418
happened,16,419
kidd,16,420
i've,16,421
"voice,",16,422
pretty,16,423
nearly,16,424
near,16,425
passed,16,426
"muscari,",16,427
kill,16,428
silent,16,429
real,16,430
colour,16,431
person,16,432
"""this",16,433
noise,16,434
exactly,16,435
"face,",16,436
hold,16,437
window,16,438
trees,16,439
john,16,440
showed,16,441
doesn't,16,442
mrs,16,443
wood,16,444
"""is",15,445
else,15,446
isn't,15,447
"""well,""",15,448
nobody,15,449
"""oh,",15,450
low,15,451
tower,15,452
comparatively,15,453
often,15,454
natural,15,455
curious,15,456
yellow,15,457
threw,15,458
"""there",15,459
deal,15,460
fallen,15,461
opposite,15,462
woman,15,463
colonel,15,464
meant,15,465
other.,15,466
standing,15,467
purple,15,468
business,15,469
philip,15,470
"me,",15,471
"it.""",15,472
huge,15,473
least,15,474
said:,15,475
myself,15,476
heavy,15,477
lady,14,478
me.,14,479
talking,14,480
extraordinary,14,481
shot,14,482
"""yes,""",14,483
case,14,484
looks,14,485
"hair,",14,486
years,14,487
paper,14,488
"indeed,",14,489
road,14,490
judge,14,491
"""to",14,492
money,14,493
doubt,14,494
"again,",14,495
river,14,496
you've,14,497
doctor,14,498
"other,",14,499
gold,14,500
mouth,14,501
cray,14,502
fancy,14,503
cannot,14,504
prince,14,505
different,14,506
water,14,507
voice.,13,508
rose,13,509
sea.,13,510
"sea,",13,511
since,13,512
inside,13,513
leave,13,514
top,13,515
"black,",13,516
tried,13,517
pointed,13,518
face.,13,519
brought,13,520
turning,13,521
indeed,13,522
"now,",13,523
reason,13,524
champion,13,525
couldn't,13,526
"""that's",13,527
answer,13,528
carried,13,529
police,13,530
taken,13,531
harrogate,13,532
captain,13,533
public,13,534
true,13,535
anyone,13,536
observed,13,537
clerical,13,538
"them,",13,539
friends,13,540
there's,13,541
broke,13,542
turn,13,543
street,13,544
nor,13,545
hand.,13,546
show,12,547
alone,12,548
moved,12,549
fall,12,550
"course,",12,551
him;,12,552
evidently,12,553
straight,12,554
scarf,12,555
m.,12,556
speak,12,557
horrible,12,558
sprang,12,559
around,12,560
"room,",12,561
home,12,562
silence,12,563
curse,12,564
everything,12,565
"out,",12,566
slight,12,567
expression,12,568
wilson,12,569
carstairs,12,570
hands,12,571
again.,12,572
picked,12,573
struck,12,574
scientific,12,575
won't,12,576
todhunter,12,577
became,12,578
mysterious,12,579
