Word,Freq,Rank
the,439,1
and,340,2
of,146,3
in,140,4
a,126,5
i,122,6
to,111,7
my,83,8
with,66,9
his,57,10
is,52,11
he,50,12
little,45,13
they,43,14
on,43,15
that,39,16
but,36,17
all,36,18
like,35,19
not,34,20
their,34,21
her,33,22
thou,33,23
from,32,24
thy,31,25
was,30,26
for,29,27
then,28,28
when,28,29
can,26,30
it,26,31
sweet,26,32
what,25,33
are,25,34
where,24,35
by,22,36
our,22,37
an,21,38
or,21,39
be,20,40
me,20,41
thee,19,42
shall,19,43
so,19,44
who,18,45
happy,18,46
&,17,47
does,17,48
have,17,49
every,17,50
human,16,51
down,16,52
as,16,53
love,16,54
if,16,55
she,15,56
why,15,57
nor,15,58
till,15,59
joy,15,60
never,15,61
this,14,62
am,14,63
how,14,64
night,14,65
upon,14,66
its,14,67
while,13,68
see,13,69
thel,13,70
no,13,71
we,13,72
holy,12,73
mother,12,74
o,12,75
father,12,76
hear,12,77
did,12,78
your,11,79
infant,11,80
weeping,11,81
o'er,11,82
cloud,10,83
"sleep,",10,84
sit,10,85
"love,",10,86
were,10,87
"night,",10,88
heard,10,89
oh,10,90
"lamb,",10,91
tender,9,92
bright,9,93
sorrow,9,94
god,9,95
white,9,96
him,9,97
"day,",9,98
know,9,99
--,9,100
green,8,101
them,8,102
do,8,103
over,8,104
lyca,8,105
wept,8,106
child,8,107
rose,8,108
round,8,109
come,8,110
voice,8,111
away,8,112
virgin,8,113
hand,8,114
golden,8,115
morning,8,116
birds,8,117
saw,7,118
"peace,",7,119
image,7,120
among,7,121
now,7,122
angel,7,123
heaven,7,124
smiles,7,125
garden,7,126
"father,",7,127
face,7,128
came,7,129
tears,7,130
let,7,131
day,7,132
at,7,133
doth,7,134
"delight,",7,135
had,7,136
you,7,137
thee?,7,138
songs,7,139
sing,7,140
many,7,141
children,7,142
through,7,143
silent,7,144
song,7,145
sleep,7,146
there,6,147
youth,6,148
"me,",6,149
"thee,",6,150
vales,6,151
"away,",6,152
sun,6,153
merry,6,154
go,6,155
fear,6,156
up,6,157
light,6,158
may,6,159
cannot,6,160
"joy,",6,161
more,6,162
weep.,6,163
these,6,164
could,6,165
"pity,",6,166
lost,6,167
pretty,6,168
"merrily,",6,169
boy,6,170
heart,6,171
tell,6,172
"deep,",6,173
