Word,Freq,Rank
the,9991,1
and,5276,2
of,4240,3
i,2778,4
to,2132,5
in,1838,6
a,1249,7
with,1237,8
you,1176,9
is,1074,10
my,1000,11
or,996,12
for,928,13
all,819,14
that,817,15
as,788,16
not,780,17
from,698,18
it,641,19
on,597,20
are,566,21
me,555,22
o,547,23
by,475,24
at,468,25
be,457,26
what,452,27
they,442,28
but,403,29
},381,30
his,373,31
see,370,32
your,360,33
their,358,34
have,346,35
we,309,36
"me,",292,37
one,291,38
he,288,39
this,280,40
these,275,41
will,260,42
through,259,43
shall,258,44
nor,256,45
no,254,46
now,247,47
out,245,48
do,241,49
its,237,50
old,228,51
so,227,52
them,224,53
am,224,54
than,220,55
thy,220,56
where,217,57
"you,",215,58
how,212,59
yet,212,60
there,207,61
who,206,62
more,203,63
was,186,64
any,183,65
every,180,66
those,179,67
thou,168,68
her,167,69
over,164,70
some,160,71
"all,",156,72
know,154,73
here,154,74
has,153,75
long,151,76
upon,149,77
up,148,78
"them,",146,79
great,145,80
life,142,81
man,141,82
an,134,83
many,132,84
ever,131,85
each,130,86
if,128,87
never,125,88
after,125,89
him,124,90
come,123,91
when,123,92
hear,121,93
love,120,94
then,120,95
men,119,96
only,116,97
day,116,98
own,114,99
give,113,100
like,113,101
thee,109,102
she,107,103
young,105,104
myself,104,105
our,103,106
earth,101,107
think,100,108
night,99,109
were,97,110
"earth,",96,111
soul,95,112
"love,",91,113
"thee,",91,114
again,91,115
time,91,116
can,90,117
too,90,118
would,89,119
little,89,120
face,88,121
down,88,122
while,88,123
new,85,124
good,85,125
before,84,126
look,84,127
body,84,128
"soul,",83,129
toward,82,130
which,82,131
go,82,132
under,80,133
me.,80,134
"night,",80,135
other,79,136
far,79,137
well,78,138
may,78,139
saw,77,140
make,77,141
till,74,142
hand,73,143
around,72,144
just,72,145
last,72,146
let,72,147
pass,71,148
"life,",71,149
others,71,150
take,70,151
"it,",70,152
nothing,70,153
"death,",70,154
without,68,155
back,68,156
song,68,157
much,68,158
must,67,159
"world,",67,160
strong,67,161
sing,66,162
full,64,163
same,64,164
perfect,63,165
dead,62,166
thought,62,167
land,62,168
sea,62,169
such,62,170
women,61,171
always,61,172
forth,61,173
white,61,174
"sea,",60,175
years,60,176
us,59,177
beautiful,59,178
two,59,179
city,59,180
"here,",57,181
stand,57,182
voice,57,183
along,57,184
"myself,",57,185
does,57,186
been,56,187
something,56,188
high,55,189
"not,",55,190
eyes,55,191
death,55,192
sweet,54,193
say,54,194
pioneers!,54,195
divine,54,196
still,53,197
cannot,53,198
you.,53,199
most,53,200
sun,53,201
world,53,202
close,52,203
"long,",52,204
"him,",52,205
mother,52,206
amid,51,207
light,51,208
dear,51,209
even,51,210
woman,51,211
away,50,212
"on,",50,213
heard,50,214
singing,50,215
could,50,216
"time,",49,217
word,49,218
"rest,",49,219
off,49,220
part,48,221
first,48,222
"day,",48,223
open,48,224
within,47,225
place,47,226
"air,",47,227
none,47,228
side,46,229
head,46,230
tell,46,231
air,46,232
whole,46,233
words,46,234
work,45,235
"see,",45,236
past,45,237
had,45,238
ship,44,239
rest,44,240
among,44,241
once,44,242
"man,",44,243
to-day,44,244
comes,44,245
should,43,246
"again,",43,247
things,43,248
states,42,249
war,42,250
leaves,42,251
red,42,252
"men,",42,253
thing,42,254
call,42,255
silent,42,256
"old,",42,257
alone,41,258
whoever,41,259
thousand,41,260
fields,41,261
clear,41,262
vast,41,263
walk,41,264
them.,41,265
"eyes,",41,266
"only,",41,267
beyond,41,268
rise,41,269
why,41,270
best,41,271
really,41,272
"hand,",40,273
wild,40,274
"i,",40,275
lands,40,276
round,40,277
sound,40,278
real,40,279
soon,40,280
behold,39,281
very,39,282
hands,39,283
"there,",38,284
living,38,285
welcome,38,286
chant,38,287
days,38,288
2,37,289
leave,37,290
another,37,291
true,37,292
large,37,293
songs,37,294
present,37,295
poems,37,296
passing,37,297
into,37,298
1,36,299
"alone,",36,300
house,36,301
else,35,302
western,35,303
become,35,304
joy,35,305
free,35,306
spirit,35,307
near,35,308
whatever,35,309
[book,34,310
show,34,311
"lands,",34,312
"states,",34,313
"are,",34,314
children,34,315
"woods,",34,316
sit,33,317
"body,",33,318
cities,33,319
against,33,320
mighty,33,321
stars,33,322
"sun,",33,323
faces,33,324
hold,33,325
black,33,326
themselves,33,327
"face,",33,328
mine,33,329
"itself,",33,330
dark,32,331
(the,32,332
"songs,",32,333
about,32,334
indeed,32,335
hour,32,336
"more,",32,337
"words,",32,338
"waves,",32,339
itself,32,340
"land,",32,341
ships,32,342
"america,",31,343
you!,31,344
way,31,345
"now,",31,346
curious,31,347
put,31,348
"war,",31,349
"us,",31,350
also,31,351
feel,31,352
(i,31,353
believe,31,354
"lo,",31,355
forever,30,356
"one,",30,357
3,30,358
child,30,359
broad,30,360
ye,30,361
few,30,362
"years,",30,363
"come,",30,364
shape,30,365
"voice,",29,366
henceforth,29,367
strange,29,368
"women,",29,369
"light,",29,370
"sky,",29,371
touch,29,372
sight,29,373
countless,29,374
yourself,29,375
"poems,",29,376
immortal,28,377
less,28,378
behind,28,379
grass,28,380
man's,28,381
moment,28,382
left,28,383
find,28,384
above,28,385
waves,28,386
bring,28,387
turn,28,388
me!,28,389
ocean,28,390
waters,28,391
peace,28,392
"last,",27,393
race,27,394
year,27,395
low,27,396
lips,27,397
pass'd,27,398
"these,",27,399
goes,27,400
sleep,27,401
o'er,27,402
"north,",27,403
done,27,404
need,27,405
came,27,406
whose,27,407
did,27,408
keep,27,409
heart,26,410
"space,",26,411
fresh,26,412
surely,26,413
blood,26,414
(for,26,415
"south,",26,416
"go,",26,417
"stars,",26,418
north,26,419
god,26,420
stands,26,421
"children,",26,422
america,26,423
"cities,",26,424
"blood,",26,425
name,26,426
holding,26,427
unseen,26,428
duly,26,429
"shore,",26,430
fall,25,431
arms,25,432
moon,25,433
"past,",25,434
endless,25,435
might,25,436
whom,25,437
home,25,438
right,25,439
"dead,",25,440
son,25,441
often,25,442
gray,25,443
music,25,444
"god,",25,445
west,25,446
you?,25,447
water,25,448
me?,25,449
fill,25,450
human,25,451
return,25,452
ground,25,453
early,24,454
speak,24,455
"trees,",24,456
lost,24,457
looking,24,458
rising,24,459
"good,",24,460
"nothing,",24,461
sail,24,462
"head,",24,463
streets,24,464
himself,24,465
shore,24,466
summer,24,467
4,24,468
"mother,",24,469
"west,",24,470
swear,24,471
huge,24,472
law,24,473
sounds,24,474
"up,",23,475
"well,",23,476
steady,23,477
shapes,23,478
lay,23,479
holds,23,480
"yet,",23,481
delicate,23,482
joys,23,483
common,23,484
"same,",23,485
"song,",23,486
play,23,487
trees,23,488
thee.,23,489
waiting,23,490
woods,23,491
death.,23,492
spread,23,493
space,23,494
rich,23,495
waits,23,496
"things,",23,497
served,23,498
distant,23,499
greater,23,500
understand,22,501
soul.,22,502
"water,",22,503
winds,22,504
wait,22,505
breast,22,506
deep,22,507
loved,22,508
walks,22,509
between,22,510
swiftly,22,511
"silent,",22,512
fill'd,22,513
certain,22,514
small,22,515
"woman,",22,516
though,22,517
"farms,",22,518
feet,22,519
calm,22,520
unknown,22,521
falling,22,522
"peace,",22,523
single,22,524
perhaps,22,525
voices,22,526
look'd,22,527
"nature,",22,528
"mine,",22,529
"city,",21,530
"far,",21,531
age,21,532
hair,21,533
south,21,534
poet,21,535
three,21,536
modern,21,537
shores,21,538
person,21,539
made,21,540
clouds,21,541
stood,21,542
all.,21,543
silently,21,544
ages,21,545
"thou,",21,546
march,21,547
coming,20,548
nature,20,549
bear,20,550
"heart,",20,551
equal,20,552
going,20,553
use,20,554
times,20,555
breath,20,556
solemn,20,557
teeming,20,558
"also,",20,559
enough,20,560
proud,20,561
"politics,",20,562
"work,",20,563
meet,20,564
fierce,20,565
together,20,566
lie,20,567
soldiers,20,568
(as,19,569
ah,19,570
"themselves,",19,571
"days,",19,572
better,19,573
seen,19,574
"down,",19,575
"ground,",19,576
"away,",19,577
ancient,19,578
haply,19,579
5,19,580
"out,",19,581
"beauty,",19,582
"in,",19,583
friend,19,584
loving,19,585
"done,",19,586
hundred,19,587
"persons,",19,588
"sing,",19,589
houses,19,590
public,19,591
crowd,19,592
power,19,593
river,19,594
east,19,595
future,19,596
walking,19,597
mountains,19,598
"for,",19,599
wind,19,600
sailing,19,601
"enough,",19,602
"together,",19,603
"ships,",19,604
general,18,605
swift,18,606
"over,",18,607
green,18,608
"grass,",18,609
mystic,18,610
beneath,18,611
"is,",18,612
winter,18,613
(o,18,614
remain,18,615
flowing,18,616
sure,18,617
lies,18,618
returning,18,619
forward,18,620
measureless,18,621
brought,18,622
said,18,623
"joy,",18,624
"forth,",18,625
neck,18,626
half,18,627
"streets,",18,628
having,18,629
"friend,",18,630
doubt,18,631
flag,18,632
shows,18,633
6,18,634
whether,18,635
thoughts,18,636
known,18,637
"hands,",18,638
found,18,639
"child,",18,640
flesh,18,641
"that,",18,642
neither,18,643
loud,18,644
female,18,645
sky,18,646
solid,18,647
"present,",17,648
ceaseless,17,649
born,17,650
announce,17,651
people,17,652
star,17,653
father,17,654
"any,",17,655
manly,17,656
seek,17,657
separate,17,658
"home,",17,659
press,17,660
form,17,661
"close,",17,662
"future,",17,663
latent,17,664
passage,17,665
moving,17,666
below,17,667
blue,17,668
"be,",17,669
"lovers,",17,670
forget,17,671
beach,17,672
"other,",17,673
"people,",17,674
making,17,675
eternal,17,676
ample,17,677
morning,17,678
held,16,679
cool,16,680
"side,",16,681
leaving,16,682
live,16,683
set,16,684
learn'd,16,685
rivers,16,686
mark,16,687
friendly,16,688
except,16,689
gave,16,690
hence,16,691
hills,16,692
poets,16,693
"age,",16,694
natural,16,695
manhattan,16,696
"thought,",16,697
"race,",16,698
myriads,16,699
"river,",16,700
joy!,16,701
limbs,16,702
appear,16,703
"shores,",16,704
beauty,16,705
cut,16,706
arm,16,707
knew,16,708
hot,16,709
it.,16,710
"waters,",16,711
heroes,16,712
fully,16,713
stop,16,714
"sleep,",16,715
earth.,16,716
onward,16,717
"fields,",16,718
bright,16,719
lightly,16,720
brown,16,721
matter,16,722
slow,16,723
across,16,724
sad,16,725
chants,16,726
follow,16,727
globe,16,728
mind,16,729
"faces,",15,730
bloody,15,731
precious,15,732
shining,15,733
pensive,15,734
boy,15,735
fit,15,736
already,15,737
gather,15,738
roll,15,739
"her,",15,740
remember,15,741
"universe,",15,742
"sake,",15,743
7,15,744
beat,15,745
8,15,746
"near,",15,747
looks,15,748
"mountains,",15,749
ones,15,750
love.,15,751
varied,15,752
"return,",15,753
advance,15,754
"animals,",15,755
yellow,15,756
moves,15,757
road,15,758
cold,15,759
room,15,760
lovers,15,761
persons,15,762
youth,15,763
wherever,15,764
late,15,765
gives,15,766
evil,15,767
spiritual,15,768
"friends,",15,769
northern,15,770
aside,15,771
"faith,",15,772
"feet,",15,773
mother's,15,774
grow,15,775
strike,15,776
banner,15,777
"wars,",15,778
"forms,",15,779
"rivers,",15,780
pride,15,781
rude,15,782
"know,",15,783
again.,15,784
"heroes,",15,785
carrying,14,786
brave,14,787
lead,14,788
"own,",14,789
i'd,14,790
"thoughts,",14,791
savage,14,792
"name,",14,793
knows,14,794
walk'd,14,795
delicious,14,796
earth's,14,797
"laws,",14,798
pale,14,799
wounded,14,800
forests,14,801
may-be,14,802
"darkness,",14,803
fair,14,804
seeking,14,805
answer,14,806
"strong,",14,807
"best,",14,808
lover,14,809
ready,14,810
hast,14,811
float,14,812
"calm,",14,813
square,14,814
sing.,14,815
"himself,",14,816
foot,14,817
taking,14,818
phantom,14,819
"content,",14,820
eastern,14,821
"house,",14,822
draw,14,823
soft,14,824
happy,14,825
"dark,",14,826
"place,",14,827
spreading,14,828
heaven,14,829
poor,14,830
smoke,14,831
"neck,",14,832
laws,14,833
equally,14,834
call'd,14,835
tender,14,836
comrade,14,837
"arms,",13,838
parts,13,839
grave,13,840
drawn,13,841
because,13,842
dream'd,13,843
unfolded,13,844
"crowd,",13,845
growing,13,846
love!,13,847
naked,13,848
gone,13,849
"soldiers,",13,850
mere,13,851
art,13,852
"health,",13,853
perceive,13,854
male,13,855
"joys,",13,856
brain,13,857
inland,13,858
bearing,13,859
sails,13,860
went,13,861
odor,13,862
"way,",13,863
bending,13,864
terrible,13,865
borne,13,866
watch,13,867
"freedom,",13,868
sacred,13,869
"others,",13,870
eidolons.,13,871
"nations,",13,872
crossing,13,873
"ranks,",13,874
greatest,13,875
rapt,13,876
comrades,13,877
carefully,13,878
"beautiful,",13,879
underneath,13,880
"form,",13,881
peaceful,13,882
solitary,13,883
fallen,13,884
receive,13,885
memories,13,886
read,13,887
object,13,888
provided,13,889
vigil,13,890
midnight,13,891
"clouds,",13,892
slowly,13,893
pleas'd,13,894
nations,13,895
forms,13,896
"moon,",13,897
"chant,",13,898
faith,13,899
longer,13,900
spring,13,901
finally,13,902
master,13,903
blow,13,904
growth,13,905
"gone,",13,906
procession,13,907
fire,13,908
soil,13,909
"wife,",13,910
limitless,13,911
"seas,",13,912
thine,13,913
transparent,13,914
bodies,13,915
enter,13,916
seas,13,917
lesson,13,918
"battle,",13,919
breathe,13,920
thick,13,921
lives,12,922
"prairies,",12,923
giving,12,924
drop,12,925
myself.,12,926
"behold,",12,927
mean,12,928
materials,12,929
reference,12,930
dreams,12,931
whence,12,932
"back,",12,933
vain,12,934
grand,12,935
flow,12,936
midst,12,937
travel,12,938
"still,",12,939
sisters,12,940
firm,12,941
"identity,",12,942
makes,12,943
"free,",12,944
merely,12,945
workmen,12,946
works,12,947
"everywhere,",12,948
prove,12,949
rose,12,950
stately,12,951
"hear,",12,952
bed,12,953
send,12,954
birth,12,955
field,12,956
deeds,12,957
"storm,",12,958
objects,12,959
bird,12,960
sick,12,961
given,12,962
lines,12,963
"advancing,",12,964
continually,12,965
raise,12,966
passionate,12,967
"power,",12,968
bay,12,969
lift,12,970
wandering,12,971
"breast,",12,972
wondrous,12,973
falls,12,974
"lips,",12,975
centuries,12,976
souls,12,977
"leaves,",12,978
"too,",12,979
talk,12,980
"yourself,",12,981
wife,12,982
"father,",12,983
fear,12,984
"arm,",12,985
