Word,Freq,Rank
the,4073,1
to,4050,2
of,3540,3
and,3283,4
her,2230,5
a,2035,6
in,1899,7
was,1784,8
i,1673,9
she,1504,10
it,1273,11
that,1239,12
be,1237,13
as,1195,14
for,1191,15
not,1188,16
his,1002,17
he,994,18
had,984,19
with,968,20
you,883,21
at,813,22
have,801,23
by,734,24
but,722,25
is,676,26
on,663,27
my,588,28
so,580,29
could,555,30
which,553,31
all,545,32
from,529,33
mrs.,521,34
would,506,35
they,499,36
their,496,37
very,491,38
no,483,39
him,432,40
been,426,41
were,424,42
what,393,43
any,385,44
every,374,45
this,362,46
than,359,47
your,358,48
more,357,49
elinor,349,50
such,347,51
or,343,52
said,342,53
an,340,54
will,336,55
them,304,56
when,285,57
only,283,58
must,279,59
one,262,60
me,261,61
if,260,62
much,258,63
marianne,253,64
do,246,65
who,238,66
should,233,67
am,229,68
"""i",229,69
own,227,70
are,219,71
might,209,72
some,209,73
though,206,74
miss,206,75
has,202,76
did,202,77
after,199,78
"elinor,",199,79
can,190,80
think,189,81
how,189,82
we,188,83
never,184,84
know,172,85
without,170,86
now,169,87
there,169,88
mr.,168,89
may,167,90
"marianne,",165,91
soon,163,92
being,163,93
see,159,94
time,155,95
nothing,154,96
most,154,97
"her,",153,98
before,149,99
thing,142,100
"it,",141,101
first,141,102
colonel,141,103
great,139,104
too,138,105
about,136,106
make,136,107
little,136,108
out,135,109
edward,134,110
made,133,111
its,133,112
two,131,113
ever,129,114
other,129,115
it.,126,116
herself,126,117
good,123,118
dashwood,123,119
lady,122,120
well,121,121
always,121,122
give,120,123
shall,119,124
even,117,125
mother,114,126
into,113,127
sir,112,128
say,111,129
then,110,130
jennings,108,131
sister,107,132
john,105,133
"however,",103,134
sure,100,135
thought,100,136
saw,98,137
left,97,138
young,97,139
"him,",96,140
still,96,141
while,96,142
many,95,143
felt,92,144
up,91,145
quite,91,146
seemed,90,147
willoughby,88,148
"you,",88,149
lucy,87,150
less,87,151
same,87,152
upon,85,153
go,85,154
over,84,155
cannot,84,156
came,84,157
long,83,158
enough,83,159
till,83,160
almost,82,161
really,81,162
last,81,163
tell,81,164
nor,80,165
"herself,",79,166
day,79,167
heart,78,168
few,78,169
where,76,170
"""you",76,171
"jennings,",74,172
like,73,173
"them,",73,174
"me,",72,175
away,72,176
heard,71,177
rather,70,178
her.,70,179
gave,70,180
dear,70,181
cried,70,182
come,70,183
our,70,184
house,69,185
brandon,69,186
mind,68,187
man,68,188
between,68,189
again,67,190
against,65,191
just,65,192
found,65,193
kind,65,194
far,65,195
yet,65,196
towards,65,197
hardly,64,198
middleton,64,199
both,64,200
told,63,201
something,62,202
down,62,203
"dashwood,",62,204
"""and",62,205
wish,61,206
hope,61,207
looked,61,208
whom,61,209
"willoughby,",61,210
replied,61,211
marianne's,61,212
hear,60,213
better,60,214
happy,60,215
these,59,216
knew,59,217
moment,59,218
whole,59,219
"sister,",59,220
within,58,221
therefore,58,222
ferrars,58,223
affection,58,224
believe,57,225
present,57,226
us,57,227
look,57,228
elinor's,57,229
three,56,230
because,56,231
"lucy,",56,232
immediately,56,233
once,56,234
since,56,235
myself,55,236
least,55,237
feel,55,238
them.,55,239
brought,55,240
letter,54,241
having,54,242
find,54,243
each,54,244
"time,",54,245
leave,53,246
poor,53,247
half,53,248
him.,53,249
seen,52,250
"""but",52,251
"mother,",52,252
under,51,253
going,51,254
wished,51,255
took,51,256
"and,",51,257
does,50,258
love,50,259
chapter,50,260
morning,50,261
another,50,262
next,49,263
feelings,49,264
done,49,265
certainly,49,266
pleasure,49,267
himself,49,268
sister's,48,269
"""that",48,270
whose,48,271
reason,48,272
behaviour,47,273
often,47,274
"""it",47,275
general,47,276
barton,47,277
family,46,278
thousand,46,279
end,46,280
perhaps,46,281
person,46,282
given,46,283
"all,",46,284
way,45,285
able,45,286
place,45,287
beyond,45,288
those,45,289
"house,",45,290
eyes,45,291
visit,44,292
mother's,44,293
comfort,44,294
"he,",44,295
went,44,296
known,44,297
put,43,298
neither,43,299
returned,43,300
take,43,301
speak,43,302
"edward,",43,303
glad,43,304
perfectly,42,305
woman,42,306
determined,41,307
opinion,41,308
obliged,40,309
room,40,310
whether,40,311
off,40,312
seeing,40,313
world,40,314
edward's,40,315
equally,40,316
happiness,40,317
however,40,318
palmer,40,319
people,39,320
particular,39,321
body,39,322
want,39,323
acquaintance,39,324
"was,",38,325
regard,38,326
called,38,327
it;,38,328
subject,38,329
short,38,330
"she,",38,331
"this,",37,332
received,37,333
"himself,",37,334
rest,37,335
whatever,37,336
sat,37,337
interest,37,338
giving,36,339
"that,",36,340
"day,",36,341
dare,36,342
old,36,343
continued,36,344
here,36,345
through,36,346
spent,35,347
entered,35,348
spite,35,349
already,35,350
farther,35,351
spirits,35,352
ought,35,353
"therefore,",35,354
"say,",35,355
"again,",35,356
real,35,357
situation,35,358
"now,",35,359
"know,",34,360
"said,",34,361
power,34,362
talk,34,363
part,34,364
brother,34,365
suppose,34,366
attention,34,367
"well,",33,368
entirely,33,369
passed,33,370
means,33,371
greater,33,372
manner,32,373
live,32,374
coming,32,375
set,32,376
willoughby's,32,377
assure,32,378
"which,",32,379
sorry,32,380
kindness,32,381
longer,32,382
four,32,383
town,32,384
object,31,385
why,31,386
"room,",31,387
call,31,388
possible,31,389
deal,31,390
particularly,31,391
matter,31,392
doubt,31,393
talked,31,394
her;,31,395
years,31,396
hours,31,397
engagement,31,398
"indeed,",31,399
"replied,",30,400
ask,30,401
name,30,402
ready,30,403
"brandon,",30,404
account,30,405
began,30,406
marianne.,30,407
sister.,30,408
keep,30,409
new,30,410
evening,30,411
sisters,30,412
get,30,413
near,29,414
minutes,29,415
"town,",29,416
either,29,417
together,29,418
voice,29,419
kept,29,420
"too,",29,421
me.,29,422
anxious,29,423
jennings's,29,424
side,29,425
all.,29,426
full,28,427
others,28,428
instantly,28,429
easily,28,430
you.,28,431
herself.,28,432
norland,28,433
days,28,434
engaged,28,435
settled,28,436
greatest,28,437
five,28,438
friend,28,439
walked,28,440
business,27,441
wonder,27,442
pleased,27,443
let,27,444
manners,27,445
"""no,",27,446
fanny,27,447
"man,",27,448
"""he",27,449
return,27,450
"but,",26,451
turned,26,452
resolved,26,453
surprise,26,454
party,26,455
ladies,26,456
knowledge,26,457
"""how",26,458
assured,26,459
"there,",26,460
back,26,461
different,26,462
got,26,463
likely,26,464
"john,",26,465
"other,",26,466
remained,26,467
"heart,",26,468
friends,26,469
elinor.,26,470
marriage,26,471
cottage,25,472
conduct,25,473
open,25,474
stay,25,475
home,25,476
exactly,25,477
lucy's,25,478
"it.""",25,479
taken,25,480
common,25,481
hearing,25,482
directly,25,483
believed,24,484
repeated,24,485
satisfaction,24,486
opportunity,24,487
else,24,488
appearance,24,489
"ferrars,",24,490
"barton,",24,491
"home,",24,492
convinced,24,493
wanted,24,494
scarcely,24,495
pretty,24,496
acquainted,24,497
sometimes,24,498
change,24,499
"one,",24,500
taking,24,501
word,24,502
former,24,503
appeared,24,504
"street,",24,505
understand,24,506
"so,",24,507
"""we",24,508
"believe,",24,509
mean,24,510
expected,23,511
ten,23,512
happened,23,513
doing,23,514
invitation,23,515
comfortable,23,516
forced,23,517
seems,23,518
"is,",23,519
appear,23,520
married,23,521
"friends,",23,522
state,23,523
point,23,524
marry,23,525
suffered,23,526
round,23,527
brandon's,23,528
natural,23,529
allow,23,530
expect,23,531
declared,23,532
fear,23,533
"place,",22,534
park,22,535
"family,",22,536
"brother,",22,537
saying,22,538
"together,",22,539
"park,",22,540
considered,22,541
proper,22,542
"myself,",22,543
"own,",22,544
fancy,22,545
countenance,22,546
making,22,547
exceedingly,22,548
prevent,22,549
certain,22,550
"be,",22,551
hour,22,552
merely,22,553
yourself,22,554
dashwoods,22,555
husband,22,556
best,22,557
attachment,22,558
week,22,559
immediate,22,560
small,22,561
curiosity,21,562
"spirits,",21,563
use,21,564
produced,21,565
"mind,",21,566
"side,",21,567
leaving,21,568
children,21,569
sake,21,570
talking,21,571
tried,21,572
course,21,573
"then,",21,574
reached,21,575
"""if",21,576
you;,21,577
formed,21,578
asked,21,579
spoke,21,580
living,21,581
"""to",21,582
"""oh,",21,583
"morning,",21,584
expectation,21,585
fine,21,586
"cottage,",21,587
carriage,21,588
met,21,589
usual,21,590
supposed,21,591
necessary,21,592
"added,",21,593
"""yes,",21,594
sense,21,595
"away,",20,596
fond,20,597
knowing,20,598
pain,20,599
strong,20,600
care,20,601
"before,",20,602
probably,20,603
painful,20,604
silent,20,605
low,20,606
looking,20,607
large,20,608
answer,20,609
"""my",20,610
wife,20,611
"you.""",20,612
dashwood's,20,613
"who,",20,614
smallest,20,615
don't,20,616
conversation,20,617
fixed,20,618
seem,20,619
constant,20,620
room.,20,621
among,20,622
equal,20,623
promise,20,624
bear,20,625
pounds,20,626
confidence,20,627
judgment,20,628
robert,20,629
serious,20,630
favourite,20,631
sent,20,632
surprised,20,633
"""your",20,634
anything,20,635
"""what",20,636
answered,20,637
worth,19,638
hundred,19,639
early,19,640
"""well,",19,641
late,19,642
meeting,19,643
months,19,644
fortune,19,645
life,19,646
misery,19,647
agreeable,19,648
sitting,19,649
elinor;,19,650
"subject,",19,651
mother.,19,652
impossible,19,653
meet,19,654
afraid,19,655
eager,19,656
wishes,19,657
more.,19,658
money,19,659
house.,19,660
added,19,661
become,18,662
"perhaps,",18,663
consider,18,664
character,18,665
"life,",18,666
idea,18,667
resolution,18,668
notice,18,669
satisfied,18,670
"others,",18,671
eldest,18,672
"""do",18,673
"world,",18,674
used,18,675
staying,18,676
afterwards,18,677
avoid,18,678
"voice,",18,679
unfortunate,18,680
unable,18,681
"dear,",18,682
attended,18,683
gentleman,18,684
arrival,18,685
"engagement,",18,686
above,18,687
"""she",18,688
before.,18,689
"not,",18,690
"""is",18,691
second,18,692
girl,18,693
delighted,17,694
"another,",17,695
desire,17,696
"do,",17,697
day.,17,698
effect,17,699
feeling,17,700
bring,17,701
need,17,702
"him.""",17,703
allowed,17,704
joined,17,705
thus,17,706
indeed,17,707
"did,",17,708
hand,17,709
danger,17,710
led,17,711
"short,",17,712
chance,17,713
berkeley,17,714
share,17,715
affectionate,17,716
"thing,",17,717
circumstances,17,718
advantage,17,719
melancholy,17,720
capable,17,721
son,17,722
do.,17,723
favour,17,724
silence,16,725
persuaded,16,726
"more,",16,727
time.,16,728
head,16,729
view,16,730
"ever,",16,731
became,16,732
otherwise,16,733
that.,16,734
night,16,735
style,16,736
meant,16,737
attempt,16,738
disappointment,16,739
future,16,740
latter,16,741
right,16,742
lost,16,743
me;,16,744
"present,",16,745
"letter,",16,746
circumstance,16,747
cold,16,748
"""oh!",16,749
read,16,750
again.,16,751
thoughts,16,752
"manner,",16,753
harley,16,754
"continued,",16,755
except,16,756
nobody,16,757
"hand,",16,758
carried,16,759
company,16,760
margaret,16,761
"kind,",16,762
necessity,16,763
"feelings,",16,764
help,16,765
earnest,16,766
world.,15,767
mentioned,15,768
loss,15,769
respect,15,770
"for,",15,771
during,15,772
ferrars's,15,773
"hope,",15,774
themselves,15,775
aware,15,776
"middleton,",15,777
"""for",15,778
"way,",15,779
steele,15,780
quitted,15,781
"much,",15,782
gone,15,783
difficulty,15,784
daughter,15,785
disposition,15,786
"you,""",15,787
lived,15,788
several,15,789
"palmer,",15,790
"happy,",15,791
admiration,15,792
letters,15,793
speaking,15,794
himself.,15,795
past,15,796
"opinion,",15,797
engage,15,798
door,15,799
turn,15,800
conviction,15,801
difference,15,802
affair,15,803
whenever,15,804
"child,",15,805
unwilling,15,806
anxiety,15,807
simple,15,808
delight,15,809
walk,15,810
receive,15,811
excuse,14,812
enjoyment,14,813
steeles,14,814
"ma'am,",14,815
treated,14,816
liberty,14,817
tears,14,818
wishing,14,819
marrying,14,820
"me,""",14,821
mention,14,822
thinking,14,823
consequence,14,824
"alone,",14,825
"last,",14,826
joy,14,827
concern,14,828
wait,14,829
none,14,830
especially,14,831
