Word,Freq,Rank
the,1603,1
and,766,2
to,706,3
a,614,4
she,518,5
of,493,6
said,421,7
it,362,8
in,351,9
was,333,10
you,264,11
i,260,12
as,249,13
that,222,14
alice,221,15
her,208,16
at,205,17
had,176,18
with,169,19
all,155,20
on,142,21
very,139,22
be,138,23
for,135,24
so,126,25
'i,121,26
little,120,27
they,117,28
but,116,29
he,111,30
not,108,31
this,103,32
out,97,33
his,95,34
what,91,35
about,84,36
were,82,37
up,81,38
one,80,39
went,79,40
down,78,41
have,77,42
"alice,",76,43
would,76,44
like,75,45
when,73,46
if,72,47
is,71,48
or,68,49
into,67,50
no,67,51
could,65,52
there,64,53
thought,63,54
*,60,55
your,60,56
then,59,57
its,57,58
by,57,59
mock,56,60
an,56,61
my,56,62
quite,55,63
'and,55,64
who,54,65
alice.,54,66
don't,53,67
do,51,68
their,51,69
some,50,70
did,50,71
them,49,72
see,48,73
just,48,74
began,47,75
time,47,76
how,46,77
me,46,78
know,46,79
looked,45,80
got,45,81
only,44,82
get,43,83
must,42,84
off,40,85
herself,40,86
much,40,87
after,40,88
which,40,89
such,40,90
are,40,91
never,40,92
'you,39,93
go,39,94
more,39,95
great,39,96
"it,",38,97
came,38,98
think,38,99
'but,38,100
way,37,101
i'm,37,102
any,36,103
been,36,104
queen,35,105
say,35,106
thing,35,107
'what,34,108
turtle,33,109
from,32,110
large,32,111
put,31,112
can,31,113
"again,",31,114
it's,31,115
over,31,116
march,31,117
"herself,",31,118
long,30,119
rabbit,30,120
first,30,121
round,30,122
looking,30,123
'it,30,124
will,30,125
back,29,126
head,29,127
made,29,128
tell,29,129
heard,29,130
white,28,131
king,28,132
found,28,133
well,27,134
might,27,135
"on,",27,136
seemed,27,137
can't,27,138
should,27,139
upon,26,140
going,26,141
other,26,142
poor,26,143
last,26,144
"said,",26,145
come,26,146
make,26,147
"you,",26,148
now,25,149
look,25,150
rather,25,151
soon,24,152
took,24,153
without,24,154
i'll,24,155
hatter,24,156
three,23,157
felt,23,158
good,23,159
him,23,160
'it's,23,161
than,23,162
dormouse,23,163
next,22,164
two,22,165
gryphon,22,166
nothing,22,167
shall,22,168
won't,21,169
wish,21,170
another,21,171
'if,21,172
half,21,173
right,21,174
moment,21,175
too,21,176
"them,",21,177
same,21,178
getting,21,179
find,20,180
mouse,20,181
"'well,",20,182
'i'm,20,183
while,20,184
added,20,185
i've,20,186
'the,20,187
"it,'",19,188
"and,",19,189
once,19,190
things,19,191
before,19,192
"'oh,",19,193
"however,",19,194
till,19,195
being,19,196
here,19,197
take,19,198
even,19,199
voice,18,200
cried,18,201
eyes,18,202
tried,18,203
"her,",18,204
ever,17,205
sat,17,206
sort,17,207
"this,",17,208
that's,17,209
you're,17,210
"queen,",17,211
'how,16,212
doesn't,16,213
curious,16,214
again.,16,215
we,16,216
sure,16,217
turned,16,218
"tone,",16,219
under,16,220
there's,16,221
"is,",16,222
hare,16,223
alice;,16,224
use,16,225
eat,16,226
it.,16,227
called,15,228
door,15,229
something,15,230
gryphon.,15,231
cat,15,232
'that,15,233
away,15,234
'that's,15,235
"voice,",15,236
duchess,15,237
minute,15,238
"king,",15,239
wonder,15,240
gave,15,241
"off,",14,242
words,14,243
anything,14,244
hear,14,245
"gryphon,",14,246
near,14,247
set,14,248
"down,",14,249
replied,14,250
idea,14,251
'i've,14,252
"was,",14,253
both,14,254
am,13,255
still,13,256
let,13,257
"out,",13,258
her.,13,259
left,13,260
these,13,261
ought,13,262
through,13,263
saw,13,264
kept,13,265
hatter.,13,266
anxiously,13,267
old,13,268
whole,13,269
again,13,270
ran,13,271
grow,13,272
perhaps,12,273
caterpillar.,12,274
among,12,275
remember,12,276
'of,12,277
side,12,278
seen,12,279
because,12,280
used,12,281
always,12,282
talking,12,283
many,12,284
end,12,285
hardly,12,286
try,12,287
turning,12,288
close,12,289
may,12,290
chapter,12,291
king.,12,292
knew,12,293
wouldn't,12,294
every,12,295
behind,12,296
deal,11,297
feet,11,298
better,11,299
'a,11,300
'we,11,301
hurried,11,302
"before,",11,303
glad,11,304
beginning,11,305
didn't,11,306
"mouse,",11,307
hare.,11,308
hand,11,309
'then,11,310
it?',11,311
wasn't,11,312
'not,11,313
"first,",11,314
day,11,315
trying,11,316
course,11,317
saying,11,318
whether,11,319
"see,",11,320
queen.,11,321
makes,11,322
caterpillar,11,323
"two,",10,324
thinking,10,325
done,10,326
people,10,327
suddenly,10,328
those,10,329
alice's,10,330
nearly,10,331
everything,10,332
having,10,333
enough,10,334
where,10,335
