Word,Freq,Rank
the,14226,1
of,6545,2
and,6238,3
a,4597,4
to,4518,5
in,4058,6
that,2744,7
his,2485,8
it,1765,9
i,1724,10
as,1704,11
with,1702,12
he,1681,13
but,1668,14
is,1579,15
was,1575,16
for,1528,17
all,1341,18
at,1296,19
this,1234,20
by,1155,21
from,1084,22
not,1065,23
be,987,24
on,951,25
so,877,26
one,779,27
you,774,28
had,763,29
have,754,30
or,695,31
were,649,32
they,641,33
their,619,34
some,605,35
an,588,36
my,575,37
are,573,38
like,564,39
which,557,40
upon,556,41
him,555,42
when,549,43
whale,528,44
into,519,45
there,502,46
now,501,47
no,480,48
what,476,49
if,446,50
out,442,51
more,433,52
old,425,53
we,424,54
up,422,55
would,416,56
been,401,57
these,377,58
its,373,59
then,371,60
over,365,61
only,359,62
such,355,63
will,348,64
other,343,65
me,342,66
any,314,67
very,312,68
though,311,69
than,307,70
down,306,71
those,302,72
great,292,73
has,284,74
still,282,75
most,278,76
her,277,77
about,276,78
them,274,79
yet,273,80
seemed,273,81
who,271,82
must,270,83
two,267,84
ye,267,85
long,262,86
before,257,87
after,254,88
do,252,89
said,249,90
your,247,91
man,242,92
white,240,93
ahab,235,94
"it,",234,95
little,234,96
"him,",233,97
did,231,98
ship,231,99
thou,230,100
three,229,101
every,226,102
while,222,103
captain,220,104
sperm,219,105
how,217,106
through,215,107
round,214,108
"whale,",213,109
may,212,110
being,210,111
could,208,112
last,208,113
first,207,114
our,205,115
much,204,116
same,200,117
see,199,118
time,197,119
never,196,120
almost,187,121
"then,",185,122
where,183,123
should,182,124
own,179,125
even,179,126
can,179,127
ever,177,128
might,176,129
"now,",174,130
it.,173,131
good,171,132
among,167,133
here,166,134
off,165,135
many,162,136
chapter,161,137
made,155,138
far,155,139
go,152,140
way,151,141
sea,149,142
whales,148,143
without,147,144
us,147,145
"me,",144,146
head,140,147
sort,139,148
cried,137,149
well,135,150
himself,135,151
nor,134,152
thing,132,153
against,131,154
let,129,155
take,128,156
boat,128,157
thought,128,158
come,127,159
whole,127,160
once,127,161
each,126,162
look,124,163
seen,122,164
came,120,165
whale's,118,166
part,118,167
away,117,168
tell,117,169
till,117,170
know,115,171
soon,115,172
right,115,173
"there,",115,174
towards,114,175
hand,114,176
she,114,177
thus,113,178
him.,113,179
under,112,180
just,112,181
both,112,182
again,111,183
thy,111,184
between,111,185
men,111,186
something,110,187
small,109,188
"so,",109,189
full,108,190
"sea,",108,191
queequeg,107,192
"ahab,",107,193
make,106,194
found,105,195
don't,104,196
think,103,197
saw,102,198
called,102,199
"that,",101,200
poor,100,201
stubb,99,202
eyes,99,203
"is,",98,204
"man,",97,205
side,95,206
another,95,207
say,94,208
too,93,209
few,92,210
shall,92,211
get,92,212
"say,",92,213
day,91,214
feet,90,215
it;,90,216
went,89,217
back,89,218
nothing,89,219
high,88,220
"""i",88,221
him;,88,222
whaling,88,223
along,88,224
things,86,225
certain,85,226
boats,85,227
whose,85,228
heard,85,229
"them,",84,230
whether,83,231
