Word,Freq,Rank
the,3566,1
a,1719,2
of,1710,3
and,1602,4
he,1080,5
to,1038,6
in,902,7
his,804,8
that,790,9
was,703,10
i,640,11
with,556,12
you,527,13
it,510,14
as,487,15
is,426,16
had,425,17
said,405,18
but,399,19
not,347,20
at,341,21
syme,308,22
for,306,23
they,302,24
on,292,25
like,253,26
all,250,27
have,246,28
this,244,29
be,243,30
an,237,31
are,223,32
were,212,33
we,207,34
man,202,35
which,193,36
if,187,37
"""i",187,38
out,182,39
one,181,40
him,178,41
there,171,42
by,168,43
who,167,44
or,159,45
from,148,46
could,148,47
so,143,48
up,141,49
into,140,50
only,136,51
my,134,52
when,127,53
some,121,54
would,118,55
what,116,56
been,114,57
then,113,58
about,111,59
their,110,60
more,110,61
will,110,62
me,106,63
"syme,",106,64
do,106,65
your,105,66
down,101,67
very,101,68
has,100,69
professor,97,70
am,93,71
no,93,72
even,89,73
seemed,89,74
face,87,75
old,87,76
can,86,77
great,83,78
than,82,79
quite,81,80
"""you",80,81
little,78,82
see,77,83
dr.,76,84
looked,75,85
them,74,86
came,72,87
upon,72,88
almost,71,89
still,70,90
two,70,91
might,69,92
men,69,93
went,68,94
asked,68,95
never,67,96
did,67,97
black,64,98
over,64,99
"""it",64,100
other,63,101
first,62,102
really,61,103
any,60,104
saw,60,105
made,60,106
know,60,107
these,59,108
may,58,109
"said,",58,110
long,58,111
think,57,112
before,57,113
whole,57,114
stood,56,115
after,56,116
through,56,117
say,55,118
sunday,55,119
off,55,120
such,55,121
last,54,122
time,53,123
back,53,124
those,53,125
something,53,126
himself,53,127
should,53,128
thing,52,129
gregory,51,130
good,51,131
under,50,132
us,50,133
our,50,134
don't,50,135
tell,50,136
too,50,137
"""the",50,138
come,50,139
just,49,140
eyes,49,141
white,48,142
turned,48,143
being,48,144
shall,48,145
must,47,146
now,47,147
because,46,148
syme.,46,149
its,46,150
bull,46,151
president,46,152
cried,46,153
against,45,154
make,44,155
"""what",43,156
"him,",43,157
most,43,158
thought,43,159
it.,42,160
put,41,161
new,41,162
going,41,163
red,41,164
sort,41,165
across,41,166
dark,40,167
found,40,168
head,40,169
round,40,170
own,40,171
always,39,172
suddenly,39,173
"""but",38,174
rather,38,175
"""and",38,176
yet,38,177
took,37,178
sat,37,179
marquis,36,180
without,36,181
felt,36,182
look,36,183
how,36,184
get,35,185
"bull,",35,186
people,35,187
him.,35,188
secretary,35,189
go,35,190
once,34,191
much,34,192
"""we",34,193
de,33,194
"""that",33,195
left,33,196
three,33,197
"it,",33,198
right,33,199
each,32,200
blue,32,201
heard,32,202
behind,32,203
where,32,204
looking,31,205
knew,31,206
away,31,207
here,31,208
got,31,209
believe,31,210
"professor,",30,211
towards,30,212
take,30,213
syme's,30,214
"gregory,",30,215
street,30,216
began,30,217
light,30,218
also,30,219
place,30,220
struck,30,221
human,29,222
voice,29,223
colonel,29,224
though,29,225
end,29,226
moment,29,227
why,29,228
let,28,229
can't,28,230
replied,28,231
kind,28,232
well,27,233
common,27,234
cannot,27,235
fell,27,236
between,27,237
them.,27,238
again,27,239
police,27,240
another,26,241
ordinary,26,242
hair,26,243
small,26,244
half,26,245
feel,25,246
every,25,247
called,25,248
find,25,249
ever,25,250
many,25,251
world,25,252
answered,25,253
perhaps,25,254
way,25,255
beard,24,256
"however,",24,257
anything,24,258
rose,24,259
things,24,260
"you,",24,261
along,24,262
seen,24,263
hand,24,264
"""he",24,265
nothing,24,266
sense,24,267
whether,23,268
enough,23,269
mere,23,270
broke,23,271
"man,",22,272
hear,22,273
side,22,274
said.,22,275
comrade,22,276
room,22,277
man's,22,278
far,22,279
front,21,280
"""yes,""",21,281
hat,21,282
figure,21,283
while,21,284
whom,21,285
same,21,286
gave,21,287
fear,21,288
high,21,289
"""my",21,290
ask,21,291
somewhat,21,292
call,21,293
coming,20,294
sudden,20,295
sprang,20,296
gone,20,297
anarchist,20,298
policeman,20,299
talk,20,300
earth,20,301
standing,20,302
large,20,303
grey,20,304
french,20,305
second,19,306
you.,19,307
"""oh,",19,308
wild,19,309
sun,19,310
word,19,311
everything,19,312
mr.,19,313
certain,19,314
square,18,315
hands,18,316
understand,18,317
mean,18,318
mind,18,319
want,18,320
remember,18,321
above,18,322
poet,18,323
pale,18,324
does,18,325
passed,18,326
staring,18,327
give,18,328
"me,",18,329
next,18,330
road,18,331
merely,18,332
heavy,18,333
"""no,""",18,334
fight,18,335
gentleman,17,336
already,17,337
ran,17,338
top,17,339
few,17,340
silence,17,341
both,17,342
sometimes,17,343
gogol,17,344
world.,17,345
"you,""",17,346
strange,17,347
others,17,348
anarchists,16,349
chapter,16,350
myself,16,351
table,16,352
professor.,16,353
"""if",16,354
"them,",16,355
except,16,356
day,16,357
soon,16,358
suppose,16,359
true,16,360
six,16,361
iron,16,362
friend,16,363
"marquis,",16,364
yellow,16,365
sword,16,366
"""there",16,367
told,16,368
cloud,16,369
five,16,370
seem,16,371
words,16,372
"secretary,",16,373
talking,15,374
four,15,375
green,15,376
least,15,377
"well,",15,378
god,15,379
simple,15,380
themselves,15,381
pointed,15,382
face.,15,383
morning,15,384
"this,",15,385
.,15,386
"""well,",15,387
spoke,15,388
"indeed,",15,389
fancy,15,390
seems,15,391
slowly,15,392
it's,15,393
modern,15,394
train,15,395
hundred,15,396
me.,14,397
"it,""",14,398
fallen,14,399
broken,14,400
detective,14,401
chance,14,402
whose,14,403
"president,",14,404
anyone,14,405
lifted,14,406
close,14,407
smile,14,408
open,14,409
twenty,14,410
full,14,411
low,14,412
secret,14,413
beyond,14,414
"""do",14,415
fact,14,416
walked,14,417
"other,",14,418
"table,",14,419
"was,",14,420
break,14,421
grew,14,422
point,14,423
mad,14,424
serious,14,425
huge,14,426
silent,14,427
dead,14,428
"colonel,",14,429
"street,",13,430
feet,13,431
instant,13,432
dancing,13,433
set,13,434
night,13,435
sea.,13,436
streets,13,437
gregory.,13,438
"us,",13,439
"all,",13,440
flung,13,441
dressed,13,442
real,13,443
life,13,444
eyes.,13,445
"long,",13,446
all.,13,447
part,13,448
hardly,13,449
doctor,13,450
led,13,451
until,13,452
name,13,453
certainly,13,454
clear,13,455
i'm,13,456
walk,13,457
"silence,",13,458
"""they",13,459
smile.,13,460
having,12,461
"""is",12,462
reason,12,463
"so,",12,464
council,12,465
"room,",12,466
big,12,467
growing,12,468
young,12,469
"""this",12,470
table.,12,471
"voice,",12,472
"cried,",12,473
"""are",12,474
queer,12,475
taking,12,476
wish,12,477
"feet,",12,478
itself,12,479
"now,",12,480
roar,12,481
poor,12,482
matter,12,483
walking,12,484
broad,12,485
said--,12,486
gentlemen,12,487
swear,12,488
enormous,12,489
entered,12,490
"""a",12,491
run,12,492
destroy,11,493
evening,11,494
silver,11,495
promise,11,496
fixed,11,497
among,11,498
nature,11,499
voice.,11,500
thursday,11,501
silly,11,502
"himself,",11,503
"is,",11,504
head.,11,505
pull,11,506
since,11,507
intellectual,11,508
need,11,509
worms,11,510
"say,",11,511
car,11,512
"yes,",11,513
twice,11,514
better,11,515
cut,11,516
nose,11,517
"course,",11,518
other.,11,519
either,11,520
indeed,11,521
secretary.,11,522
seven,11,523
"it.""",11,524
bright,11,525
forward,11,526
remembered,11,527
seconds,11,528
cold,11,529
st.,11,530
nearer,11,531
lit,11,532
making,11,533
finally,11,534
carried,11,535
"and,",11,536
help,11,537
bull.,11,538
best,11,539
keep,11,540
enemies,11,541
hand.,11,542
"see,",11,543
saffron,10,544
"hand,",10,545
sitting,10,546
early,10,547
moved,10,548
gabriel,10,549
catch,10,550
fine,10,551
chair,10,552
sunlight,10,553
card,10,554
right.,10,555
truth,10,556
caught,10,557
house,10,558
"""well,""",10,559
resumed,10,560
minutes,10,561
marquis's,10,562
hope,10,563
cab,10,564
air,10,565
clothes,10,566
"me.""",10,567
elephant,10,568
pause,10,569
deep,10,570
tall,10,571
sunday.,10,572
presence,10,573
mouth,10,574
line,10,575
blind,10,576
swung,10,577
"""not",10,578
drew,10,579
"face,",10,580
living,10,581
repeated,10,582
"sunday,",10,583
free,10,584
talked,10,585
out.,10,586
bulk,10,587
solid,10,588
"fact,",10,589
strike,10,590
"men,",10,591
"out,",10,592
"is,""",10,593
heaven,10,594
pulled,10,595
crime,10,596
sea,10,597
window,10,598
turn,10,599
jolly,10,600
wore,10,601
syme;,10,602
distant,10,603
soul,10,604
"eyes,",10,605
taken,10,606
road.,10,607
stared,10,608
strolled,10,609
cried.,10,610
read,10,611
devil,10,612
comes,10,613
smiling,10,614
corner,10,615
leave,10,616
held,9,617
"up,",9,618
"""so",9,619
"""why",9,620
became,9,621
stick,9,622
gradually,9,623
"are,",9,624
afterwards,9,625
continued,9,626
alone,9,627
enemy,9,628
dress,9,629
else,9,630
waiting,9,631
"""",9,632
town,9,633
insane,9,634
ought,9,635
didn't,9,636
"""have",9,637
again.,9,638
sky.,9,639
smiled,9,640
given,9,641
"me,""",9,642
glass,9,643
followed,9,644
stone,9,645
order,9,646
renard,9,647
you?,9,648
gregory's,9,649
bad,9,650
knows,9,651
"policeman,",9,652
"moment,",9,653
"river,",9,654
final,9,655
supreme,9,656
man.,9,657
perfect,9,658
"hair,",9,659
short,9,660
happy,9,661
sunset,9,662
means,9,663
"then,",9,664
together,9,665
probably,9,666
this.,9,667
kept,9,668
curious,9,669
"""no,",9,670
trust,9,671
hour,9,672
he's,9,673
you're,9,674
dangerous,9,675
lantern,9,676
original,9,677
stand,9,678
"""where",9,679
answer,9,680
lay,9,681
ratcliffe,9,682
outside,9,683
afraid,9,684
opened,9,685
breaking,9,686
poetical,9,687
running,9,688
inspector,9,689
"""when",9,690
"""don't",9,691
sky,9,692
thick,9,693
"smile,",8,694
general,8,695
"last,",8,696
"""why,",8,697
central,8,698
drink,8,699
middle,8,700
edge,8,701
heart,8,702
"""will",8,703
explain,8,704
empty,8,705
darkness,8,706
question,8,707
horse,8,708
listen,8,709
railway,8,710
doubt,8,711
form,8,712
especially,8,713
paris,8,714
"again,",8,715
practical,8,716
"off,",8,717
exactly,8,718
done,8,719
"think,",8,720
stepped,8,721
horses,8,722
inside,8,723
foreign,8,724
"you?""",8,725
tried,8,726
leicester,8,727
coat,8,728
forgive,8,729
somehow,8,730
way.,8,731
"honour,",8,732
dim,8,733
town.,8,734
"""yes,",8,735
terrible,8,736
impression,8,737
room.,8,738
"down,",8,739
express,8,740
"anarchists,",8,741
trees,8,742
care,8,743
particular,8,744
wicked,8,745
idea,8,746
army,8,747
vast,8,748
started,8,749
bent,8,750
understood,8,751
rich,8,752
laughed,8,753
hard,8,754
"""of",8,755
sunday's,8,756
paralytic,8,757
bull's,8,758
bit,8,759
awful,8,760
strong,8,761
ten,8,762
notion,8,763
whenever,8,764
playing,8,765
seat,8,766
"spoke,",8,767
"gogol,",8,768
station,8,769
dear,8,770
follow,8,771
her,8,772
leant,8,773
wood,8,774
quiet,8,775
conversation,8,776
throw,8,777
ratcliffe.,8,778
"mean?""",8,779
thrown,8,780
rigid,8,781
whatever,8,782
realised,8,783
himself.,7,784
burning,7,785
i'll,7,786
grave,7,787
"little,",7,788
chin,7,789
branch,7,790
plain,7,791
tree,7,792
"balcony,",7,793
leaving,7,794
"car,",7,795
rest,7,796
"man,""",7,797
utterly,7,798
past,7,799
she,7,800
stare,7,801
gesture,7,802
"pocket,",7,803
"""to",7,804
act,7,805
beside,7,806
person,7,807
plans,7,808
flying,7,809
leap,7,810
public,7,811
curiosity.,7,812
fought,7,813
straight,7,814
yourself,7,815
possible,7,816
"""our",7,817
dropped,7,818
commonly,7,819
"pale,",7,820
unnatural,7,821
respect,7,822
entirely,7,823
one.,7,824
energy,7,825
brain,7,826
"beard,",7,827
that's,7,828
shot,7,829
english,7,830
buildings,7,831
says,7,832
"council,",7,833
actual,7,834
horrible,7,835
company,7,836
beastly,7,837
"hat,",7,838
third,7,839
adventures,7,840
"""that's",7,841
"""comrade",7,842
"""as",7,843
friends,7,844
hold,7,845
"""has",7,846
added,7,847
advancing,7,848
"""let",7,849
"that,",7,850
less,7,851
"cab,",7,852
known,7,853
"""for",7,854
"head,",7,855
often,7,856
fire,7,857
"that,""",7,858
showed,7,859
fighting,7,860
shaking,7,861
calling,7,862
brought,7,863
roared,7,864
innocent,7,865
days,7,866
slight,7,867
shining,7,868
silence.,7,869
lot,7,870
"""mr.",7,871
"slowly,",7,872
brown,7,873
pleasure,7,874
voice--,7,875
anarchist.,7,876
inner,7,877
thus,7,878
sad,7,879
"ducroix,",7,880
pair,7,881
threw,7,882
"us.""",7,883
dreadful,7,884
spectacles,7,885
"light,",7,886
field,7,887
faces,7,888
balcony,7,889
powerful,7,890
"ratcliffe,",7,891
together.,7,892
nor,7,893
"sea,",7,894
men.,7,895
frightful,7,896
leapt,7,897
door,7,898
quickly,7,899
bewildering,6,900
feeling,6,901
splendid,6,902
worth,6,903
sword-stick,6,904
mysterious,6,905
"afterwards,",6,906
met,6,907
join,6,908
police.,6,909
mind.,6,910
speaking,6,911
pistol,6,912
manner,6,913
fiery,6,914
finger,6,915
symbol,6,916
"no,",6,917
"""in",6,918
furious,6,919
beautiful,6,920
see.,6,921
difference,6,922
healthy,6,923
strode,6,924
shadow,6,925
barrel-organ,6,926
shown,6,927
opening,6,928
passionate,6,929
perfectly,6,930
course,6,931
rank,6,932
monstrous,6,933
carriages,6,934
"first,",6,935
lights,6,936
hotel,6,937
yards,6,938
balloon,6,939
honour,6,940
"know,",6,941
false,6,942
hate,6,943
'you,6,944
speak,6,945
rattling,6,946
moving,6,947
"sense,",6,948
simply,6,949
"what?""",6,950
sharp,6,951
scientific,6,952
fierce,6,953
used,6,954
"syme,""",6,955
christians,6,956
sight,6,957
literally,6,958
turning,6,959
criminal,6,960
death.,6,961
forehead.,6,962
eye,6,963
"anarchist,",6,964
detectives,6,965
"myself,",6,966
swept,6,967
space,6,968
grow,6,969
"say,""",6,970
rising,6,971
saying,6,972
tore,6,973
"shadow,",6,974
"now,""",6,975
prevent,6,976
odd,6,977
appeared,6,978
getting,6,979
isn't,6,980
become,6,981
finds,6,982
hours,6,983
spring,6,984
"then?""",6,985
"oh,",6,986
spectacles.,6,987
reached,6,988
partly,6,989
"life,",6,990
surely,6,991
damned,6,992
doing,6,993
blood,6,994
"""how",6,995
case,6,996
beginning,6,997
stopped,6,998
extraordinary,6,999
"snow,",6,1000
"""i'm",6,1001
light.,6,1002
breakfast,6,1003
exquisite,6,1004
"anarchy,",6,1005
itself.,6,1006
"way,",6,1007
crooked,6,1008
effect,6,1009
vaguely,6,1010
special,6,1011
british,6,1012
fully,6,1013
"here,",6,1014
grass,6,1015
up.,6,1016
mankind,6,1017
moral,6,1018
"you.""",6,1019
learn,6,1020
ready,6,1021
"?""",6,1022
crowd,6,1023
distance,6,1024
universe,6,1025
near,6,1026
influence,6,1027
parade,6,1028
nerves,6,1029
received,6,1030
"""dr.",6,1031
"word,",6,1032
scarcely,6,1033
"""because",6,1034
"there,",6,1035
keeping,6,1036
"suddenly,",6,1037
contrast,6,1038
regarded,5,1039
creation,5,1040
sit,5,1041
show,5,1042
startling,5,1043
died,5,1044
crime.,5,1045
worse,5,1046
"it?""",5,1047
away.,5,1048
doubts,5,1049
"it!""",5,1050
cause,5,1051
singular,5,1052
haven't,5,1053
bloody,5,1054
glasses,5,1055
weak,5,1056
days.,5,1057
vague,5,1058
mass,5,1059
likely,5,1060
filled,5,1061
"case,",5,1062
"back,",5,1063
scream,5,1064
boots,5,1065
carriage,5,1066
post,5,1067
"""stop",5,1068
wanted,5,1069
hell.,5,1070
stars,5,1071
place.,5,1072
colour,5,1073
fears,5,1074
work,5,1075
"also,",5,1076
sunset.,5,1077
feet.,5,1078
moon,5,1079
sent,5,1080
following,5,1081
"short,",5,1082
risen,5,1083
houses,5,1084
pocket,5,1085
spoken,5,1086
seat.,5,1087
tale,5,1088
late,5,1089
him;,5,1090
naked,5,1091
die,5,1092
balcony.,5,1093
sunlit,5,1094
startled,5,1095
flowers,5,1096
falling,5,1097
able,5,1098
flash,5,1099
evidently,5,1100
position,5,1101
"laughter,",5,1102
on.,5,1103
meant,5,1104
ball,5,1105
address,5,1106
"policy,",5,1107
"them.""",5,1108
i've,5,1109
know.,5,1110
stones,5,1111
(if,5,1112
god!,5,1113
passage,5,1114
trying,5,1115
attempt,5,1116
weary,5,1117
decent,5,1118
steadily,5,1119
type,5,1120
advice,5,1121
easily,5,1122
river,5,1123
instinctively,5,1124
insulted,5,1125
off.,5,1126
considerable,5,1127
extreme,5,1128
personal,5,1129
lost,5,1130
expressed,5,1131
goes,5,1132
anarchy,5,1133
chairman,5,1134
gravity,5,1135
"faces,",5,1136
kill,5,1137
shoulder,5,1138
"time,",5,1139
war,5,1140
lamp,5,1141
"night,",5,1142
further,5,1143
control,5,1144
laid,5,1145
shook,5,1146
glory,5,1147
revolt,5,1148
law,5,1149
peasant,5,1150
abrupt,5,1151
laughter.,5,1152
fall,5,1153
bank,5,1154
swinging,5,1155
"gentleman,",5,1156
women,5,1157
"""your",5,1158
inquired,5,1159
speech,5,1160
"think,""",5,1161
denied,5,1162
worms.,5,1163
arresting,5,1164
president.,5,1165
"garden,",5,1166
difficulty,5,1167
outrageous,5,1168
miles,5,1169
around,5,1170
smell,5,1171
square.,5,1172
evil,5,1173
"door,",5,1174
hair.,5,1175
elected,5,1176
burst,5,1177
shoulders,5,1178
marquis.,5,1179
"right,""",5,1180
"""with",5,1181
unless,5,1182
that.,5,1183
descended,5,1184
german,5,1185
"figure,",5,1186
park.,5,1187
within,5,1188
disappeared,5,1189
pretty,5,1190
thinking,5,1191
"sir,",5,1192
boat,5,1193
snow,5,1194
"friends,",5,1195
colonel.,5,1196
try,5,1197
fresh,5,1198
"society,",5,1199
"nothing,",5,1200
occurred,5,1201
flame,5,1202
flower,5,1203
"dark,",5,1204
body,5,1205
outer,5,1206
shouted,5,1207
"window,",5,1208
steel,5,1209
twisted,5,1210
patch,5,1211
father,5,1212
nearly,5,1213
"right,",5,1214
strength,5,1215
surprised,5,1216
intellect,5,1217
highly,5,1218
everyone,5,1219
"sir,""",5,1220
bomb,5,1221
"things,",5,1222
figures,5,1223
attack,5,1224
"speak,",5,1225
wonder,5,1226
down.,5,1227
ring,5,1228
"that?""",5,1229
natural,5,1230
force,5,1231
cafe,5,1232
several,5,1233
morbid,5,1234
actually,5,1235
leaning,5,1236
larger,5,1237
promised,5,1238
"""who",5,1239
"""does",5,1240
die.,5,1241
"rate,",5,1242
devils,5,1243
london.,5,1244
movements,5,1245
word.,5,1246
policeman.,5,1247
reminded,5,1248
"""then",5,1249
question.,5,1250
crazy,5,1251
flaming,5,1252
bewildered,5,1253
shocking,5,1254
working,5,1255
president's,5,1256
pride,5,1257
kindly,5,1258
idiotic,5,1259
"seat,",5,1260
bed,5,1261
dynamite,5,1262
dream.,5,1263
"""comrades,""",5,1264
irregular,5,1265
crossed,5,1266
fat,5,1267
moon.,5,1268
revolver,5,1269
present,5,1270
bring,5,1271
deny,5,1272
"""all",5,1273
was.,5,1274
"tree,",5,1275
"suppose,",5,1276
straw,5,1277
hats,5,1278
cloud.,5,1279
accept,5,1280
tomorrow,5,1281
play,5,1282
stranger,5,1283
"humanity,",5,1284
worst,5,1285
shape,5,1286
death,5,1287
begun,5,1288
"least,",5,1289
driven,5,1290
"stick,",5,1291
society,5,1292
it!,5,1293
girl,5,1294
drunk,5,1295
slow,5,1296
hat.,5,1297
coffee,5,1298
impulse,5,1299
lighted,5,1300
valour,5,1301
"together,",5,1302
fingers,5,1303
supposed,5,1304
day.,5,1305
farther,5,1306
waistcoat,5,1307
"blue,",5,1308
"mad,",5,1309
suggested,5,1310
anarchists.,4,1311
seeing,4,1312
carrying,4,1313
"which,",4,1314
covered,4,1315
gazed,4,1316
"boy,",4,1317
"""no",4,1318
simplicity,4,1319
"servants,",4,1320
pitiless,4,1321
"friend,",4,1322
seized,4,1323
fool,4,1324
love,4,1325
"""look",4,1326
"do,",4,1327
out--,4,1328
