Word,Freq,Rank
the,64014,1
and,51313,2
of,34634,3
to,13567,4
that,12784,5
in,12503,6
he,10261,7
shall,9838,8
unto,8987,9
for,8810,10
i,8708,11
his,8450,12
a,8176,13
they,7297,14
be,6854,15
is,6852,16
with,6002,17
not,5883,18
all,5432,19
thou,5202,20
lord,4739,21
it,4698,22
thy,4600,23
was,4454,24
which,4394,25
my,4368,26
but,3952,27
their,3931,28
have,3882,29
ye,3848,30
will,3780,31
from,3641,32
as,3511,33
them,3508,34
him,3166,35
are,2922,36
when,2832,37
upon,2734,38
were,2716,39
this,2601,40
by,2576,41
out,2483,42
god,2303,43
said,2285,44
hath,2242,45
then,2125,46
there,2073,47
"him,",2034,48
into,2012,49
had,1993,50
came,1991,51
man,1978,52
on,1965,53
up,1898,54
son,1894,55
one,1823,56
we,1809,57
king,1794,58
me,1779,59
your,1778,60
before,1766,61
"lord,",1709,62
an,1699,63
"said,",1680,64
against,1664,65
shalt,1616,66
"them,",1607,67
come,1602,68
if,1588,69
children,1588,70
at,1565,71
so,1561,72
her,1533,73
thee,1530,74
also,1518,75
let,1506,76
no,1351,77
even,1333,78
made,1332,79
"saying,",1331,80
went,1328,81
house,1315,82
go,1266,83
every,1236,84
people,1229,85
do,1215,86
"thee,",1211,87
because,1200,88
"me,",1195,89
saith,1167,90
you,1166,91
our,1165,92
now,1163,93
these,1162,94
after,1154,95
land,1143,96
"behold,",1121,97
men,1111,98
or,1107,99
israel,1098,100
therefore,1082,101
o,1065,102
hast,1060,103
day,1059,104
make,1050,105
"god,",1027,106
may,1026,107
what,971,108
she,968,109
over,961,110
who,948,111
did,936,112
among,916,113
put,908,114
thine,904,115
any,900,116
neither,876,117
great,870,118
hand,864,119
give,861,120
take,856,121
brought,853,122
down,848,123
sons,839,124
"you,",835,125
am,833,126
him.,817,127
us,799,128
according,796,129
two,792,130
things,791,131
should,783,132
jesus,777,133
"israel,",767,134
whom,755,135
nor,755,136
took,742,137
forth,736,138
bring,722,139
thus,714,140
know,708,141
lord.,706,142
david,694,143
them.,692,144
set,685,145
yet,669,146
say,660,147
like,658,148
sent,655,149
name,654,150
away,612,151
"it,",601,152
mine,595,153
called,578,154
heard,574,155
own,573,156
word,562,157
god.,556,158
days,554,159
father,551,160
how,541,161
more,529,162
me.,528,163
"people,",527,164
spake,526,165
saw,525,166
holy,522,167
good,511,168
hundred,509,169
cast,497,170
eat,495,171
thee.,495,172
see,485,173
moses,484,174
given,482,175
than,481,176
many,479,177
art,478,178
heart,469,179
gave,464,180
those,463,181
city,450,182
about,444,183
seven,444,184
three,442,185
would,442,186
through,441,187
evil,437,188
time,436,189
might,434,190
it.,427,191
"man,",424,192
other,423,193
speak,416,194
done,414,195
thousand,411,196
pass,409,197
hear,404,198
place,403,199
"pass,",396,200
way,396,201
"house,",395,202
where,392,203
answered,386,204
under,386,205
again,385,206
without,383,207
commanded,377,208
judah,373,209
"say,",373,210
"and,",372,211
first,369,212
words,368,213
offering,367,214
until,366,215
thing,366,216
off,365,217
burnt,360,218
found,356,219
both,351,220
keep,351,221
midst,348,222
toward,346,223
spirit,342,224
israel.,339,225
high,336,226
himself,333,227
years,331,228
none,331,229
earth,328,230
fear,328,231
voice,326,232
him:,325,233
"day,",324,234
five,323,235
been,322,236
thereof,322,237
"yea,",322,238
you.,322,239
cities,321,240
wherefore,320,241
cut,318,242
dwell,318,243
lord:,316,244
round,315,245
right,315,246
whose,314,247
"thereof,",313,248
stood,313,249
priest,312,250
"son,",309,251
servant,306,252
them:,304,253
"hand,",303,254
"us,",303,255
"land,",302,256
"up,",295,257
four,295,258
"judah,",294,259
same,292,260
work,290,261
soul,290,262
pray,290,263
lord;,290,264
"men,",289,265
deliver,289,266
being,287,267
me:,287,268
taken,287,269
"king,",286,270
hands,285,271
young,283,272
"brethren,",282,273
cause,282,274
blood,282,275
king's,282,276
sin,280,277
turn,279,278
twenty,278,279
surely,278,280
eyes,277,281
law,276,282
"jerusalem,",276,283
told,276,284
why,275,285
face,273,286
servants,273,287
fire,273,288
blessed,271,289
glory,270,290
them;,270,291
left,269,292
"city,",268,293
"her,",267,294
side,266,295
laid,265,296
turned,265,297
themselves,265,298
kings,264,299
delivered,264,300
old,264,301
"father,",263,302
"not,",261,303
saul,261,304
chief,259,305
very,257,306
gathered,256,307
much,255,308
"earth,",255,309
priests,255,310
year,254,311
kingdom,253,312
"moses,",252,313
christ,251,314
thee:,250,315
god;,250,316
another,247,317
mighty,246,318
daughter,246,319
"egypt,",245,320
such,244,321
destroy,243,322
jerusalem,242,323
concerning,241,324
drink,239,325
woman,238,326
together,238,327
wilt,237,328
love,237,329
end,237,330
ten,237,331
"come,",237,332
tabernacle,235,333
seek,235,334
lay,234,335
wicked,233,336
lest,233,337
can,233,338
between,232,339
though,230,340
seen,230,341
full,228,342
peace,228,343
fell,227,344
smote,227,345
offer,227,346
send,226,347
whole,226,348
shew,226,349
tribe,226,350
begat,225,351
cometh,224,352
little,224,353
stand,223,354
flesh,222,355
save,221,356
mouth,220,357
fathers,219,358
mount,219,359
god:,219,360
spoken,218,361
some,218,362
meat,218,363
praise,217,364
dwelt,214,365
him;,213,366
"heaven,",211,367
heaven,209,368
thee;,209,369
tell,209,370
doth,207,371
"david,",206,372
aaron,205,373
solomon,205,374
covenant,203,375
seed,203,376
sight,203,377
day.,202,378
"heart,",201,379
rest,200,380
mercy,200,381
head,199,382
altar,199,383
behold,199,384
bread,199,385
inhabitants,198,386
life,197,387
people.,196,388
strong,196,389
bear,196,390
brethren,195,391
"thou,",195,392
written,195,393
fall,194,394
"offering,",194,395
having,193,396
part,193,397
earth.,193,398
return,193,399
serve,192,400
jacob,191,401
"fathers,",191,402
slew,191,403
six,191,404
brother,189,405
certain,189,406
gone,188,407
sat,188,408
only,187,409
princes,187,410
call,186,411
while,186,412
waters,186,413
known,185,414
not.,184,415
walk,184,416
above,182,417
"things,",182,418
ever.,182,419
nations,182,420
whosoever,181,421
angel,181,422
cannot,181,423
"down,",181,424
congregation,180,425
wise,179,426
it:,177,427
ark,177,428
me;,176,429
power,176,430
"out,",173,431
water,173,432
well,173,433
bare,173,434
"gold,",172,435
began,172,436
jerusalem.,171,437
hold,171,438
sword,171,439
within,170,440
whether,169,441
till,169,442
reigned,168,443
book,168,444
third,167,445
wherein,167,446
multitude,166,447
kept,166,448
wife,166,449
sacrifice,166,450
receive,165,451
could,165,452
"sons,",165,453
long,165,454
gate,165,455
israel:,164,456
knew,164,457
light,163,458
gather,163,459
house.,161,460
throughout,161,461
joshua,160,462
judge,160,463
thirty,159,464
it;,159,465
righteous,158,466
cried,158,467
lifted,158,468
passed,158,469
"again,",158,470
departed,158,471
judgment,157,472
forty,157,473
far,156,474
fruit,156,475
manner,156,476
you:,154,477
egypt,153,478
sea,153,479
build,153,480
able,152,481
built,152,482
"place,",151,483
whatsoever,151,484
moreover,151,485
find,151,486
"together,",150,487
received,149,488
second,149,489
"also,",148,490
hand.,148,491
"lo,",148,492
"go,",146,493
"therefore,",146,494
"now,",146,495
levites,146,496
inheritance,145,497
new,145,498
gold,145,499
near,144,500
father's,144,501
"way,",144,502
carried,144,503
jews,144,504
"sea,",143,505
look,143,506
disciples,143,507
dead,143,508
returned,142,509
israel;,142,510
us.,142,511
righteousness,142,512
enter,142,513
prophet,141,514
"christ,",141,515
number,140,516
land.,140,517
daughters,139,518
nothing,138,519
thereof.,138,520
filled,138,521
"away,",138,522
silver,138,523
commandment,137,524
"children,",137,525
elders,137,526
"days,",136,527
strength,136,528
anger,136,529
philistines,135,530
joseph,135,531
"servants,",135,532
thyself,135,533
become,135,534
grace,134,535
men.,134,536
"law,",134,537
door,134,538
"priest,",133,539
most,133,540
border,133,541
broken,133,542
remember,132,543
must,132,544
break,132,545
lie,132,546
beside,131,547
burn,131,548
hearken,131,549
faith,131,550
"sword,",130,551
not:,130,552
"eyes,",130,553
shewed,130,554
wrath,129,555
works,129,556
cry,129,557
rejoice,129,558
born,128,559
rose,128,560
meet,128,561
slain,128,562
twelve,128,563
half,127,564
fifty,127,565
offerings,127,566
goeth,127,567
wisdom,126,568
ever,126,569
offered,126,570
thee?,126,571
places,126,572
iniquity,126,573
unclean,126,574
maketh,125,575
sought,125,576
night,123,577
"name,",123,578
"month,",123,579
"silver,",123,580
die,122,581
giveth,122,582
pharaoh,122,583
captain,122,584
rise,122,585
didst,122,586
poor,122,587
whither,121,588
mother,121,589
smite,121,590
"voice,",120,591
bless,120,592
abraham,120,593
me?,119,594
man's,119,595
"wife,",119,596
"hosts,",119,597
"fire,",118,598
vessels,118,599
wilderness,118,600
"that,",117,601
"dead,",117,602
host,117,603
lord's,116,604
"jesus,",116,605
feet,116,606
child,115,607
death,115,608
yourselves,115,609
"himself,",115,610
prophets,114,611
field,114,612
mayest,113,613
destroyed,113,614
seventh,113,615
seeing,113,616
slay,113,617
fine,113,618
world,113,619
get,112,620
leave,112,621
paul,111,622
peter,111,623
asked,111,624
war,111,625
hid,111,626
enemies,111,627
living,111,628
throne,110,629
family,110,630
counsel,110,631
sit,109,632
"this,",109,633
babylon,109,634
wherewith,108,635
walked,108,636
numbered,108,637
"time,",108,638
kill,108,639
"servant,",107,640
spread,107,641
trust,107,642
sing,107,643
open,107,644
stone,107,645
appointed,106,646
better,106,647
became,106,648
"another,",105,649
jeremiah,105,650
"priests,",105,651
"water,",104,652
"jacob,",104,653
not;,104,654
earth:,104,655
wine,104,656
saying,104,657
lift,104,658
opened,103,659
samuel,103,660
here,103,661
live,103,662
king.,103,663
"flesh,",103,664
believe,103,665
followed,103,666
"he,",102,667
"side,",101,668
"in,",101,669
beasts,101,670
"babylon,",101,671
east,101,672
entered,101,673
"answered,",101,674
reign,101,675
teach,101,676
river,101,677
women,100,678
possess,100,679
fat,100,680
command,100,681
looked,100,682
woe,100,683
cubits,99,684
answer,98,685
witness,98,686
"is,",98,687
"congregation,",98,688
truth,98,689
help,98,690
"brother,",98,691
her.,98,692
valley,98,693
"wilderness,",98,694
temple,97,695
knoweth,97,696
"i,",97,697
month,97,698
sabbath,97,699
back,97,700
"peace,",97,701
trees,97,702
"night,",97,703
sweet,97,704
"field,",97,705
captains,96,706
ask,96,707
hezekiah,96,708
"offerings,",96,709
"life,",95,710
"blood,",95,711
egypt.,95,712
ears,95,713
"aaron,",95,714
"world,",95,715
"mouth,",95,716
gods,95,717
worship,95,718
fight,94,719
"arise,",94,720
buried,94,721
morning,94,722
shut,94,723
bound,94,724
caused,94,725
death.,94,726
wall,93,727
man.,93,728
feast,93,729
tree,93,730
ought,93,731
joy,93,732
"be,",93,733
utterly,92,734
sun,92,735
service,92,736
fled,92,737
him?,91,738
beast,91,739
depart,91,740
"forth,",91,741
"bread,",91,742
afraid,91,743
knowledge,91,744
people:,90,745
desire,90,746
"gods,",90,747
honour,90,748
christ.,90,749
"saul,",90,750
died,90,751
nevertheless,90,752
"altar,",90,753
"morning,",90,754
covered,90,755
wrought,90,756
declare,90,757
south,89,758
place.,89,759
body,89,760
prince,89,761
top,88,762
flee,88,763
families,88,764
chosen,88,765
heart.,88,766
john,88,767
oil,88,768
away.,88,769
carry,88,770
days.,87,771
"spirit,",87,772
threescore,87,773
"hear,",87,774
money,87,775
"about,",87,776
"ye,",87,777
jonathan,86,778
wait,86,779
never,86,780
"death,",86,781
going,86,782
arose,86,783
prepared,86,784
ways,86,785
you;,86,786
suffer,85,787
drew,85,788
verily,85,789
believed,85,790
stones,85,791
"saith,",85,792
"hands,",85,793
"words,",85,794
"head,",85,795
hope,85,796
wash,85,797
"levites,",84,798
"thing,",84,799
"came,",84,800
lot,84,801
joab,84,802
sins,84,803
loved,84,804
"nations,",84,805
there.,84,806
mountains,84,807
"woman,",83,808
present,83,809
nigh,83,810
ever:,83,811
son.,83,812
burned,83,813
doeth,83,814
"years,",83,815
thence,83,816
remnant,83,817
poured,82,818
incense,82,819
"arose,",82,820
again.,82,821
(for,82,822
"wine,",82,823
us:,82,824
country,82,825
"abraham,",82,826
hosts,81,827
ready,81,828
"there,",81,829
likewise,81,830
commandments,81,831
presence,81,832
"themselves,",81,833
times,81,834
hide,81,835
minister,81,836
city.,80,837
tongue,80,838
plague,80,839
heaven.,80,840
pure,80,841
charge,80,842
prepare,79,843
tribes,79,844
"prophets,",79,845
raised,79,846
bringeth,79,847
"good,",79,848
ephraim,79,849
noise,79,850
everlasting,79,851
"face,",79,852
portion,79,853
follow,79,854
earth;,78,855
life.,78,856
small,78,857
jeroboam,78,858
"righteousness,",78,859
fire.,78,860
pitched,78,861
houses,78,862
sound,78,863
hate,78,864
"evil,",78,865
spoil,78,866
hearkened,77,867
eye,77,868
abide,77,869
day:,77,870
firstborn,77,871
all.,77,872
tenth,77,873
feed,77,874
knowest,76,875
nation,76,876
up.,76,877
gates,76,878
years.,76,879
things.,76,880
people;,76,881
name.,76,882
committed,76,883
north,76,884
coming,75,885
fourth,75,886
strange,75,887
draw,75,888
"mother,",75,889
understanding,75,890
hand:,75,891
"oil,",75,892
mother's,75,893
write,74,894
sore,74,895
breadth,74,896
come.,74,897
taketh,74,898
father.,74,899
"all,",74,900
commit,74,901
salvation,73,902
jordan,73,903
atonement,73,904
offering:,73,905
out.,73,906
sheep,73,907
bowed,73,908
except,73,909
"sin,",73,910
shouldest,73,911
cattle,72,912
whence,72,913
cover,72,914
whereof,72,915
sold,72,916
thought,72,917
"feet,",72,918
selah.,72,919
land:,71,920
lips,71,921
die.,71,922
sware,71,923
stretched,71,924
"pharaoh,",71,925
"enemies,",71,926
moses.,71,927
court,71,928
"disciples,",71,929
"ways,",70,930
beginning,70,931
ruler,70,932
"temple,",70,933
served,70,934
wind,70,935
removed,70,936
