Word,Freq,Rank
the,3304,1
to,2746,2
and,2716,3
of,2528,4
a,1574,5
in,1353,6
was,1277,7
had,1164,8
she,1114,9
her,1012,10
i,986,11
be,919,12
he,915,13
not,891,14
that,829,15
it,813,16
as,804,17
for,674,18
his,648,19
with,620,20
but,612,21
have,580,22
at,529,23
you,487,24
been,484,25
all,475,26
could,434,27
very,425,28
they,424,29
were,416,30
by,410,31
which,394,32
is,374,33
on,370,34
would,341,35
so,323,36
anne,298,37
captain,297,38
no,296,39
their,292,40
mrs,289,41
from,289,42
or,270,43
him,267,44
mr,246,45
an,243,46
than,243,47
more,239,48
there,234,49
when,221,50
must,221,51
being,216,52
one,212,53
this,210,54
my,209,55
only,209,56
such,208,57
lady,200,58
any,196,59
if,193,60
much,190,61
what,184,62
should,181,63
who,178,64
little,166,65
might,160,66
do,158,67
them,153,68
will,150,69
never,149,70
good,145,71
we,143,72
own,141,73
said,137,74
sir,137,75
are,135,76
did,133,77
think,133,78
some,132,79
elliot,125,80
your,122,81
great,122,82
am,121,83
miss,118,84
most,118,85
nothing,115,86
"""i",114,87
see,113,88
how,113,89
though,111,90
quite,110,91
always,109,92
charles,107,93
without,106,94
soon,105,95
wentworth,104,96
other,103,97
every,101,98
first,100,99
now,100,100
"anne,",100,101
me,99,102
has,98,103
two,97,104
can,97,105
into,95,106
too,95,107
after,94,108
made,94,109
time,94,110
herself,92,111
seemed,91,112
having,87,113
well,86,114
may,86,115
make,86,116
out,85,117
about,85,118
know,84,119
before,82,120
"her,",82,121
thought,81,122
"him,",81,123
many,80,124
young,79,125
walter,78,126
"it,",77,127
felt,76,128
father,76,129
same,76,130
long,74,131
like,74,132
better,73,133
russell,73,134
its,72,135
up,71,136
even,71,137
those,71,138
found,71,139
ever,69,140
give,69,141
last,68,142
"elliot,",68,143
her.,68,144
mary,67,145
it.,66,146
still,65,147
musgrove,65,148
upon,65,149
go,65,150
while,65,151
man,63,152
just,63,153
louisa,62,154
"however,",62,155
him.,60,156
our,60,157
came,59,158
almost,59,159
few,59,160
half,59,161
rather,58,162
something,57,163
going,57,164
wish,56,165
come,56,166
house,55,167
knew,55,168
between,55,169
"wentworth,",54,170
enough,54,171
himself,54,172
heard,54,173
down,53,174
feelings,53,175
shall,53,176
over,53,177
elizabeth,52,178
another,52,179
back,52,180
again,51,181
"you,",51,182
seen,51,183
present,50,184
anne's,49,185
take,49,186
till,49,187
done,48,188
kellynch,48,189
saw,48,190
them.,48,191
say,47,192
hope,47,193
these,47,194
years,46,195
poor,46,196
"them,",45,197
"was,",45,198
admiral,45,199
left,45,200
way,44,201
sure,44,202
where,44,203
known,44,204
friend,44,205
cried,44,206
bath,44,207
then,43,208
look,43,209
happy,43,210
here,43,211
really,42,212
under,42,213
cannot,42,214
leave,42,215
yet,41,216
"again,",41,217
off,41,218
anything,41,219
henrietta,41,220
old,41,221
hardly,40,222
perfectly,40,223
each,39,224
deal,39,225
among,39,226
near,39,227
"mary,",39,228
home,39,229
ought,39,230
party,39,231
away,39,232
feel,39,233
does,38,234
everything,38,235
"herself,",38,236
family,38,237
nor,38,238
looked,38,239
day,38,240
believe,37,241
dear,37,242
since,37,243
"and,",37,244
place,37,245
harville,36,246
certainly,36,247
sort,36,248
part,36,249
best,36,250
whole,36,251
get,35,252
clay,35,253
next,35,254
hear,35,255
seeing,35,256
elliot's,35,257
three,34,258
uppercross,34,259
gone,34,260
moment,34,261
benwick,34,262
whom,34,263
"charles,",33,264
either,33,265
both,33,266
mind,33,267
"time,",33,268
visit,32,269
tell,32,270
received,32,271
brought,32,272
towards,32,273
"man,",32,274
glad,32,275
"""oh!",32,276
"musgrove,",31,277
once,31,278
her;,31,279
woman,31,280
"say,",31,281
put,30,282
him;,30,283
sister,30,284
"smith,",30,285
able,30,286
began,30,287
set,30,288
whether,30,289
far,30,290
pleasure,30,291
given,30,292
evening,30,293
"russell,",30,294
interest,30,295
course,30,296
passed,29,297
people,29,298
coming,29,299
talked,29,300
fine,29,301
"perhaps,",29,302
gave,29,303
camden,29,304
general,29,305
called,29,306
russell's,29,307
least,29,308
it;,29,309
acquaintance,29,310
strong,28,311
idea,28,312
obliged,28,313
thing,28,314
want,28,315
"""you",28,316
determined,28,317
former,28,318
right,28,319
love,28,320
through,28,321
"indeed,",28,322
full,28,323
room,28,324
"place,",27,325
looking,27,326
"me,",27,327
walked,27,328
against,26,329
"""and",26,330
letter,26,331
manner,26,332
"walter,",26,333
wentworth's,26,334
heart,26,335
you.,26,336
thinking,26,337
"home,",26,338
"all,",26,339
went,26,340
replied,26,341
"""but",26,342
state,26,343
me.,26,344
"know,",25,345
again.,25,346
let,25,347
us,25,348
change,25,349
lyme,25,350
agreeable,25,351
neither,25,352
spirits,25,353
eyes,25,354
wanted,25,355
assure,25,356
worth,24,357
often,24,358
short,24,359
because,24,360
end,24,361
"well,",24,362
character,24,363
told,24,364
"he,",24,365
new,24,366
side,24,367
name,24,368
beginning,24,369
"house,",24,370
others,24,371
met,24,372
morning,24,373
elliot.,24,374
chapter,24,375
"now,",24,376
possible,24,377
making,23,378
object,23,379
hayter,23,380
"louisa,",23,381
taking,23,382
company,23,383
wished,23,384
taken,23,385
account,23,386
"bath,",23,387
less,23,388
"too,",23,389
considered,23,390
likely,23,391
acquainted,22,392
"uppercross,",22,393
"""it",22,394
"family,",22,395
spoke,22,396
use,22,397
immediately,22,398
"morning,",22,399
"there,",22,400
pretty,22,401
bad,22,402
"together,",22,403
walk,22,404
understand,22,405
real,22,406
talk,22,407
return,22,408
sensible,22,409
"sister,",22,410
croft,21,411
smith,21,412
marry,21,413
"friend,",21,414
turned,21,415
musgroves,21,416
"room,",21,417
whose,21,418
feeling,21,419
excellent,21,420
"mind,",21,421
"acquaintance,",21,422
colonel,21,423
got,21,424
early,20,425
"life,",20,426
need,20,427
asked,20,428
father's,20,429
forward,20,430
meet,20,431
"said,",20,432
high,20,433
"harville,",20,434
appearance,20,435
find,20,436
"himself,",20,437
manners,20,438
different,20,439
help,20,440
spoken,20,441
crofts,20,442
"no,",20,443
usual,20,444
point,19,445
bear,19,446
"""that",19,447
anne.,19,448
consequence,19,449
themselves,19,450
knowledge,19,451
doing,19,452
"therefore,",19,453
speak,19,454
regard,19,455
person,19,456
walking,19,457
giving,19,458
talking,19,459
"lyme,",19,460
year,19,461
call,19,462
"elizabeth,",19,463
men,19,464
mean,19,465
"short,",19,466
"away,",18,467
"be,",18,468
sorry,18,469
sight,18,470
finding,18,471
particularly,18,472
mother,18,473
living,18,474
within,18,475
longer,18,476
advantage,18,477
degree,18,478
"henrietta,",18,479
life,18,480
attention,18,481
herself.,18,482
bath.,18,483
happiness,18,484
took,18,485
used,18,486
beyond,18,487
"other,",17,488
away.,17,489
minutes,17,490
hours,17,491
head,17,492
"woman,",17,493
surprise,17,494
worse,17,495
disposed,17,496
wentworth.,17,497
walter's,17,498
dalrymple,17,499
face,17,500
influence,17,501
satisfied,17,502
musgrove's,17,503
"but,",17,504
"that,",17,505
friends,17,506
reason,17,507
generally,17,508
"sure,",17,509
"""the",17,510
hour,17,511
word,16,512
equal,16,513
concert,16,514
rest,16,515
anxious,16,516
means,16,517
"moment,",16,518
perfect,16,519
conversation,16,520
sometimes,16,521
"over,",16,522
doubt,16,523
days,16,524
large,16,525
answer,16,526
nobody,16,527
wife,16,528
ladies,16,529
value,16,530
"musgroves,",16,531
decided,16,532
extremely,16,533
kept,16,534
pleased,16,535
things,16,536
mary's,16,537
suppose,16,538
shepherd,16,539
"so,",16,540
second,16,541
lived,16,542
"""a",16,543
"then,",16,544
"which,",16,545
else,16,546
small,16,547
delighted,15,548
afterwards,15,549
believed,15,550
"once,",15,551
why,15,552
lyme.,15,553
attending,15,554
care,15,555
eye,15,556
"on,",15,557
nearly,15,558
meant,15,559
anybody,15,560
trying,15,561
"afterwards,",15,562
natural,15,563
"side,",15,564
attachment,15,565
"this,",15,566
turn,15,567
"benwick,",15,568
nature,15,569
perhaps,15,570
wallis,15,571
"""he",15,572
understood,15,573
warm,15,574
lost,15,575
circumstance,15,576
smallest,15,577
engagement,15,578
ill,15,579
"had,",15,580
"not,",15,581
"others,",15,582
drew,15,583
"""yes,",15,584
"croft,",15,585
taste,15,586
sense,15,587
meeting,15,588
women,15,589
"themselves,",14,590
knowing,14,591
matter,14,592
air,14,593
"admiral,",14,594
"party,",14,595
completely,14,596
engaged,14,597
exactly,14,598
sent,14,599
brother,14,600
"yet,",14,601
children,14,602
getting,14,603
sit,14,604
"of,",14,605
world,14,606
keep,14,607
handsome,14,608
settled,14,609
allowed,14,610
saying,14,611
"country,",14,612
sat,14,613
proper,14,614
waiting,14,615
kind,14,616
seem,14,617
"she,",14,618
"""no,",14,619
