Word,Freq,Rank
the,645,1
and,544,2
to,383,3
of,337,4
i,314,5
a,238,6
that,220,7
my,201,8
in,195,9
is,175,10
you,166,11
with,152,12
not,145,13
his,143,14
macb.,137,15
it,134,16
be,132,17
your,126,18
our,123,19
but,120,20
haue,119,21
he,107,22
for,107,23
what,100,24
this,95,25
thou,85,26
as,85,27
we,82,28
so,78,29
which,78,30
me,74,31
enter,74,32
all,73,33
will,69,34
they,68,35
shall,67,36
are,65,37
no,63,38
their,62,39
macd.,58,40
vpon,58,41
then,57,42
him,56,43
thy,56,44
from,56,45
hath,52,46
yet,52,47
on,51,48
at,49,49
by,47,50
would,45,51
was,44,52
thee,43,53
vs,42,54
if,42,55
good,42,56
lady.,41,57
now,40,58
should,40,59
who,40,60
rosse.,40,61
when,39,62
do,38,63
make,38,64
were,38,65
did,38,66
or,37,67
like,37,68
more,37,69
must,36,70
her,36,71
come,36,72
let,35,73
ile,35,74
'tis,35,75
where,34,76
had,32,77
how,32,78
why,31,79
doe,30,80
great,30,81
am,29,82
may,29,83
exeunt.,29,84
there,29,85
an,28,86
them,26,87
macbeth,26,88
th',26,89
know,26,90
one,25,91
mal.,25,92
see,25,93
banq.,24,94
such,24,95
can,24,96
nor,24,97
"macbeth,",24,98
those,24,99
giue,24,100
scena,22,101
say,22,102
these,22,103
most,22,104
looke,21,105
la.,21,106
things,21,107
time,21,108
"me,",21,109
1.,21,110
lenox.,20,111
speake,20,112
vp,20,113
cannot,20,114
mine,20,115
till,20,116
doct.,20,117
thane,19,118
done,19,119
too,19,120
"time,",19,121
wife.,19,122
heare,18,123
"sir,",18,124
"him,",18,125
"king,",18,126
king.,18,127
"lord,",17,128
&,17,129
take,17,130
she,17,131
some,17,132
night,17,133
though,17,134
all.,16,135
out,16,136
feare,16,137
euery,16,138
man,16,139
"well,",16,140
do's,16,141
put,16,142
poore,15,143
king,15,144
ere,15,145
selfe,15,146
owne,15,147
worthy,15,148
i'th',15,149
both,15,150
ha's,15,151
heere,15,152
"come,",15,153
malc.,15,154
shew,14,155
there's,14,156
whose,14,157
"i,",14,158
3.,14,159
"you,",14,160
son.,14,161
before,14,162
could,14,163
against,14,164
blood,13,165
sey.,13,166
well,13,167
bloody,13,168
strange,13,169
o'th',13,170
pray,13,171
"banquo,",13,172
banquo,13,173
without,13,174
"it,",13,175
"say,",13,176
heart,13,177
three,13,178
haile,13,179
o,13,180
each,13,181
noble,12,182
god,12,183
goe,12,184
keepe,12,185
what's,12,186
2.,12,187
exit,12,188
into,12,189
made,12,190
new,12,191
nature,12,192
nothing,12,193
neuer,12,194
comes,11,195
gent.,11,196
leaue,11,197
sleepe,11,198
1,11,199
"not,",11,200
very,11,201
way,11,202
still,11,203
dare,11,204
"them,",11,205
finde,11,206
art,11,207
much,11,208
day,11,209
mac.,10,210
else,10,211
lord,10,212
againe,10,213
thinke,10,214
go,10,215
whom,10,216
heauen,10,217
euen,10,218
stand,10,219
name,10,220
borne,9,221
tell,9,222
life,9,223
macbeth.,9,224
beene,9,225
about,9,226
get,9,227
you:,9,228
bring,9,229
full,9,230
within,9,231
two,9,232
here,9,233
many,9,234
wood,9,235
first,9,236
royall,9,237
loue,9,238
that's,9,239
knock.,9,240
thought,9,241
being,9,242
"feare,",9,243
onely,9,244
thus,9,245
me.,9,246
beare,8,247
call,8,248
heard,8,249
"blood,",8,250
father,8,251
almost,8,252
cawdor,8,253
old,8,254
other,8,255
none,8,256
"lenox,",8,257
it.,8,258
