Word,Freq,Rank
the,52,1
you,49,2
or,40,3
to,38,4
of,37,5
this,30,6
and,29,7
project,20,8
a,20,9
etext,19,10
for,19,11
by,18,12
if,18,13
other,17,14
is,15,15
it,14,16
may,14,17
*,12,18
any,10,19
gutenberg,10,20
be,9,21
from,8,22
not,8,23
that,8,24
one,7,25
"""small",7,26
"print!""",7,27
your,7,28
in,7,29
"etext,",6,30
our,6,31
do,6,32
no,6,33
we,6,34
copyright,6,35
get,6,36
including,5,37
give,5,38
on,5,39
distribute,5,40
"""project",5,41
all,5,42
with,5,43
can,5,44
each,5,45
cd,5,46
have,5,47
at,4,48
medium,4,49
(or,4,50
as,4,51
person,4,52
benedictine,4,53
form,4,54
money,4,55
illinois,4,56
within,4,57
receive,4,58
"things,",4,59
gutenberg-tm,4,60
received,4,61
among,4,62
legal,4,63
copy,4,64
domain,4,65
public,4,66
even,4,67
million,4,68
so,4,69
but,4,70
these,3,71
"etexts,",3,72
"damages,",3,73
paid,3,74
characters,3,75
[2],3,76
information,3,77
also,3,78
warranties,3,79
are,3,80
equivalent,3,81
(3),3,82
under,3,83
than,3,84
[*],3,85
states,3,86
files,3,87
per,3,88
association,3,89
etexts,3,90
[1],3,91
such,3,92
about,3,93
replacement,3,94
days,3,95
copies,3,96
limited,3,97
following,3,98
ftp,3,99
computer,3,100
most,3,101
refund,3,102
statement.,3,103
its,2,104
proprietary,2,105
small,2,106
hypertext,2,107
s.,2,108
donations,2,109
how,2,110
project's,2,111
intended,2,112
"below,",2,113
when,2,114
some,2,115
fee,2,116
physical,2,117
files],2,118
hour,2,119
[3],2,120
program,2,121
free,2,122
year,2,123
has,2,124
choose,2,125
[to,2,126
"work,",2,127
ebcdic,2,128
use,2,129
used,2,130
"electronically,",2,131
they,2,132
dollars,2,133
book,2,134
long,2,135
been,2,136
produce,2,137
please,2,138
don't,2,139
us,2,140
email,2,141
take,2,142
disclaimers,2,143
word,2,144
mget,2,145
royalty,2,146
apply,2,147
2001.,2,148
"gutenberg,",2,149
from.,2,150
contain,2,151
wrong,2,152
united,2,153
an,2,154
read,2,155
must,2,156
michael,2,157
.,2,158
additional,2,159
tax,2,160
"fees,",2,161
derive,2,162
"liability,",2,163
using,2,164
only,2,165
agree,2,166
statement,2,167
(if,2,168
more,2,169
(and,2,170
will,2,171
return,2,172
disclaims,2,173
/,2,174
william,2,175
without,2,176
liability,2,177
sending,2,178
receiving,2,179
made,2,180
"software,",2,181
any),2,182
"expense,",2,183
directly,2,184
should,2,185
alternatively,2,186
"medium,",2,187
request,2,188
distribution,2,189
send,2,190
indicate,2,191
got,2,192
plain,2,193
hundred,2,194
text,2,195
accept,1,196
defect.,1,197
discover,1,198
internet,1,199
you!),1,200
newsletters.,1,201
"kind,",1,202
month:,1,203
disclaimer,1,204
"31,",1,205
*either*:,1,206
allowable,1,207
"""right",1,208
wish,1,209
expends,1,210
mrcnext.cso.uiuc.edu,1,211
know:,1,212
intellectual,1,213
60,1,214
owns,1,215
"gutenberg""",1,216
punitive,1,217
thornton,1,218
(2),1,219
"on,",1,220
or:,1,221
tm,1,222
"alteration,",1,223
productivity,1,224
ended,1,225
despite,1,226
etext/etext93],1,227
cannot,1,228
want,1,229
method,1,230
set,1,231
scanning,1,232
etext),1,233
pages),1,234
[mac,1,235
agents,1,236
request.,1,237
note,1,238
warranty,1,239
"hart,",1,240
exact,1,241
goal,1,242
"disk),",1,243
executive,1,244
suggest,1,245
projected,1,246
shakespeare,1,247
author,1,248
alter,1,249
x,1,250
"case,",1,251
whitman,1,252
exclusions,1,253
(one,1,254
here?,1,255
hold,1,256
particular,1,257
"refund""",1,258
p.,1,259
below.,1,260
codes,1,261
annual,1,262
bin,1,263
transcription,1,264
2782,1,265
"officers,",1,266
"emulator),",1,267
cause:,1,268
to.,1,269
users,1,270
provided,1,271
"disk,",1,272
"efforts,",1,273
20%,1,274
etc.,1,275
date,1,276
of.,1,277
"modification,",1,278
prepared,1,279
away,1,280
etexts**start***,1,281
semi-generic,1,282
college,1,283
delete,1,284
mcimail).,1,285
indemnify,1,286
expense,1,287
"ascii,",1,288
fifty,1,289
electronically.,1,290
tel:,1,291
incidental,1,292
contribution,1,293
processors);,1,294
