Word,Freq,Rank
the,1603,1
and,766,2
to,706,3
a,614,4
she,518,5
of,493,6
said,421,7
it,362,8
in,351,9
was,333,10
you,264,11
i,260,12
as,249,13
that,222,14
alice,221,15
her,208,16
at,205,17
had,176,18
with,169,19
all,155,20
on,142,21
very,139,22
be,138,23
for,135,24
so,126,25
'i,121,26
little,120,27
they,117,28
but,116,29
he,111,30
not,108,31
this,103,32
out,97,33
his,95,34
what,91,35
about,84,36
were,82,37
up,81,38
one,80,39
went,79,40
down,78,41
have,77,42
would,76,43
"alice,",76,44
like,75,45
when,73,46
if,72,47
is,71,48
or,68,49
no,67,50
into,67,51
could,65,52
there,64,53
thought,63,54
*,60,55
your,60,56
then,59,57
by,57,58
its,57,59
my,56,60
an,56,61
mock,56,62
'and,55,63
quite,55,64
alice.,54,65
who,54,66
don't,53,67
do,51,68
their,51,69
some,50,70
did,50,71
them,49,72
see,48,73
just,48,74
time,47,75
began,47,76
me,46,77
know,46,78
how,46,79
looked,45,80
got,45,81
only,44,82
get,43,83
must,42,84
never,40,85
after,40,86
off,40,87
herself,40,88
such,40,89
are,40,90
much,40,91
which,40,92
'you,39,93
great,39,94
go,39,95
more,39,96
came,38,97
'but,38,98
"it,",38,99
think,38,100
i'm,37,101
way,37,102
been,36,103
any,36,104
say,35,105
thing,35,106
queen,35,107
'what,34,108
turtle,33,109
from,32,110
large,32,111
over,31,112
"again,",31,113
"herself,",31,114
can,31,115
march,31,116
it's,31,117
put,31,118
will,30,119
looking,30,120
round,30,121
'it,30,122
long,30,123
first,30,124
rabbit,30,125
back,29,126
head,29,127
heard,29,128
tell,29,129
made,29,130
white,28,131
king,28,132
found,28,133
"on,",27,134
seemed,27,135
well,27,136
can't,27,137
might,27,138
should,27,139
other,26,140
going,26,141
make,26,142
poor,26,143
come,26,144
last,26,145
"you,",26,146
upon,26,147
"said,",26,148
now,25,149
look,25,150
rather,25,151
soon,24,152
took,24,153
without,24,154
hatter,24,155
i'll,24,156
felt,23,157
than,23,158
him,23,159
'it's,23,160
three,23,161
good,23,162
dormouse,23,163
two,22,164
shall,22,165
gryphon,22,166
nothing,22,167
next,22,168
won't,21,169
getting,21,170
moment,21,171
right,21,172
wish,21,173
half,21,174
'if,21,175
too,21,176
"them,",21,177
same,21,178
another,21,179
mouse,20,180
while,20,181
added,20,182
find,20,183
'the,20,184
'i'm,20,185
i've,20,186
"'well,",20,187
things,19,188
"'oh,",19,189
take,19,190
here,19,191
once,19,192
"however,",19,193
"it,'",19,194
before,19,195
"and,",19,196
being,19,197
till,19,198
even,19,199
cried,18,200
voice,18,201
eyes,18,202
tried,18,203
"her,",18,204
sat,17,205
"this,",17,206
you're,17,207
that's,17,208
ever,17,209
"queen,",17,210
sort,17,211
"tone,",16,212
there's,16,213
it.,16,214
curious,16,215
alice;,16,216
eat,16,217
hare,16,218
use,16,219
'how,16,220
sure,16,221
again.,16,222
"is,",16,223
turned,16,224
under,16,225
doesn't,16,226
we,16,227
'that's,15,228
wonder,15,229
something,15,230
minute,15,231
away,15,232
door,15,233
'that,15,234
gryphon.,15,235
duchess,15,236
"king,",15,237
gave,15,238
"voice,",15,239
cat,15,240
called,15,241
words,14,242
both,14,243
"gryphon,",14,244
idea,14,245
set,14,246
'i've,14,247
"was,",14,248
hear,14,249
"down,",14,250
replied,14,251
anything,14,252
near,14,253
"off,",14,254
hatter.,13,255
ought,13,256
let,13,257
these,13,258
whole,13,259
old,13,260
grow,13,261
left,13,262
ran,13,263
her.,13,264
still,13,265
through,13,266
am,13,267
"out,",13,268
saw,13,269
again,13,270
anxiously,13,271
kept,13,272
hardly,12,273
talking,12,274
king.,12,275
remember,12,276
perhaps,12,277
may,12,278
wouldn't,12,279
caterpillar.,12,280
seen,12,281
because,12,282
close,12,283
every,12,284
always,12,285
knew,12,286
side,12,287
try,12,288
'of,12,289
many,12,290
turning,12,291
end,12,292
among,12,293
used,12,294
chapter,12,295
behind,12,296
whether,11,297
hand,11,298
saying,11,299
beginning,11,300
trying,11,301
"before,",11,302
wasn't,11,303
"mouse,",11,304
'then,11,305
didn't,11,306
'not,11,307
better,11,308
it?',11,309
makes,11,310
'we,11,311
"first,",11,312
caterpillar,11,313
hare.,11,314
day,11,315
feet,11,316
'a,11,317
queen.,11,318
"see,",11,319
course,11,320
deal,11,321
hurried,11,322
glad,11,323
sitting,10,324
they're,10,325
thinking,10,326
voice.,10,327
done,10,328
everything,10,329
alice's,10,330
"hatter,",10,331
"not,",10,332
where,10,333
suddenly,10,334
walked,10,335
