Word,Freq,Rank
the,52,1
you,49,2
or,40,3
to,38,4
of,37,5
this,30,6
and,29,7
project,20,8
a,20,9
for,19,10
etext,19,11
by,18,12
if,18,13
other,17,14
is,15,15
may,14,16
it,14,17
*,12,18
any,10,19
gutenberg,10,20
be,9,21
from,8,22
not,8,23
that,8,24
one,7,25
in,7,26
"print!""",7,27
your,7,28
"""small",7,29
do,6,30
get,6,31
"etext,",6,32
we,6,33
our,6,34
no,6,35
copyright,6,36
can,5,37
on,5,38
with,5,39
cd,5,40
have,5,41
give,5,42
distribute,5,43
all,5,44
including,5,45
"""project",5,46
each,5,47
"things,",4,48
domain,4,49
illinois,4,50
but,4,51
million,4,52
copy,4,53
money,4,54
receive,4,55
gutenberg-tm,4,56
so,4,57
(or,4,58
among,4,59
public,4,60
even,4,61
at,4,62
medium,4,63
person,4,64
as,4,65
legal,4,66
form,4,67
benedictine,4,68
received,4,69
within,4,70
these,3,71
refund,3,72
equivalent,3,73
"etexts,",3,74
about,3,75
paid,3,76
copies,3,77
under,3,78
characters,3,79
statement.,3,80
[2],3,81
such,3,82
computer,3,83
information,3,84
are,3,85
"damages,",3,86
etexts,3,87
than,3,88
ftp,3,89
replacement,3,90
days,3,91
most,3,92
following,3,93
limited,3,94
per,3,95
[*],3,96
association,3,97
(3),3,98
[1],3,99
also,3,100
warranties,3,101
files,3,102
states,3,103
indicate,2,104
s.,2,105
book,2,106
long,2,107
mget,2,108
return,2,109
only,2,110
produce,2,111
additional,2,112
"below,",2,113
any),2,114
files],2,115
"gutenberg,",2,116
when,2,117
must,2,118
disclaimers,2,119
used,2,120
has,2,121
hypertext,2,122
derive,2,123
got,2,124
word,2,125
apply,2,126
send,2,127
project's,2,128
proprietary,2,129
some,2,130
disclaims,2,131
sending,2,132
year,2,133
choose,2,134
they,2,135
2001.,2,136
(if,2,137
.,2,138
more,2,139
"software,",2,140
an,2,141
"work,",2,142
us,2,143
take,2,144
fee,2,145
(and,2,146
use,2,147
donations,2,148
"electronically,",2,149
statement,2,150
been,2,151
will,2,152
[to,2,153
how,2,154
ebcdic,2,155
alternatively,2,156
"medium,",2,157
directly,2,158
agree,2,159
liability,2,160
from.,2,161
"liability,",2,162
united,2,163
[3],2,164
please,2,165
free,2,166
receiving,2,167
request,2,168
don't,2,169
intended,2,170
program,2,171
made,2,172
hundred,2,173
small,2,174
read,2,175
hour,2,176
distribution,2,177
dollars,2,178
"expense,",2,179
michael,2,180
physical,2,181
email,2,182
/,2,183
using,2,184
wrong,2,185
should,2,186
royalty,2,187
tax,2,188
william,2,189
contain,2,190
text,2,191
its,2,192
without,2,193
"fees,",2,194
plain,2,195
forth,1,196
2,1,197
line,1,198
pay,1,199
"gutenberg/ibc"",",1,200
"however,",1,201
part,1,202
lawyers.,1,203
thornton,1,204
61825,1,205
of.,1,206
hart@uiucvmd,1,207
box,1,208
.set,1,209
clearly,1,210
"college""",1,211
periodic),1,212
"compuserve,",1,213
ten,1,214
**information,1,215
million.,1,216
provisions,1,217
(bitnet),1,218
return.,1,219
productivity,1,220
"readers,",1,221
audience,1,222
equipment.,1,223
cost,1,224
files.,1,225
cannot,1,226
[get,1,227
to:,1,228
property,1,229
calculate,1,230
users,1,231
provided,1,232
"we,",1,233
"cost,",1,234
expense,1,235
authors:,1,236
"readable,",1,237
"directors,",1,238
thousand,1,239
"domain""",1,240
copy.,1,241
inaccurate,1,242
list,1,243
books,1,244
herman,1,245
electronically.,1,246
taxes.,1,247
members,1,248
prepare,1,249
password:,1,250
milton,1,251
"kramer,",1,252
damaged,1,253
method,1,254
think,1,255
reading,1,256
il,1,257
new.gut,1,258
*end*the,1,259
beginning,1,260
profits,1,261
into,1,262
explanatory,1,263
"provide,",1,264
professor,1,265
tilde,1,266
royalties,1,267
contains,1,268
cessing,1,269
warranty;,1,270
author,1,271
form).,1,272
"college"".",1,273
trademark.,1,274
considerable,1,275
point,1,276
law,1,277
your@login,1,278
newsletter,1,279
indemnify,1,280
"proofread,",1,281
annual,1,282
file,1,283
"disk,",1,284
(such,1,285
deductible,1,286
"[10,000",1,287
distributed,1,288
need,1,289
"emulator),",1,290
upping,1,291
anonymous,1,292
general,1,293
zip,1,294
converted,1,295
