Word,Freq,Rank
the,52,1
you,49,2
or,40,3
to,38,4
of,37,5
this,30,6
and,29,7
project,20,8
a,20,9
for,19,10
etext,19,11
by,18,12
if,18,13
other,17,14
is,15,15
it,14,16
may,14,17
*,12,18
gutenberg,10,19
any,10,20
be,9,21
that,8,22
not,8,23
from,8,24
one,7,25
"print!""",7,26
"""small",7,27
your,7,28
in,7,29
do,6,30
our,6,31
no,6,32
"etext,",6,33
we,6,34
get,6,35
copyright,6,36
each,5,37
on,5,38
with,5,39
"""project",5,40
give,5,41
have,5,42
distribute,5,43
can,5,44
all,5,45
cd,5,46
including,5,47
at,4,48
money,4,49
within,4,50
so,4,51
public,4,52
as,4,53
"things,",4,54
copy,4,55
illinois,4,56
form,4,57
gutenberg-tm,4,58
among,4,59
person,4,60
(or,4,61
medium,4,62
legal,4,63
receive,4,64
but,4,65
domain,4,66
even,4,67
benedictine,4,68
received,4,69
million,4,70
statement.,3,71
than,3,72
copies,3,73
also,3,74
are,3,75
limited,3,76
most,3,77
files,3,78
states,3,79
characters,3,80
equivalent,3,81
"etexts,",3,82
warranties,3,83
(3),3,84
refund,3,85
[*],3,86
association,3,87
[2],3,88
such,3,89
about,3,90
etexts,3,91
ftp,3,92
"damages,",3,93
per,3,94
information,3,95
replacement,3,96
computer,3,97
days,3,98
paid,3,99
following,3,100
these,3,101
under,3,102
[1],3,103
contain,2,104
email,2,105
free,2,106
"medium,",2,107
produce,2,108
(if,2,109
derive,2,110
word,2,111
files],2,112
year,2,113
us,2,114
"electronically,",2,115
william,2,116
dollars,2,117
got,2,118
must,2,119
program,2,120
from.,2,121
any),2,122
2001.,2,123
"gutenberg,",2,124
should,2,125
send,2,126
agree,2,127
fee,2,128
"below,",2,129
proprietary,2,130
s.,2,131
been,2,132
alternatively,2,133
liability,2,134
ebcdic,2,135
sending,2,136
without,2,137
michael,2,138
"fees,",2,139
/,2,140
take,2,141
long,2,142
text,2,143
please,2,144
plain,2,145
its,2,146
disclaimers,2,147
intended,2,148
"work,",2,149
"expense,",2,150
don't,2,151
how,2,152
made,2,153
.,2,154
"liability,",2,155
wrong,2,156
used,2,157
[to,2,158
use,2,159
choose,2,160
apply,2,161
"software,",2,162
return,2,163
indicate,2,164
project's,2,165
only,2,166
some,2,167
(and,2,168
has,2,169
royalty,2,170
an,2,171
small,2,172
using,2,173
statement,2,174
when,2,175
will,2,176
request,2,177
they,2,178
receiving,2,179
more,2,180
physical,2,181
book,2,182
hour,2,183
[3],2,184
donations,2,185
disclaims,2,186
hundred,2,187
distribution,2,188
hypertext,2,189
additional,2,190
mget,2,191
read,2,192
tax,2,193
directly,2,194
united,2,195
il,1,196
indemnify,1,197
were,1,198
contributions,1,199
mcimail).,1,200
time,1,201
line,1,202
"users,",1,203
"incomplete,",1,204
ended,1,205
see,1,206
fails,1,207
allow,1,208
you.,1,209
"project,",1,210
letters,1,211
negligence,1,212
"money,",1,213
"wish,",1,214
request.,1,215
carroll,1,216
considerable,1,217
"ascii,",1,218
charles,1,219
like,1,220
"(""ibc""",1,221
calculated,1,222
then,1,223
mail,1,224
go,1,225
alter,1,226
etexts*ver.04.29.93*end*,1,227
allowable,1,228
"contract,",1,229
lawyers.,1,230
"etext..."",",1,231
"automatically,",1,232
2,1,233
james,1,234
conservative,1,235
"champaign,",1,236
think,1,237
hours,1,238
password:,1,239
******,1,240
explanatory,1,241
honor,1,242
processors);,1,243
what's,1,244
"compressed,",1,245
g.,1,246
etext93,1,247
list,1,248
"binary,",1,249
above,1,250
does,1,251
there,1,252
defects,1,253
trademark,1,254
although,1,255
"31,",1,256
"domain""",1,257
advisor**,1,258
"licenses,",1,259
convey,1,260
limitation,1,261
license,1,262
etext/articles,1,263
periodic),1,264
expected,1,265
to?,1,266
"profits,",1,267
members,1,268
calculate,1,269
"mark-up,",1,270
"case,",1,271
into,1,272
deductible,1,273
hart@vmd.cso.uiuc.edu,1,274
page),1,275
royalties.,1,276
month:,1,277
"displayed,",1,278
***start**the,1,279
thornton,1,280
dir,1,281
efforts,1,282
discover,1,283
"readable,",1,284
(one,1,285
executive,1,286
payable,1,287
every,1,288
provided,1,289
two,1,290
k.,1,291
defect.,1,292
particular,1,293
damage,1,294
