Word,Freq,Rank
the,5120,1
to,5079,2
and,4445,3
of,4196,4
a,3055,5
i,2602,6
was,2302,7
she,2169,8
in,2091,9
not,2028,10
her,1996,11
be,1879,12
it,1855,13
that,1647,14
he,1635,15
had,1581,16
you,1526,17
as,1408,18
have,1284,19
for,1248,20
with,1160,21
is,1146,22
but,1135,23
very,1128,24
his,1111,25
mr.,1097,26
at,1007,27
so,843,28
could,800,29
would,795,30
all,738,31
been,732,32
mrs.,675,33
my,664,34
any,647,35
on,623,36
were,578,37
miss,568,38
no,558,39
by,552,40
must,543,41
from,533,42
will,527,43
which,517,44
they,506,45
do,499,46
emma,481,47
or,469,48
what,465,49
an,460,50
him,459,51
such,456,52
this,445,53
there,445,54
if,430,55
much,427,56
every,425,57
are,419,58
than,410,59
am,399,60
said,392,61
more,387,62
one,377,63
should,359,64
being,353,65
little,346,66
your,344,67
think,342,68
when,340,69
never,330,70
only,317,71
might,316,72
me,314,73
we,309,74
how,306,75
their,303,76
"""i",303,77
did,295,78
thing,288,79
who,274,80
quite,270,81
good,264,82
own,261,83
them,258,84
some,256,85
great,253,86
can,253,87
most,240,88
has,238,89
always,231,90
harriet,224,91
know,219,92
about,219,93
weston,219,94
without,211,95
shall,210,96
may,210,97
say,209,98
too,202,99
jane,199,100
nothing,199,101
see,198,102
thought,197,103
now,195,104
soon,193,105
made,189,106
young,186,107
knightley,184,108
like,180,109
frank,178,110
time,177,111
elton,174,112
well,171,113
"her,",170,114
"emma,",166,115
first,166,116
before,166,117
"it,",163,118
ever,163,119
though,162,120
other,159,121
it.,158,122
out,158,123
sure,157,124
into,157,125
just,155,126
after,153,127
two,151,128
make,146,129
dear,145,130
give,145,131
really,144,132
up,140,133
upon,140,134
having,140,135
seemed,138,136
cannot,136,137
rather,134,138
better,127,139
many,127,140
even,127,141
"you,",124,142
body,124,143
come,123,144
herself,123,145
its,121,146
while,119,147
man,118,148
wish,116,149
long,116,150
woodhouse,115,151
take,115,152
go,114,153
poor,113,154
"him,",111,155
churchill,111,156
heard,110,157
"woodhouse,",110,158
her.,110,159
does,108,160
"weston,",108,161
going,108,162
then,108,163
hope,105,164
"however,",104,165
"harriet,",103,166
came,103,167
few,103,168
saw,102,169
fairfax,101,170
something,98,171
"""you",98,172
till,98,173
look,98,174
half,97,175
still,95,176
sort,95,177
felt,95,178
enough,94,179
happy,93,180
same,91,181
"and,",90,182
feel,90,183
last,90,184
our,89,185
father,88,186
"knightley,",88,187
us,87,188
done,86,189
hear,86,190
over,85,191
knew,85,192
those,85,193
certainly,85,194
want,85,195
yet,85,196
friend,84,197
another,84,198
almost,84,199
looked,84,200
harriet's,83,201
"elton,",83,202
way,83,203
"""oh!",83,204
let,82,205
day,81,206
found,81,207
ought,80,208
deal,80,209
speak,79,210
himself,79,211
doubt,78,212
often,78,213
here,78,214
idea,77,215
believe,77,216
woman,76,217
told,76,218
mind,74,219
john,74,220
"me,",74,221
emma's,74,222
"herself,",74,223
old,74,224
"say,",74,225
obliged,73,226
away,73,227
where,72,228
between,71,229
"them,",71,230
hardly,71,231
find,70,232
love,69,233
pleasure,69,234
tell,69,235
best,68,236
cried,68,237
"""but",67,238
"""and",67,239
"said,",67,240
whom,67,241
seen,67,242
him.,67,243
towards,66,244
you.,66,245
again,66,246
get,66,247
able,66,248
home,65,249
"""it",65,250
coming,65,251
"know,",64,252
talked,64,253
given,64,254
left,63,255
people,63,256
bates,63,257
elton's,63,258
both,63,259
put,62,260
