Word,Freq,Rank
the,4073,1
to,4050,2
of,3540,3
and,3283,4
her,2230,5
a,2035,6
in,1899,7
was,1784,8
i,1673,9
she,1504,10
it,1273,11
that,1239,12
be,1237,13
as,1195,14
for,1191,15
not,1188,16
his,1002,17
he,994,18
had,984,19
with,968,20
you,883,21
at,813,22
have,801,23
by,734,24
but,722,25
is,676,26
on,663,27
my,588,28
so,580,29
could,555,30
which,553,31
all,545,32
from,529,33
mrs.,521,34
would,506,35
they,499,36
their,496,37
very,491,38
no,483,39
him,432,40
been,426,41
were,424,42
what,393,43
any,385,44
every,374,45
this,362,46
than,359,47
your,358,48
more,357,49
elinor,349,50
such,347,51
or,343,52
said,342,53
an,340,54
will,336,55
them,304,56
when,285,57
only,283,58
must,279,59
one,262,60
me,261,61
if,260,62
much,258,63
marianne,253,64
do,246,65
who,238,66
should,233,67
"""i",229,68
am,229,69
own,227,70
are,219,71
might,209,72
some,209,73
though,206,74
miss,206,75
has,202,76
did,202,77
after,199,78
"elinor,",199,79
can,190,80
think,189,81
how,189,82
we,188,83
never,184,84
know,172,85
without,170,86
now,169,87
there,169,88
mr.,168,89
may,167,90
"marianne,",165,91
soon,163,92
being,163,93
see,159,94
time,155,95
nothing,154,96
most,154,97
"her,",153,98
before,149,99
thing,142,100
first,141,101
"it,",141,102
colonel,141,103
great,139,104
too,138,105
about,136,106
make,136,107
little,136,108
out,135,109
edward,134,110
made,133,111
its,133,112
two,131,113
other,129,114
ever,129,115
it.,126,116
herself,126,117
dashwood,123,118
good,123,119
lady,122,120
always,121,121
well,121,122
give,120,123
shall,119,124
even,117,125
mother,114,126
into,113,127
sir,112,128
say,111,129
then,110,130
jennings,108,131
sister,107,132
john,105,133
"however,",103,134
sure,100,135
thought,100,136
saw,98,137
young,97,138
left,97,139
"him,",96,140
still,96,141
while,96,142
many,95,143
felt,92,144
up,91,145
quite,91,146
seemed,90,147
"you,",88,148
willoughby,88,149
lucy,87,150
less,87,151
same,87,152
upon,85,153
go,85,154
over,84,155
came,84,156
cannot,84,157
long,83,158
enough,83,159
till,83,160
almost,82,161
really,81,162
tell,81,163
last,81,164
nor,80,165
"herself,",79,166
day,79,167
heart,78,168
few,78,169
"""you",76,170
where,76,171
"jennings,",74,172
like,73,173
"them,",73,174
away,72,175
"me,",72,176
heard,71,177
our,70,178
rather,70,179
gave,70,180
dear,70,181
cried,70,182
her.,70,183
come,70,184
house,69,185
brandon,69,186
man,68,187
between,68,188
mind,68,189
again,67,190
against,65,191
just,65,192
kind,65,193
far,65,194
towards,65,195
yet,65,196
found,65,197
middleton,64,198
hardly,64,199
both,64,200
told,63,201
"dashwood,",62,202
something,62,203
down,62,204
"""and",62,205
whom,61,206
wish,61,207
marianne's,61,208
hope,61,209
looked,61,210
replied,61,211
"willoughby,",61,212
better,60,213
hear,60,214
happy,60,215
moment,59,216
"sister,",59,217
these,59,218
knew,59,219
whole,59,220
therefore,58,221
affection,58,222
within,58,223
ferrars,58,224
us,57,225
present,57,226
look,57,227
elinor's,57,228
believe,57,229
since,56,230
because,56,231
three,56,232
immediately,56,233
once,56,234
"lucy,",56,235
brought,55,236
them.,55,237
least,55,238
feel,55,239
myself,55,240
"time,",54,241
having,54,242
each,54,243
find,54,244
letter,54,245
him.,53,246
leave,53,247
half,53,248
poor,53,249
"""but",52,250
"mother,",52,251
seen,52,252
under,51,253
took,51,254
going,51,255
wished,51,256
"and,",51,257
love,50,258
chapter,50,259
another,50,260
does,50,261
morning,50,262
pleasure,49,263
certainly,49,264
himself,49,265
done,49,266
next,49,267
feelings,49,268
sister's,48,269
reason,48,270
whose,48,271
"""that",48,272
general,47,273
often,47,274
"""it",47,275
behaviour,47,276
barton,47,277
family,46,278
thousand,46,279
end,46,280
"all,",46,281
person,46,282
given,46,283
perhaps,46,284
place,45,285
way,45,286
those,45,287
able,45,288
beyond,45,289
"house,",45,290
eyes,45,291
visit,44,292
went,44,293
"he,",44,294
known,44,295
comfort,44,296
mother's,44,297
glad,43,298
take,43,299
speak,43,300
"edward,",43,301
put,43,302
returned,43,303
neither,43,304
perfectly,42,305
woman,42,306
opinion,41,307
determined,41,308
seeing,40,309
happiness,40,310
room,40,311
whether,40,312
however,40,313
obliged,40,314
palmer,40,315
world,40,316
off,40,317
edward's,40,318
equally,40,319
people,39,320
particular,39,321
want,39,322
body,39,323
acquaintance,39,324
"she,",38,325
short,38,326
"was,",38,327
regard,38,328
it;,38,329
called,38,330
subject,38,331
rest,37,332
interest,37,333
"himself,",37,334
sat,37,335
"this,",37,336
received,37,337
whatever,37,338
continued,36,339
giving,36,340
through,36,341
dare,36,342
"that,",36,343
old,36,344
here,36,345
"day,",36,346
farther,35,347
spite,35,348
already,35,349
"therefore,",35,350
spent,35,351
"now,",35,352
entered,35,353
situation,35,354
ought,35,355
"again,",35,356
spirits,35,357
"say,",35,358
real,35,359
part,34,360
"said,",34,361
suppose,34,362
"know,",34,363
attention,34,364
talk,34,365
power,34,366
brother,34,367
"well,",33,368
passed,33,369
entirely,33,370
greater,33,371
means,33,372
coming,32,373
willoughby's,32,374
"which,",32,375
live,32,376
manner,32,377
kindness,32,378
set,32,379
assure,32,380
sorry,32,381
four,32,382
longer,32,383
town,32,384
particularly,31,385
her;,31,386
"room,",31,387
years,31,388
hours,31,389
"indeed,",31,390
possible,31,391
call,31,392
deal,31,393
object,31,394
doubt,31,395
talked,31,396
engagement,31,397
why,31,398
matter,31,399
account,30,400
get,30,401
sisters,30,402
"brandon,",30,403
sister.,30,404
evening,30,405
ready,30,406
new,30,407
began,30,408
ask,30,409
name,30,410
"replied,",30,411
marianne.,30,412
keep,30,413
me.,29,414
jennings's,29,415
minutes,29,416
side,29,417
"too,",29,418
near,29,419
anxious,29,420
voice,29,421
"town,",29,422
all.,29,423
either,29,424
together,29,425
kept,29,426
herself.,28,427
instantly,28,428
full,28,429
settled,28,430
greatest,28,431
friend,28,432
days,28,433
five,28,434
you.,28,435
others,28,436
easily,28,437
norland,28,438
walked,28,439
engaged,28,440
let,27,441
"man,",27,442
manners,27,443
fanny,27,444
"""no,",27,445
"""he",27,446
pleased,27,447
business,27,448
wonder,27,449
return,27,450
likely,26,451
elinor.,26,452
"heart,",26,453
assured,26,454
"but,",26,455
marriage,26,456
surprise,26,457
ladies,26,458
"""how",26,459
"there,",26,460
remained,26,461
back,26,462
resolved,26,463
party,26,464
turned,26,465
"john,",26,466
friends,26,467
knowledge,26,468
"other,",26,469
got,26,470
different,26,471
"it.""",25,472
hearing,25,473
home,25,474
cottage,25,475
common,25,476
stay,25,477
directly,25,478
taken,25,479
exactly,25,480
open,25,481
conduct,25,482
lucy's,25,483
"street,",24,484
"barton,",24,485
else,24,486
understand,24,487
former,24,488
repeated,24,489
pretty,24,490
satisfaction,24,491
word,24,492
"one,",24,493
appearance,24,494
sometimes,24,495
mean,24,496
"home,",24,497
"so,",24,498
believed,24,499
wanted,24,500
opportunity,24,501
taking,24,502
acquainted,24,503
"believe,",24,504
appeared,24,505
change,24,506
"ferrars,",24,507
"""we",24,508
scarcely,24,509
convinced,24,510
happened,23,511
"is,",23,512
marry,23,513
invitation,23,514
expect,23,515
brandon's,23,516
state,23,517
expected,23,518
comfortable,23,519
natural,23,520
doing,23,521
suffered,23,522
seems,23,523
allow,23,524
forced,23,525
married,23,526
appear,23,527
"friends,",23,528
round,23,529
declared,23,530
fear,23,531
ten,23,532
point,23,533
husband,22,534
immediate,22,535
exceedingly,22,536
"park,",22,537
dashwoods,22,538
week,22,539
attachment,22,540
hour,22,541
merely,22,542
certain,22,543
small,22,544
saying,22,545
proper,22,546
countenance,22,547
prevent,22,548
"family,",22,549
park,22,550
"own,",22,551
yourself,22,552
"myself,",22,553
"brother,",22,554
"be,",22,555
"place,",22,556
considered,22,557
fancy,22,558
making,22,559
best,22,560
"together,",22,561
talking,21,562
met,21,563
"side,",21,564
leaving,21,565
asked,21,566
produced,21,567
"spirits,",21,568
curiosity,21,569
course,21,570
"""oh,",21,571
"morning,",21,572
use,21,573
reached,21,574
tried,21,575
supposed,21,576
necessary,21,577
usual,21,578
expectation,21,579
sake,21,580
"added,",21,581
"cottage,",21,582
carriage,21,583
"""to",21,584
fine,21,585
"mind,",21,586
living,21,587
formed,21,588
"""if",21,589
"""yes,",21,590
children,21,591
"then,",21,592
spoke,21,593
sense,21,594
you;,21,595
low,20,596
"""what",20,597
pounds,20,598
"before,",20,599
fixed,20,600
among,20,601
bear,20,602
anything,20,603
sent,20,604
equal,20,605
pain,20,606
looking,20,607
"""your",20,608
smallest,20,609
care,20,610
"away,",20,611
knowing,20,612
large,20,613
probably,20,614
fond,20,615
strong,20,616
answer,20,617
"you.""",20,618
seem,20,619
silent,20,620
room.,20,621
judgment,20,622
promise,20,623
dashwood's,20,624
"who,",20,625
don't,20,626
robert,20,627
favourite,20,628
wife,20,629
answered,20,630
surprised,20,631
serious,20,632
"""my",20,633
confidence,20,634
painful,20,635
conversation,20,636
constant,20,637
"subject,",19,638
early,19,639
worth,19,640
fortune,19,641
impossible,19,642
"""well,",19,643
added,19,644
misery,19,645
eager,19,646
house.,19,647
hundred,19,648
money,19,649
elinor;,19,650
sitting,19,651
agreeable,19,652
late,19,653
months,19,654
life,19,655
meet,19,656
more.,19,657
mother.,19,658
wishes,19,659
meeting,19,660
afraid,19,661
character,18,662
gentleman,18,663
"""is",18,664
"voice,",18,665
"""she",18,666
consider,18,667
above,18,668
avoid,18,669
satisfied,18,670
arrival,18,671
resolution,18,672
"others,",18,673
"engagement,",18,674
"life,",18,675
"not,",18,676
unfortunate,18,677
girl,18,678
afterwards,18,679
used,18,680
second,18,681
eldest,18,682
notice,18,683
attended,18,684
"dear,",18,685
"perhaps,",18,686
staying,18,687
idea,18,688
before.,18,689
become,18,690
"""do",18,691
"world,",18,692
unable,18,693
capable,17,694
favour,17,695
chance,17,696
berkeley,17,697
desire,17,698
indeed,17,699
son,17,700
allowed,17,701
effect,17,702
"thing,",17,703
feeling,17,704
"do,",17,705
circumstances,17,706
"short,",17,707
melancholy,17,708
need,17,709
delighted,17,710
joined,17,711
"him.""",17,712
do.,17,713
"did,",17,714
led,17,715
affectionate,17,716
share,17,717
hand,17,718
thus,17,719
bring,17,720
danger,17,721
advantage,17,722
day.,17,723
"another,",17,724
"present,",16,725
night,16,726
"feelings,",16,727
"hand,",16,728
"ever,",16,729
lost,16,730
nobody,16,731
latter,16,732
right,16,733
that.,16,734
silence,16,735
"continued,",16,736
view,16,737
harley,16,738
disappointment,16,739
"kind,",16,740
except,16,741
head,16,742
cold,16,743
again.,16,744
read,16,745
"more,",16,746
became,16,747
"letter,",16,748
thoughts,16,749
meant,16,750
carried,16,751
"""oh!",16,752
otherwise,16,753
persuaded,16,754
company,16,755
earnest,16,756
me;,16,757
margaret,16,758
future,16,759
style,16,760
attempt,16,761
necessity,16,762
"manner,",16,763
help,16,764
time.,16,765
circumstance,16,766
unwilling,15,767
speaking,15,768
difference,15,769
gone,15,770
respect,15,771
"opinion,",15,772
steele,15,773
difficulty,15,774
several,15,775
aware,15,776
"much,",15,777
letters,15,778
engage,15,779
delight,15,780
receive,15,781
quitted,15,782
conviction,15,783
"you,""",15,784
"happy,",15,785
himself.,15,786
past,15,787
loss,15,788
lived,15,789
anxiety,15,790
simple,15,791
themselves,15,792
"way,",15,793
affair,15,794
"child,",15,795
ferrars's,15,796
during,15,797
"middleton,",15,798
mentioned,15,799
admiration,15,800
"""for",15,801
daughter,15,802
"hope,",15,803
whenever,15,804
world.,15,805
walk,15,806
disposition,15,807
turn,15,808
"palmer,",15,809
"for,",15,810
door,15,811
estate,14,812
mention,14,813
nature,14,814
question,14,815
dashwood.,14,816
disposed,14,817
him;,14,818
finding,14,819
"me,""",14,820
"themselves,",14,821
london,14,822
temper,14,823
"last,",14,824
"moment,",14,825
year,14,826
excuse,14,827
"yes,",14,828
enjoyment,14,829
turning,14,830
treated,14,831
highly,14,832
