Word,Freq,Rank
the,992,1
and,860,2
to,683,3
of,605,4
i,520,5
my,499,6
a,497,7
you,449,8
in,377,9
it,349,10
that,341,11
ham.,337,12
is,296,13
his,283,14
not,268,15
your,253,16
with,249,17
but,248,18
this,238,19
for,227,20
as,196,21
what,190,22
he,189,23
be,174,24
haue,171,25
me,164,26
so,153,27
will,139,28
our,130,29
we,126,30
are,117,31
him,116,32
no,114,33
if,110,34
on,108,35
shall,106,36
by,103,37
or,102,38
thou,101,39
king.,96,40
hor.,95,41
let,94,42
then,92,43
good,91,44
thy,90,45
all,87,46
from,86,47
they,86,48
do,85,49
how,85,50
her,83,51
lord,83,52
at,81,53
most,77,54
more,76,55
was,75,56
"lord,",73,57
like,73,58
enter,72,59
oh,71,60
now,68,61
come,67,62
would,66,63
qu.,62,64
'tis,62,65
may,61,66
laer.,60,67
there,60,68
know,59,69
ile,58,70
giue,58,71
must,57,72
hath,57,73
ophe.,56,74
did,56,75
should,54,76
an,53,77
which,53,78
make,52,79
why,52,80
where,51,81
when,51,82
such,51,83
vpon,50,84
pol.,49,85
very,49,86
their,48,87
am,48,88
them,45,89
some,45,90
had,44,91
doe,43,92
selfe,43,93
rosin.,43,94
speake,43,95
she,42,96
these,42,97
much,42,98
hamlet,41,99
tell,41,100
out,40,101
king,40,102
too,40,103
one,39,104
thee,39,105
well,38,106
polon.,38,107
vs,37,108
thinke,37,109
mine,37,110
go,36,111
yet,36,112
see,35,113
say,34,114
heere,34,115
who,34,116
lord?,33,117
th',33,118
"sir,",33,119
loue,33,120
take,32,121
nor,32,122
thus,32,123
can,32,124
mar.,31,125
could,31,126
"it,",31,127
man,31,128
o,31,129
"you,",30,130
father,29,131
time,29,132
clo.,29,133
looke,28,134
"him,",28,135
"king,",28,136
might,28,137
owne,28,138
whose,27,139
"come,",27,140
cannot,27,141
doth,27,142
"hamlet,",27,143
pray,26,144
vp,26,145
into,26,146
were,26,147
heare,25,148
&,25,149
hold,24,150
made,24,151
neuer,24,152
call,23,153
leaue,22,154
set,22,155
"me,",22,156
both,22,157
put,22,158
though,22,159
"i,",22,160
exeunt.,22,161
hast,21,162
hamlet.,21,163
sweet,20,164
guild.,20,165
against,20,166
two,20,167
"no,",20,168
euen,20,169
dead,19,170
deere,19,171
till,19,172
poore,19,173
great,19,174
comes,19,175
him.,19,176
heauen,19,177
i'th',19,178
those,19,179
hee,18,180
"loue,",18,181
mother,18,182
fathers,18,183
head,18,184
nothing,18,185
shew,18,186
thing,18,187
osr.,18,188
night,18,189
play,18,190
"not,",18,191
exit,18,192
about,17,193
does,17,194
"well,",17,195
"horatio,",17,196
queene,17,197
"vs,",17,198
any,17,199
beleeue,16,200
world,16,201
sir,16,202
there's,16,203
indeed,16,204
noble,15,205
god,15,206
goe,15,207
"nay,",15,208
"death,",15,209
keepe,15,210
this?,15,211
soule,15,212
bee,15,213
ere,15,214
meanes,15,215
art,15,216
"so,",15,217
"heauen,",15,218
againe,15,219
"selfe,",15,220
you:,15,221
makes,15,222
betweene,15,223
old,15,224
"laertes,",15,225
that's,15,226
ha's,14,227
since,14,228
feare,14,229
faire,14,230
seene,14,231
matter,14,232
before,14,233
many,14,234
kin.,14,235
me.,14,236
mad,13,237
you?,13,238
same,13,239
liue,13,240
reynol.,13,241
off,13,242
enter.,13,243
"life,",13,244
follow,13,245
stand,13,246
therefore,13,247
words,13,248
hand,13,249
"mother,",13,250
part,13,251
wee'l,13,252
lord.,13,253
it.,13,254
beare,13,255
madnesse,13,256
still,13,257
long,13,258
"soule,",13,259
nature,13,260
finde,13,261
sent,13,262
players,13,263
vse,12,264
"now,",12,265
laertes,12,266
beene,12,267
true,12,268
something,12,269
horatio,12,270
"queene,",12,271
saw,12,272
"this,",12,273
other.,12,274
thoughts,12,275
o're,12,276
"father,",12,277
farre,12,278
better,12,279
once,12,280
without,12,281
bring,12,282
what's,11,283
speech,11,284
eare,11,285
euer,11,286
"say,",11,287
day,11,288
nay,11,289
little,11,290
dost,11,291
welcome,11,292
"ophelia,",11,293
other,11,294
downe,11,295
none,11,296
life,11,297
away,11,298
"time,",11,299
death,11,300
first,11,301
heart,11,302
is't,11,303
verie,11,304
after,11,305
each,11,306
england,10,307
ghost.,10,308
done,10,309
play.,10,310
giuen,10,311
remember,10,312
vertue,10,313
best,10,314
me?,10,315
marke,10,316
"night,",10,317
"then,",10,318
foule,10,319
barn.,10,320
goes,10,321
let's,10,322
denmarke,10,323
forme,10,324
fit,10,325
"be,",10,326
"downe,",10,327
within,10,328
him:,10,329
end,10,330
excellent,10,331
"is,",10,332
guil.,10,333
"oh,",10,334
being,10,335
"indeed,",10,336
further,9,337
ghost,9,338
'twere,9,339
so:,9,340
get,9,341
polonius.,9,342
"out,",9,343
question,9,344
oft,9,345
full,9,346
"heart,",9,347
"go,",9,348
hora.,9,349
earth,9,350
three,9,351
gho.,9,352
thought,9,353
draw,9,354
"againe,",9,355
"too,",9,356
winde,9,357
"all,",9,358
pyrrhus,9,359
kinde,9,360
thine,9,361
me:,9,362
grace,9,363
me;,9,364
eyes,9,365
(as,9,366
cause,9,367
rest,9,368
while,8,369
"friends,",8,370
things,8,371
lay,8,372
wilt,8,373
yong,8,374
stay,8,375
seeke,8,376
young,8,377
"marry,",8,378
euery,8,379
watch,8,380
thousand,8,381
sonne,8,382
way,8,383
came,8,384
minde,8,385
himselfe,8,386
newes,8,387
seeme,8,388
"earth,",8,389
honest,8,390
"what,",8,391
all.,8,392
"man,",8,393
"dead,",8,394
heard,8,395
deare,8,396
businesse,8,397
both.,8,398
sit,8,399
else,8,400
brothers,8,401
fell,8,402
last,8,403
that?,8,404
please,8,405
sweare,8,406
free,8,407
whole,8,408
body,8,409
fran.,8,410
you.,8,411
second,8,412
"sword,",8,413
wee,7,414
bar.,7,415
maiesty,7,416
duty,7,417
almost,7,418
right,7,419
"himselfe,",7,420
guildensterne.,7,421
it:,7,422
"god,",7,423
"day,",7,424
"madam,",7,425
you;,7,426
selues,7,427
bin,7,428
"youth,",7,429
"fortinbras,",7,430
now?,7,431
thanke,7,432
hamlets,7,433
through,7,434
gaue,7,435
spirit,7,436
top,7,437
breath,7,438
within.,7,439
beseech,7,440
it?,7,441
receiue,7,442
lye,7,443
doubt,7,444
custome,7,445
daughter,7,446
common,7,447
walke,7,448
"away,",7,449
drinke,7,450
"know,",7,451
"done,",7,452
men,7,453
"on,",7,454
sword,7,455
meane,7,456
tongue,7,457
ye,7,458
loue.,7,459
giues,7,460
reason,7,461
answer,7,462
power,7,463
ayre,7,464
"thee,",7,465
"gentlemen,",7,466
"sonne,",7,467
passion,7,468
strange,7,469
neere,7,470
marry,7,471
"nature,",7,472
thee.,7,473
breake,7,474
well:,7,475
kings,7,476
seemes,7,477
friends,7,478
takes,6,479
alas,6,480
face,6,481
damned,6,482
farewell.,6,483
helpe,6,484
"them,",6,485
cast,6,486
reuenge,6,487
fine,6,488
seruice,6,489
"rosincrance,",6,490
"bed,",6,491
"that,",6,492
here,6,493
vnderstand,6,494
word,6,495
poyson,6,496
fortunes,6,497
"do,",6,498
grow,6,499
them.,6,500
"her,",6,501
greefe,6,502
alone,6,503
"more,",6,504
"eye,",6,505
name,6,506
"gone,",6,507
fashion,6,508
false,6,509
hamlet?,6,510
it;,6,511
"why,",6,512
iudgement,6,513
he's,6,514
blood,6,515
offence,6,516
double,6,517
"will,",6,518
true:,6,519
"world,",6,520
"watch,",6,521
faith,6,522
heauens,6,523
eye,6,524
foole,6,525
"eyes,",6,526
ophelia,6,527
ought,6,528
bad,6,529
bid,6,530
"vp,",6,531
hot,6,532
purpose,6,533
"gertrude,",6,534
shewes,6,535
youth,6,536
fare,6,537
queen.,6,538
keepes,6,539
"fortune,",6,540
"polonius,",6,541
ill,5,542
sir:,5,543
lost,5,544
thinkes,5,545
laertes?,5,546
fall,5,547
action,5,548
saue,5,549
armes,5,550
wicked,5,551
writ,5,552
neither,5,553
scull,5,554
honor,5,555
tis,5,556
woman,5,557
"fire,",5,558
quiet,5,559
mothers,5,560
so.,5,561
noise,5,562
vnto,5,563
vilde,5,564
said,5,565
"state,",5,566
times,5,567
them:,5,568
state,5,569
e'ene,5,570
'gainst,5,571
light,5,572
"helpe,",5,573
danish,5,574
not?,5,575
for.,5,576
do's,5,577
husband,5,578
gracious,5,579
brother,5,580
"thoughts,",5,581
death.,5,582
desperate,5,583
friend,5,584
fortinbras,5,585
late,5,586
pale,5,587
"hand,",5,588
generall,5,589
too't,5,590
another,5,591
guildensterne,5,592
players.,5,593
this:,5,594
heere's,5,595
"said,",5,596
borne,5,597
blacke,5,598
needs,5,599
pardon,5,600
fellow,5,601
shalt,5,602
dread,5,603
mee,5,604
told,5,605
"blood,",5,606
"faith,",5,607
"hell,",5,608
wager,5,609
"soft,",5,610
act,5,611
look,5,612
horatio.,5,613
round,5,614
teares,5,615
'twas,5,616
circumstance,5,617
mother.,5,618
mans,5,619
vnder,5,620
whereon,5,621
"heere,",5,622
"which,",5,623
"o,",5,624
conscience,5,625
"heard,",5,626
graue,5,627
bed,5,628
lesse,5,629
fat,5,630
sure,5,631
drowne,5,632
anon,5,633
ophelia.,5,634
hands,5,635
teach,5,636
queene.,5,637
cries,5,638
buried,5,639
peece,5,640
table,5,641
found,5,642
"he,",5,643
dayes,5,644
effect,5,645
"friend,",5,646
went,5,647
"spirit,",5,648
"england,",5,649
letters,5,650
onely,5,651
hope,5,652
you'l,5,653
in's,5,654
"ho,",5,655
age,5,656
whether,4,657
gentleman,4,658
lend,4,659
"while,",4,660
discourse,4,661
"greefe,",4,662
nights,4,663
confesse,4,664
"adue,",4,665
gone,4,666
list,4,667
"voyce,",4,668
"wrong,",4,669
this.,4,670
cannon,4,671
"cause,",4,672
not:,4,673
white,4,674
spirits,4,675
shot,4,676
"norway,",4,677
impart,4,678
hell,4,679
perhaps,4,680
prythee,4,681
t',4,682
kill,4,683
"phrase,",4,684
law,4,685
memory,4,686
sodaine,4,687
ophelia?,4,688
"words,",4,689
"rest,",4,690
marcellus.,4,691
polonius,4,692
knowne,4,693
report,4,694
twice,4,695
heart:,4,696
tale,4,697
brought,4,698
beard,4,699
"madnesse,",4,700
rather,4,701
of.,4,702
knew,4,703
"other,",4,704
murther,4,705
"sleepe,",4,706
violent,4,707
