Word,Freq,Rank
the,64014,1
and,51313,2
of,34634,3
to,13567,4
that,12784,5
in,12503,6
he,10261,7
shall,9838,8
unto,8987,9
for,8810,10
i,8708,11
his,8450,12
a,8176,13
they,7297,14
be,6854,15
is,6852,16
with,6002,17
not,5883,18
all,5432,19
thou,5202,20
lord,4739,21
it,4698,22
thy,4600,23
was,4454,24
which,4394,25
my,4368,26
but,3952,27
their,3931,28
have,3882,29
ye,3848,30
will,3780,31
from,3641,32
as,3511,33
them,3508,34
him,3166,35
are,2922,36
when,2832,37
upon,2734,38
were,2716,39
this,2601,40
by,2576,41
out,2483,42
god,2303,43
said,2285,44
hath,2242,45
then,2125,46
there,2073,47
"him,",2034,48
into,2012,49
had,1993,50
came,1991,51
man,1978,52
on,1965,53
up,1898,54
son,1894,55
one,1823,56
we,1809,57
king,1794,58
me,1779,59
your,1778,60
before,1766,61
"lord,",1709,62
an,1699,63
"said,",1680,64
against,1664,65
shalt,1616,66
"them,",1607,67
come,1602,68
children,1588,69
if,1588,70
at,1565,71
so,1561,72
her,1533,73
thee,1530,74
also,1518,75
let,1506,76
no,1351,77
even,1333,78
made,1332,79
"saying,",1331,80
went,1328,81
house,1315,82
go,1266,83
every,1236,84
people,1229,85
do,1215,86
"thee,",1211,87
because,1200,88
"me,",1195,89
saith,1167,90
you,1166,91
our,1165,92
now,1163,93
these,1162,94
after,1154,95
land,1143,96
"behold,",1121,97
men,1111,98
or,1107,99
israel,1098,100
therefore,1082,101
o,1065,102
hast,1060,103
day,1059,104
make,1050,105
"god,",1027,106
may,1026,107
what,971,108
she,968,109
over,961,110
who,948,111
did,936,112
among,916,113
put,908,114
thine,904,115
any,900,116
neither,876,117
great,870,118
hand,864,119
give,861,120
take,856,121
brought,853,122
down,848,123
sons,839,124
"you,",835,125
am,833,126
him.,817,127
us,799,128
according,796,129
two,792,130
things,791,131
should,783,132
jesus,777,133
"israel,",767,134
whom,755,135
nor,755,136
took,742,137
forth,736,138
bring,722,139
thus,714,140
know,708,141
lord.,706,142
david,694,143
them.,692,144
set,685,145
yet,669,146
say,660,147
like,658,148
sent,655,149
name,654,150
away,612,151
"it,",601,152
mine,595,153
called,578,154
heard,574,155
own,573,156
word,562,157
god.,556,158
days,554,159
father,551,160
how,541,161
more,529,162
me.,528,163
"people,",527,164
spake,526,165
saw,525,166
holy,522,167
good,511,168
hundred,509,169
cast,497,170
thee.,495,171
eat,495,172
see,485,173
moses,484,174
given,482,175
than,481,176
many,479,177
art,478,178
heart,469,179
gave,464,180
those,463,181
city,450,182
about,444,183
seven,444,184
three,442,185
would,442,186
through,441,187
evil,437,188
time,436,189
might,434,190
it.,427,191
"man,",424,192
other,423,193
speak,416,194
done,414,195
thousand,411,196
pass,409,197
hear,404,198
place,403,199
"pass,",396,200
way,396,201
"house,",395,202
where,392,203
under,386,204
answered,386,205
again,385,206
without,383,207
commanded,377,208
judah,373,209
"say,",373,210
"and,",372,211
first,369,212
words,368,213
offering,367,214
thing,366,215
until,366,216
off,365,217
burnt,360,218
found,356,219
keep,351,220
both,351,221
midst,348,222
toward,346,223
spirit,342,224
israel.,339,225
high,336,226
himself,333,227
none,331,228
years,331,229
earth,328,230
fear,328,231
voice,326,232
him:,325,233
"day,",324,234
five,323,235
you.,322,236
been,322,237
"yea,",322,238
thereof,322,239
cities,321,240
wherefore,320,241
dwell,318,242
cut,318,243
lord:,316,244
right,315,245
round,315,246
whose,314,247
"thereof,",313,248
stood,313,249
priest,312,250
"son,",309,251
servant,306,252
them:,304,253
"us,",303,254
"hand,",303,255
"land,",302,256
four,295,257
"up,",295,258
"judah,",294,259
same,292,260
work,290,261
pray,290,262
soul,290,263
lord;,290,264
deliver,289,265
"men,",289,266
taken,287,267
me:,287,268
being,287,269
"king,",286,270
hands,285,271
young,283,272
blood,282,273
king's,282,274
"brethren,",282,275
cause,282,276
sin,280,277
turn,279,278
twenty,278,279
surely,278,280
eyes,277,281
"jerusalem,",276,282
law,276,283
told,276,284
why,275,285
servants,273,286
fire,273,287
face,273,288
blessed,271,289
them;,270,290
glory,270,291
left,269,292
"city,",268,293
"her,",267,294
side,266,295
laid,265,296
turned,265,297
themselves,265,298
old,264,299
kings,264,300
delivered,264,301
"father,",263,302
"not,",261,303
saul,261,304
chief,259,305
very,257,306
gathered,256,307
priests,255,308
much,255,309
"earth,",255,310
year,254,311
kingdom,253,312
"moses,",252,313
christ,251,314
god;,250,315
thee:,250,316
another,247,317
daughter,246,318
mighty,246,319
"egypt,",245,320
such,244,321
destroy,243,322
jerusalem,242,323
concerning,241,324
drink,239,325
woman,238,326
together,238,327
end,237,328
love,237,329
"come,",237,330
ten,237,331
wilt,237,332
seek,235,333
tabernacle,235,334
lay,234,335
wicked,233,336
lest,233,337
can,233,338
between,232,339
though,230,340
seen,230,341
full,228,342
peace,228,343
smote,227,344
fell,227,345
offer,227,346
shew,226,347
tribe,226,348
whole,226,349
send,226,350
begat,225,351
little,224,352
cometh,224,353
stand,223,354
flesh,222,355
save,221,356
mouth,220,357
fathers,219,358
god:,219,359
mount,219,360
meat,218,361
some,218,362
spoken,218,363
praise,217,364
dwelt,214,365
him;,213,366
"heaven,",211,367
thee;,209,368
tell,209,369
heaven,209,370
doth,207,371
"david,",206,372
aaron,205,373
solomon,205,374
covenant,203,375
sight,203,376
seed,203,377
day.,202,378
"heart,",201,379
rest,200,380
mercy,200,381
head,199,382
altar,199,383
behold,199,384
bread,199,385
inhabitants,198,386
life,197,387
bear,196,388
strong,196,389
people.,196,390
"thou,",195,391
brethren,195,392
written,195,393
fall,194,394
"offering,",194,395
earth.,193,396
having,193,397
return,193,398
part,193,399
serve,192,400
slew,191,401
six,191,402
"fathers,",191,403
jacob,191,404
certain,189,405
brother,189,406
gone,188,407
sat,188,408
princes,187,409
only,187,410
while,186,411
call,186,412
waters,186,413
known,185,414
not.,184,415
walk,184,416
ever.,182,417
"things,",182,418
nations,182,419
above,182,420
"down,",181,421
angel,181,422
cannot,181,423
whosoever,181,424
congregation,180,425
wise,179,426
ark,177,427
it:,177,428
me;,176,429
power,176,430
water,173,431
bare,173,432
"out,",173,433
well,173,434
began,172,435
"gold,",172,436
jerusalem.,171,437
hold,171,438
sword,171,439
within,170,440
whether,169,441
till,169,442
book,168,443
reigned,168,444
third,167,445
wherein,167,446
sacrifice,166,447
kept,166,448
multitude,166,449
wife,166,450
could,165,451
gate,165,452
long,165,453
receive,165,454
"sons,",165,455
knew,164,456
israel:,164,457
light,163,458
gather,163,459
throughout,161,460
house.,161,461
joshua,160,462
judge,160,463
thirty,159,464
it;,159,465
lifted,158,466
passed,158,467
cried,158,468
departed,158,469
"again,",158,470
righteous,158,471
forty,157,472
judgment,157,473
manner,156,474
far,156,475
fruit,156,476
you:,154,477
egypt,153,478
sea,153,479
build,153,480
able,152,481
built,152,482
"place,",151,483
whatsoever,151,484
find,151,485
moreover,151,486
"together,",150,487
second,149,488
received,149,489
"also,",148,490
hand.,148,491
"lo,",148,492
"now,",146,493
"therefore,",146,494
levites,146,495
"go,",146,496
inheritance,145,497
gold,145,498
new,145,499
father's,144,500
"way,",144,501
jews,144,502
near,144,503
carried,144,504
look,143,505
dead,143,506
disciples,143,507
"sea,",143,508
righteousness,142,509
us.,142,510
returned,142,511
israel;,142,512
enter,142,513
prophet,141,514
"christ,",141,515
land.,140,516
number,140,517
daughters,139,518
"away,",138,519
thereof.,138,520
silver,138,521
nothing,138,522
filled,138,523
commandment,137,524
"children,",137,525
elders,137,526
anger,136,527
strength,136,528
"days,",136,529
thyself,135,530
"servants,",135,531
become,135,532
philistines,135,533
joseph,135,534
men.,134,535
"law,",134,536
grace,134,537
door,134,538
border,133,539
broken,133,540
most,133,541
"priest,",133,542
must,132,543
lie,132,544
break,132,545
remember,132,546
beside,131,547
hearken,131,548
burn,131,549
faith,131,550
shewed,130,551
"eyes,",130,552
not:,130,553
"sword,",130,554
rejoice,129,555
works,129,556
wrath,129,557
cry,129,558
rose,128,559
born,128,560
meet,128,561
slain,128,562
twelve,128,563
fifty,127,564
goeth,127,565
half,127,566
offerings,127,567
iniquity,126,568
places,126,569
wisdom,126,570
offered,126,571
unclean,126,572
ever,126,573
thee?,126,574
sought,125,575
maketh,125,576
"silver,",123,577
night,123,578
"month,",123,579
"name,",123,580
pharaoh,122,581
rise,122,582
giveth,122,583
die,122,584
captain,122,585
poor,122,586
didst,122,587
mother,121,588
whither,121,589
smite,121,590
"voice,",120,591
abraham,120,592
bless,120,593
man's,119,594
"hosts,",119,595
me?,119,596
"wife,",119,597
"fire,",118,598
wilderness,118,599
vessels,118,600
host,117,601
"dead,",117,602
"that,",117,603
feet,116,604
lord's,116,605
"jesus,",116,606
child,115,607
"himself,",115,608
death,115,609
yourselves,115,610
field,114,611
prophets,114,612
mayest,113,613
seeing,113,614
slay,113,615
fine,113,616
destroyed,113,617
seventh,113,618
world,113,619
leave,112,620
get,112,621
peter,111,622
asked,111,623
living,111,624
war,111,625
hid,111,626
enemies,111,627
paul,111,628
family,110,629
counsel,110,630
throne,110,631
babylon,109,632
sit,109,633
"this,",109,634
walked,108,635
wherewith,108,636
kill,108,637
numbered,108,638
"time,",108,639
stone,107,640
open,107,641
sing,107,642
"servant,",107,643
spread,107,644
trust,107,645
better,106,646
became,106,647
appointed,106,648
jeremiah,105,649
"another,",105,650
"priests,",105,651
saying,104,652
"jacob,",104,653
wine,104,654
earth:,104,655
lift,104,656
"water,",104,657
not;,104,658
followed,103,659
samuel,103,660
"flesh,",103,661
opened,103,662
live,103,663
believe,103,664
here,103,665
king.,103,666
"he,",102,667
beasts,101,668
reign,101,669
entered,101,670
river,101,671
east,101,672
"side,",101,673
"babylon,",101,674
"answered,",101,675
teach,101,676
"in,",101,677
woe,100,678
women,100,679
looked,100,680
possess,100,681
command,100,682
fat,100,683
cubits,99,684
"wilderness,",98,685
answer,98,686
witness,98,687
"brother,",98,688
her.,98,689
valley,98,690
"congregation,",98,691
"is,",98,692
help,98,693
truth,98,694
trees,97,695
"night,",97,696
month,97,697
"peace,",97,698
knoweth,97,699
back,97,700
"i,",97,701
temple,97,702
sabbath,97,703
sweet,97,704
"field,",97,705
ask,96,706
hezekiah,96,707
"offerings,",96,708
captains,96,709
"blood,",95,710
"aaron,",95,711
"world,",95,712
"life,",95,713
gods,95,714
worship,95,715
egypt.,95,716
ears,95,717
"mouth,",95,718
shut,94,719
"arise,",94,720
caused,94,721
death.,94,722
buried,94,723
bound,94,724
morning,94,725
fight,94,726
feast,93,727
man.,93,728
wall,93,729
tree,93,730
joy,93,731
"be,",93,732
ought,93,733
utterly,92,734
service,92,735
fled,92,736
sun,92,737
depart,91,738
"bread,",91,739
"forth,",91,740
him?,91,741
knowledge,91,742
beast,91,743
afraid,91,744
nevertheless,90,745
wrought,90,746
"morning,",90,747
honour,90,748
declare,90,749
"gods,",90,750
christ.,90,751
people:,90,752
desire,90,753
covered,90,754
"altar,",90,755
"saul,",90,756
died,90,757
south,89,758
place.,89,759
prince,89,760
body,89,761
families,88,762
top,88,763
john,88,764
oil,88,765
chosen,88,766
carry,88,767
flee,88,768
heart.,88,769
away.,88,770
"ye,",87,771
money,87,772
threescore,87,773
"hear,",87,774
days.,87,775
"about,",87,776
"spirit,",87,777
"death,",86,778
you;,86,779
ways,86,780
arose,86,781
never,86,782
going,86,783
jonathan,86,784
wait,86,785
prepared,86,786
"hands,",85,787
"saith,",85,788
suffer,85,789
drew,85,790
"head,",85,791
verily,85,792
wash,85,793
believed,85,794
hope,85,795
"words,",85,796
stones,85,797
"nations,",84,798
loved,84,799
there.,84,800
mountains,84,801
sins,84,802
"came,",84,803
joab,84,804
"thing,",84,805
lot,84,806
"levites,",84,807
ever:,83,808
burned,83,809
remnant,83,810
"woman,",83,811
nigh,83,812
son.,83,813
doeth,83,814
present,83,815
"years,",83,816
thence,83,817
poured,82,818
country,82,819
again.,82,820
(for,82,821
us:,82,822
incense,82,823
"abraham,",82,824
"arose,",82,825
"wine,",82,826
"themselves,",81,827
likewise,81,828
presence,81,829
hosts,81,830
hide,81,831
commandments,81,832
minister,81,833
ready,81,834
"there,",81,835
times,81,836
plague,80,837
pure,80,838
tongue,80,839
charge,80,840
city.,80,841
heaven.,80,842
everlasting,79,843
tribes,79,844
bringeth,79,845
raised,79,846
follow,79,847
prepare,79,848
"face,",79,849
ephraim,79,850
noise,79,851
"good,",79,852
portion,79,853
"prophets,",79,854
earth;,78,855
life.,78,856
jeroboam,78,857
hate,78,858
"evil,",78,859
houses,78,860
small,78,861
fire.,78,862
pitched,78,863
"righteousness,",78,864
spoil,78,865
sound,78,866
day:,77,867
hearkened,77,868
eye,77,869
feed,77,870
all.,77,871
firstborn,77,872
tenth,77,873
abide,77,874
up.,76,875
nation,76,876
north,76,877
knowest,76,878
people;,76,879
things.,76,880
years.,76,881
name.,76,882
committed,76,883
gates,76,884
draw,75,885
hand:,75,886
fourth,75,887
coming,75,888
"oil,",75,889
mother's,75,890
"mother,",75,891
understanding,75,892
strange,75,893
come.,74,894
commit,74,895
breadth,74,896
taketh,74,897
father.,74,898
"all,",74,899
write,74,900
sore,74,901
salvation,73,902
except,73,903
out.,73,904
"sin,",73,905
jordan,73,906
atonement,73,907
bowed,73,908
shouldest,73,909
offering:,73,910
sheep,73,911
whence,72,912
cover,72,913
sold,72,914
selah.,72,915
cattle,72,916
"feet,",72,917
whereof,72,918
thought,72,919
"pharaoh,",71,920
court,71,921
"enemies,",71,922
stretched,71,923
lips,71,924
land:,71,925
sware,71,926
"disciples,",71,927
moses.,71,928
die.,71,929
"ways,",70,930
ruler,70,931
house:,70,932
"temple,",70,933
beginning,70,934
removed,70,935
wind,70,936
