Word,Freq,Rank
the,9991,1
and,5276,2
of,4240,3
i,2778,4
to,2132,5
in,1838,6
a,1249,7
with,1237,8
you,1176,9
is,1074,10
my,1000,11
or,996,12
for,928,13
all,819,14
that,817,15
as,788,16
not,780,17
from,698,18
it,641,19
on,597,20
are,566,21
me,555,22
o,547,23
by,475,24
at,468,25
be,457,26
what,452,27
they,442,28
but,403,29
},381,30
his,373,31
see,370,32
your,360,33
their,358,34
have,346,35
we,309,36
"me,",292,37
one,291,38
he,288,39
this,280,40
these,275,41
will,260,42
through,259,43
shall,258,44
nor,256,45
no,254,46
now,247,47
out,245,48
do,241,49
its,237,50
old,228,51
so,227,52
am,224,53
them,224,54
thy,220,55
than,220,56
where,217,57
"you,",215,58
yet,212,59
how,212,60
there,207,61
who,206,62
more,203,63
was,186,64
any,183,65
every,180,66
those,179,67
thou,168,68
her,167,69
over,164,70
some,160,71
"all,",156,72
know,154,73
here,154,74
has,153,75
long,151,76
upon,149,77
up,148,78
"them,",146,79
great,145,80
life,142,81
man,141,82
an,134,83
many,132,84
ever,131,85
each,130,86
if,128,87
after,125,88
never,125,89
him,124,90
when,123,91
come,123,92
hear,121,93
love,120,94
then,120,95
men,119,96
day,116,97
only,116,98
own,114,99
like,113,100
give,113,101
thee,109,102
she,107,103
young,105,104
myself,104,105
our,103,106
earth,101,107
think,100,108
night,99,109
were,97,110
"earth,",96,111
soul,95,112
again,91,113
"thee,",91,114
"love,",91,115
time,91,116
can,90,117
too,90,118
would,89,119
little,89,120
down,88,121
face,88,122
while,88,123
good,85,124
new,85,125
before,84,126
body,84,127
look,84,128
"soul,",83,129
which,82,130
go,82,131
toward,82,132
"night,",80,133
under,80,134
me.,80,135
far,79,136
other,79,137
well,78,138
may,78,139
make,77,140
saw,77,141
till,74,142
hand,73,143
last,72,144
just,72,145
let,72,146
around,72,147
others,71,148
"life,",71,149
pass,71,150
take,70,151
"death,",70,152
"it,",70,153
nothing,70,154
without,68,155
song,68,156
back,68,157
much,68,158
strong,67,159
"world,",67,160
must,67,161
sing,66,162
full,64,163
same,64,164
perfect,63,165
land,62,166
such,62,167
sea,62,168
dead,62,169
thought,62,170
women,61,171
forth,61,172
white,61,173
always,61,174
"sea,",60,175
years,60,176
two,59,177
beautiful,59,178
city,59,179
us,59,180
"here,",57,181
does,57,182
voice,57,183
"myself,",57,184
along,57,185
stand,57,186
something,56,187
been,56,188
high,55,189
death,55,190
"not,",55,191
eyes,55,192
divine,54,193
say,54,194
sweet,54,195
pioneers!,54,196
sun,53,197
cannot,53,198
you.,53,199
world,53,200
most,53,201
still,53,202
close,52,203
"him,",52,204
"long,",52,205
mother,52,206
dear,51,207
amid,51,208
woman,51,209
even,51,210
light,51,211
singing,50,212
heard,50,213
"on,",50,214
away,50,215
could,50,216
off,49,217
"rest,",49,218
"time,",49,219
word,49,220
"day,",48,221
part,48,222
open,48,223
first,48,224
within,47,225
"air,",47,226
none,47,227
place,47,228
words,46,229
head,46,230
whole,46,231
air,46,232
tell,46,233
side,46,234
had,45,235
work,45,236
past,45,237
"see,",45,238
to-day,44,239
among,44,240
rest,44,241
once,44,242
comes,44,243
"man,",44,244
ship,44,245
should,43,246
things,43,247
"again,",43,248
war,42,249
red,42,250
leaves,42,251
"old,",42,252
states,42,253
silent,42,254
"men,",42,255
call,42,256
thing,42,257
alone,41,258
why,41,259
clear,41,260
"only,",41,261
really,41,262
"eyes,",41,263
fields,41,264
thousand,41,265
beyond,41,266
whoever,41,267
them.,41,268
vast,41,269
best,41,270
walk,41,271
rise,41,272
soon,40,273
sound,40,274
wild,40,275
"i,",40,276
round,40,277
lands,40,278
"hand,",40,279
real,40,280
hands,39,281
very,39,282
behold,39,283
"there,",38,284
chant,38,285
days,38,286
living,38,287
welcome,38,288
into,37,289
present,37,290
poems,37,291
large,37,292
2,37,293
leave,37,294
passing,37,295
true,37,296
another,37,297
songs,37,298
"alone,",36,299
1,36,300
house,36,301
become,35,302
near,35,303
joy,35,304
free,35,305
else,35,306
spirit,35,307
whatever,35,308
western,35,309
"woods,",34,310
"lands,",34,311
children,34,312
show,34,313
"states,",34,314
"are,",34,315
[book,34,316
against,33,317
mighty,33,318
themselves,33,319
"face,",33,320
black,33,321
faces,33,322
sit,33,323
mine,33,324
cities,33,325
hold,33,326
"sun,",33,327
"body,",33,328
"itself,",33,329
stars,33,330
"land,",32,331
"more,",32,332
"words,",32,333
indeed,32,334
about,32,335
"songs,",32,336
hour,32,337
(the,32,338
ships,32,339
itself,32,340
"waves,",32,341
dark,32,342
put,31,343
way,31,344
believe,31,345
curious,31,346
also,31,347
"war,",31,348
"lo,",31,349
"america,",31,350
(i,31,351
"us,",31,352
feel,31,353
"now,",31,354
you!,31,355
forever,30,356
few,30,357
child,30,358
shape,30,359
"one,",30,360
"come,",30,361
"years,",30,362
ye,30,363
broad,30,364
3,30,365
"poems,",29,366
sight,29,367
"light,",29,368
"women,",29,369
countless,29,370
"voice,",29,371
yourself,29,372
"sky,",29,373
strange,29,374
touch,29,375
henceforth,29,376
ocean,28,377
waves,28,378
grass,28,379
man's,28,380
bring,28,381
find,28,382
moment,28,383
less,28,384
immortal,28,385
peace,28,386
turn,28,387
waters,28,388
me!,28,389
above,28,390
left,28,391
behind,28,392
sleep,27,393
pass'd,27,394
low,27,395
"last,",27,396
year,27,397
"these,",27,398
came,27,399
done,27,400
lips,27,401
need,27,402
keep,27,403
did,27,404
goes,27,405
race,27,406
whose,27,407
o'er,27,408
"north,",27,409
"south,",26,410
stands,26,411
"stars,",26,412
holding,26,413
name,26,414
"shore,",26,415
heart,26,416
"blood,",26,417
fresh,26,418
"children,",26,419
"cities,",26,420
"space,",26,421
god,26,422
blood,26,423
north,26,424
(for,26,425
unseen,26,426
surely,26,427
"go,",26,428
america,26,429
duly,26,430
human,25,431
me?,25,432
often,25,433
you?,25,434
"god,",25,435
ground,25,436
fill,25,437
water,25,438
endless,25,439
right,25,440
"dead,",25,441
return,25,442
whom,25,443
might,25,444
"past,",25,445
arms,25,446
home,25,447
fall,25,448
moon,25,449
son,25,450
west,25,451
gray,25,452
music,25,453
early,24,454
speak,24,455
looking,24,456
summer,24,457
huge,24,458
law,24,459
lost,24,460
sounds,24,461
swear,24,462
sail,24,463
shore,24,464
"nothing,",24,465
rising,24,466
"head,",24,467
"good,",24,468
"trees,",24,469
himself,24,470
"mother,",24,471
4,24,472
streets,24,473
"west,",24,474
joys,23,475
delicate,23,476
rich,23,477
space,23,478
"well,",23,479
steady,23,480
"yet,",23,481
served,23,482
holds,23,483
"up,",23,484
lay,23,485
waits,23,486
spread,23,487
"things,",23,488
distant,23,489
shapes,23,490
common,23,491
"same,",23,492
play,23,493
"song,",23,494
thee.,23,495
trees,23,496
death.,23,497
waiting,23,498
greater,23,499
woods,23,500
certain,22,501
swiftly,22,502
"nature,",22,503
falling,22,504
voices,22,505
between,22,506
feet,22,507
"peace,",22,508
perhaps,22,509
though,22,510
winds,22,511
wait,22,512
breast,22,513
look'd,22,514
"water,",22,515
soul.,22,516
"woman,",22,517
fill'd,22,518
unknown,22,519
loved,22,520
walks,22,521
calm,22,522
"mine,",22,523
"silent,",22,524
understand,22,525
deep,22,526
"farms,",22,527
small,22,528
single,22,529
three,21,530
south,21,531
made,21,532
"far,",21,533
modern,21,534
stood,21,535
"city,",21,536
poet,21,537
march,21,538
hair,21,539
all.,21,540
shores,21,541
ages,21,542
silently,21,543
age,21,544
person,21,545
"thou,",21,546
clouds,21,547
proud,20,548
coming,20,549
enough,20,550
soldiers,20,551
use,20,552
breath,20,553
lie,20,554
going,20,555
together,20,556
solemn,20,557
"work,",20,558
equal,20,559
bear,20,560
fierce,20,561
times,20,562
meet,20,563
teeming,20,564
nature,20,565
"politics,",20,566
"heart,",20,567
"also,",20,568
"away,",19,569
sailing,19,570
hundred,19,571
"in,",19,572
5,19,573
"for,",19,574
"done,",19,575
"beauty,",19,576
power,19,577
houses,19,578
future,19,579
"together,",19,580
"enough,",19,581
walking,19,582
"out,",19,583
seen,19,584
"ships,",19,585
public,19,586
wind,19,587
"themselves,",19,588
haply,19,589
"sing,",19,590
"ground,",19,591
better,19,592
"down,",19,593
east,19,594
loving,19,595
mountains,19,596
ancient,19,597
ah,19,598
(as,19,599
"persons,",19,600
river,19,601
friend,19,602
"days,",19,603
crowd,19,604
winter,18,605
returning,18,606
sure,18,607
"grass,",18,608
having,18,609
known,18,610
said,18,611
shows,18,612
loud,18,613
"forth,",18,614
whether,18,615
swift,18,616
"streets,",18,617
measureless,18,618
"joy,",18,619
"is,",18,620
neither,18,621
"friend,",18,622
found,18,623
neck,18,624
flowing,18,625
remain,18,626
green,18,627
mystic,18,628
"over,",18,629
thoughts,18,630
beneath,18,631
half,18,632
doubt,18,633
"hands,",18,634
female,18,635
forward,18,636
6,18,637
general,18,638
lies,18,639
(o,18,640
brought,18,641
"that,",18,642
flag,18,643
sky,18,644
solid,18,645
"child,",18,646
flesh,18,647
people,17,648
"lovers,",17,649
latent,17,650
form,17,651
blue,17,652
eternal,17,653
manly,17,654
announce,17,655
below,17,656
"home,",17,657
ample,17,658
seek,17,659
forget,17,660
"present,",17,661
moving,17,662
making,17,663
"any,",17,664
"close,",17,665
"other,",17,666
press,17,667
"be,",17,668
separate,17,669
father,17,670
morning,17,671
passage,17,672
"future,",17,673
star,17,674
born,17,675
"people,",17,676
ceaseless,17,677
beach,17,678
"race,",16,679
live,16,680
leaving,16,681
learn'd,16,682
"river,",16,683
beauty,16,684
cut,16,685
"fields,",16,686
onward,16,687
myriads,16,688
set,16,689
"sleep,",16,690
manhattan,16,691
knew,16,692
slow,16,693
"waters,",16,694
gave,16,695
hot,16,696
held,16,697
stop,16,698
bright,16,699
sad,16,700
mind,16,701
heroes,16,702
"shores,",16,703
"side,",16,704
appear,16,705
chants,16,706
joy!,16,707
"thought,",16,708
fully,16,709
mark,16,710
follow,16,711
brown,16,712
matter,16,713
natural,16,714
except,16,715
earth.,16,716
arm,16,717
limbs,16,718
poets,16,719
"age,",16,720
it.,16,721
hills,16,722
lightly,16,723
cool,16,724
rivers,16,725
hence,16,726
across,16,727
friendly,16,728
globe,16,729
"know,",15,730
roll,15,731
aside,15,732
beat,15,733
varied,15,734
"wars,",15,735
persons,15,736
pensive,15,737
"near,",15,738
northern,15,739
advance,15,740
late,15,741
spiritual,15,742
yellow,15,743
banner,15,744
"return,",15,745
rude,15,746
lovers,15,747
already,15,748
"faith,",15,749
"faces,",15,750
evil,15,751
boy,15,752
cold,15,753
wherever,15,754
gather,15,755
fit,15,756
remember,15,757
"forms,",15,758
again.,15,759
moves,15,760
youth,15,761
"animals,",15,762
road,15,763
ones,15,764
precious,15,765
"mountains,",15,766
strike,15,767
shining,15,768
gives,15,769
"rivers,",15,770
bloody,15,771
"heroes,",15,772
7,15,773
love.,15,774
looks,15,775
"feet,",15,776
room,15,777
"universe,",15,778
"friends,",15,779
"sake,",15,780
grow,15,781
"her,",15,782
8,15,783
pride,15,784
mother's,15,785
heaven,14,786
"place,",14,787
ready,14,788
"dark,",14,789
"laws,",14,790
earth's,14,791
seeking,14,792
"darkness,",14,793
answer,14,794
"calm,",14,795
brave,14,796
carrying,14,797
happy,14,798
"himself,",14,799
hast,14,800
float,14,801
i'd,14,802
sing.,14,803
"name,",14,804
"own,",14,805
eastern,14,806
poor,14,807
call'd,14,808
soft,14,809
knows,14,810
laws,14,811
may-be,14,812
tender,14,813
pale,14,814
foot,14,815
draw,14,816
phantom,14,817
smoke,14,818
"best,",14,819
"strong,",14,820
"thoughts,",14,821
taking,14,822
savage,14,823
spreading,14,824
equally,14,825
lead,14,826
square,14,827
comrade,14,828
wounded,14,829
lover,14,830
"house,",14,831
"content,",14,832
delicious,14,833
forests,14,834
walk'd,14,835
"neck,",14,836
fair,14,837
"way,",13,838
object,13,839
master,13,840
mere,13,841
thine,13,842
peaceful,13,843
vigil,13,844
because,13,845
unfolded,13,846
art,13,847
blow,13,848
"wife,",13,849
lesson,13,850
"beautiful,",13,851
"nations,",13,852
enter,13,853
thick,13,854
read,13,855
seas,13,856
"crowd,",13,857
fire,13,858
terrible,13,859
"clouds,",13,860
dream'd,13,861
gone,13,862
memories,13,863
eidolons.,13,864
"gone,",13,865
sails,13,866
perceive,13,867
"battle,",13,868
grave,13,869
odor,13,870
rapt,13,871
bodies,13,872
faith,13,873
"others,",13,874
fallen,13,875
bearing,13,876
"moon,",13,877
"seas,",13,878
inland,13,879
forms,13,880
brain,13,881
"health,",13,882
"freedom,",13,883
pleas'd,13,884
"ranks,",13,885
growth,13,886
carefully,13,887
"chant,",13,888
bending,13,889
finally,13,890
procession,13,891
comrades,13,892
slowly,13,893
went,13,894
parts,13,895
"soldiers,",13,896
longer,13,897
male,13,898
underneath,13,899
"form,",13,900
nations,13,901
sacred,13,902
drawn,13,903
solitary,13,904
growing,13,905
crossing,13,906
greatest,13,907
soil,13,908
limitless,13,909
transparent,13,910
receive,13,911
naked,13,912
spring,13,913
"arms,",13,914
provided,13,915
"joys,",13,916
breathe,13,917
watch,13,918
borne,13,919
love!,13,920
midnight,13,921
travel,12,922
"everywhere,",12,923
book,12,924
stately,12,925
workmen,12,926
field,12,927
"breast,",12,928
wafted,12,929
salute,12,930
raise,12,931
nigh,12,932
drop,12,933
"back,",12,934
firm,12,935
rose,12,936
"globe,",12,937
idea,12,938
floating,12,939
bird,12,940
wife,12,941
bed,12,942
"arm,",12,943
falls,12,944
lines,12,945
"hear,",12,946
dying,12,947
continually,12,948
reference,12,949
"still,",12,950
"yourself,",12,951
"advancing,",12,952
works,12,953
giving,12,954
"father,",12,955
"too,",12,956
"to-day,",12,957
millions,12,958
"power,",12,959
passionate,12,960
wondrous,12,961
souls,12,962
objects,12,963
cover'd,12,964
midst,12,965
door,12,966
"free,",12,967
myself.,12,968
wandering,12,969
grand,12,970
"leaves,",12,971
"prairies,",12,972
flow,12,973
vain,12,974
"behold,",12,975
lean,12,976
merely,12,977
universe,12,978
dim,12,979
birth,12,980
brother,12,981
lift,12,982
masses,12,983
deeds,12,984
golden,12,985
